38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2020,,,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.35,0.38,-,0.88,1.06,-,0.71,0.83,-
SUMATERA UTARA,0.38,0.39,-,0.4,0.53,-,0.39,0.45,-
SUMATERA BARAT,0.16,0.24,-,0.23,0.28,-,0.2,0.26,-
RIAU,0.23,0.27,-,0.32,0.54,-,0.28,0.43,-
JAMBI,0.43,0.46,-,0.17,0.18,-,0.25,0.27,-
SUMATERA SELATAN,0.47,0.72,-,0.49,0.57,-,0.48,0.63,-
BENGKULU,0.58,0.59,-,0.56,0.67,-,0.56,0.64,-
LAMPUNG,0.24,0.29,-,0.49,0.7,-,0.41,0.57,-
KEP. BANGKA BELITUNG,0.11,0.16,-,0.15,0.18,-,0.13,0.17,-
KEP. RIAU,0.27,0.41,-,0.43,0.51,-,0.28,0.42,-
DKI JAKARTA,0.11,0.15,-,-,-,-,0.11,0.15,-
JAWA BARAT,0.2,0.26,-,0.3,0.4,-,0.22,0.29,-
JAWA TENGAH,0.31,0.39,-,0.38,0.48,-,0.34,0.43,-
DI YOGYAKARTA,0.43,0.47,-,0.53,0.57,-,0.46,0.5,-
JAWA TIMUR,0.28,0.37,-,0.6,0.72,-,0.43,0.53,-
BANTEN,0.19,0.3,-,0.32,0.46,-,0.23,0.34,-
BALI,0.09,0.11,-,0.12,0.14,-,0.1,0.12,-
NUSA TENGGARA BARAT,0.54,0.71,-,0.68,0.75,-,0.61,0.73,-
NUSA TENGGARA TIMUR,0.24,0.28,-,1.31,1.55,-,1.05,1.24,-
KALIMANTAN BARAT,0.17,0.21,-,0.26,0.37,-,0.23,0.31,-
KALIMANTAN TENGAH,0.2,0.24,-,0.2,0.21,-,0.2,0.22,-
KALIMANTAN SELATAN,0.17,0.19,-,0.15,0.17,-,0.16,0.18,-
KALIMANTAN TIMUR,0.16,0.17,-,0.41,0.57,-,0.24,0.29,-
KALIMANTAN UTARA,0.12,0.13,-,0.25,0.27,-,0.17,0.19,-
SULAWESI UTARA,0.15,0.2,-,0.35,0.42,-,0.25,0.3,-
SULAWESI TENGAH,0.43,0.43,-,0.92,1.07,-,0.77,0.87,-
SULAWESI SELATAN,0.16,0.18,-,0.57,0.68,-,0.39,0.46,-
SULAWESI TENGGARA,0.34,0.61,-,0.65,0.7,-,0.53,0.67,-
GORONTALO,0.06,0.09,-,1.08,1.33,-,0.65,0.79,-
SULAWESI BARAT,0.53,0.6,-,0.47,0.54,-,0.48,0.55,-
MALUKU,0.15,0.21,-,1.69,1.93,-,1.01,1.18,-
MALUKU UTARA,0.06,0.11,-,0.26,0.28,-,0.21,0.23,-
PAPUA BARAT,0.23,0.35,-,3.4,3.95,-,2.06,2.41,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.14,0.17,-,2.85,3.22,-,2.08,2.35,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.25,0.31,-,0.55,0.68,-,0.38,0.47,-
