38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2014,,,2014,,,2014,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.43,0.38,-,0.83,1.05,-,0.72,0.86,-
SUMATERA UTARA,0.3,0.39,-,0.44,0.51,-,0.37,0.45,-
SUMATERA BARAT,0.12,0.1,-,0.28,0.18,-,0.22,0.15,-
RIAU,0.18,0.11,-,0.23,0.4,-,0.21,0.29,-
JAMBI,0.32,0.27,-,0.19,0.22,-,0.23,0.23,-
SUMATERA SELATAN,0.55,0.62,-,0.61,0.62,-,0.59,0.62,-
BENGKULU,0.74,0.75,-,0.69,0.75,-,0.7,0.75,-
LAMPUNG,0.44,0.51,-,0.56,0.58,-,0.53,0.56,-
KEP. BANGKA BELITUNG,0.16,0.1,-,0.15,0.13,-,0.16,0.12,-
KEP. RIAU,0.31,0.17,-,0.09,0.24,-,0.27,0.18,-
DKI JAKARTA,0.07,0.13,-,-,-,-,0.07,0.13,-
JAWA BARAT,0.37,0.32,-,0.41,0.35,-,0.38,0.33,-
JAWA TENGAH,0.45,0.42,-,0.66,0.58,-,0.56,0.51,-
DI YOGYAKARTA,0.53,0.52,-,0.4,0.79,-,0.48,0.61,-
JAWA TIMUR,0.27,0.31,-,0.6,0.59,-,0.44,0.45,-
BANTEN,0.18,0.13,-,0.19,0.27,-,0.19,0.18,-
BALI,0.08,0.18,-,0.05,0.37,-,0.07,0.26,-
NUSA TENGGARA BARAT,0.61,1.1,-,0.6,0.45,-,0.61,0.72,-
NUSA TENGGARA TIMUR,0.56,0.34,-,0.89,0.9,-,0.83,0.79,-
KALIMANTAN BARAT,0.16,0.19,-,0.19,0.42,-,0.18,0.35,-
KALIMANTAN TENGAH,0.19,0.07,-,0.15,0.34,-,0.17,0.25,-
KALIMANTAN SELATAN,0.17,0.08,-,0.12,0.2,-,0.14,0.15,-
KALIMANTAN TIMUR,0.19,0.13,-,0.43,0.25,-,0.28,0.18,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.17,0.24,-,0.33,0.34,-,0.26,0.3,-
SULAWESI TENGAH,0.23,0.65,-,0.61,0.52,-,0.52,0.55,-
SULAWESI SELATAN,0.2,0.19,-,0.47,0.4,-,0.37,0.32,-
SULAWESI TENGGARA,0.22,0.21,-,0.54,0.64,-,0.45,0.52,-
GORONTALO,0.21,0.23,-,1.26,1.14,-,0.9,0.83,-
SULAWESI BARAT,0.15,0.76,-,0.28,0.44,-,0.25,0.51,-
MALUKU,0.52,0.26,-,1.49,2.08,-,1.11,1.37,-
MALUKU UTARA,0.07,0.07,-,0.33,0.31,-,0.26,0.24,-
PAPUA BARAT,0.4,0.29,-,2.75,2.54,-,2.05,1.88,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.17,0.1,-,3.04,2.91,-,2.3,2.18,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.31,0.31,-,0.57,0.57,-,0.43,0.44,-
