38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2019,,,2019,,,2019,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.344,0.351,-,0.276,0.272,-,0.319,0.321,-
SUMATERA UTARA,0.338,0.337,-,0.264,0.262,-,0.317,0.315,-
SUMATERA BARAT,0.314,0.319,-,0.267,0.265,-,0.306,0.307,-
RIAU,0.37,0.369,-,0.284,0.278,-,0.334,0.331,-
JAMBI,0.351,0.346,-,0.287,0.29,-,0.321,0.324,-
SUMATERA SELATAN,0.348,0.355,-,0.302,0.311,-,0.331,0.339,-
BENGKULU,0.376,0.37,-,0.286,0.279,-,0.34,0.329,-
LAMPUNG,0.346,0.349,-,0.299,0.294,-,0.329,0.331,-
KEP. BANGKA BELITUNG,0.278,0.272,-,0.23,0.223,-,0.269,0.262,-
KEP. RIAU,0.338,0.335,-,0.265,0.262,-,0.341,0.337,-
DKI JAKARTA,0.394,0.391,-,-,-,-,0.394,0.391,-
JAWA BARAT,0.41,0.408,-,0.319,0.318,-,0.402,0.398,-
JAWA TENGAH,0.383,0.379,-,0.318,0.315,-,0.361,0.358,-
DI YOGYAKARTA,0.424,0.43,-,0.328,0.326,-,0.423,0.428,-
JAWA TIMUR,0.379,0.374,-,0.318,0.314,-,0.37,0.364,-
BANTEN,0.36,0.355,-,0.294,0.292,-,0.365,0.361,-
BALI,0.37,0.365,-,0.313,0.306,-,0.366,0.37,-
NUSA TENGGARA BARAT,0.407,0.401,-,0.34,0.333,-,0.379,0.374,-
NUSA TENGGARA TIMUR,0.343,0.338,-,0.316,0.313,-,0.356,0.355,-
KALIMANTAN BARAT,0.341,0.344,-,0.281,0.279,-,0.327,0.318,-
KALIMANTAN TENGAH,0.372,0.367,-,0.297,0.293,-,0.336,0.335,-
KALIMANTAN SELATAN,0.353,0.358,-,0.282,0.279,-,0.334,0.334,-
KALIMANTAN TIMUR,0.338,0.333,-,0.283,0.289,-,0.33,0.335,-
KALIMANTAN UTARA,0.29,0.287,-,0.285,0.284,-,0.295,0.292,-
SULAWESI UTARA,0.369,0.375,-,0.346,0.346,-,0.367,0.376,-
SULAWESI TENGAH,0.335,0.339,-,0.287,0.292,-,0.327,0.33,-
SULAWESI SELATAN,0.394,0.393,-,0.345,0.354,-,0.389,0.391,-
SULAWESI TENGGARA,0.406,0.402,-,0.361,0.353,-,0.399,0.393,-
GORONTALO,0.392,0.399,-,0.388,0.393,-,0.407,0.41,-
SULAWESI BARAT,0.445,0.438,-,0.317,0.32,-,0.365,0.365,-
MALUKU,0.3,0.294,-,0.286,0.289,-,0.324,0.32,-
MALUKU UTARA,0.31,0.303,-,0.256,0.258,-,0.312,0.31,-
PAPUA BARAT,0.325,0.32,-,0.419,0.416,-,0.386,0.381,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.297,0.288,-,0.409,0.41,-,0.394,0.391,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.392,0.391,-,0.317,0.315,-,0.382,0.38,-
