38 Provinsi,,,
,Upah Minimum Regional/Propinsi (Rupiah),,
,2009,2010,2011
ACEH,1200000,1300000,1350000
SUMATERA UTARA,905000,965000,1035500
SUMATERA BARAT,880000,940000,1055000
RIAU,901600,1016000,1120000
JAMBI,800000,900000,1028000
SUMATERA SELATAN,824730,927825,1048440
BENGKULU,735000,780000,815000
LAMPUNG,691000,767500,855000
KEP. BANGKA BELITUNG,850000,910000,1024000
KEP. RIAU,892000,925000,975000
DKI JAKARTA,1069865,1118009,1290000
JAWA BARAT,628191,671500,732000
JAWA TENGAH,575000,660000,675000
DI YOGYAKARTA,700000,745694,808000
JAWA TIMUR,570000,630000,705000
BANTEN,917500,955300,1000000
BALI,760000,829316,890000
NUSA TENGGARA BARAT,832500,890775,950000
NUSA TENGGARA TIMUR,725000,800000,850000
KALIMANTAN BARAT,705000,741000,802500
KALIMANTAN TENGAH,873089,986590,1134580
KALIMANTAN SELATAN,930000,1024500,1126000
KALIMANTAN TIMUR,955000,1002000,1084000
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,929500,1000000,1050000
SULAWESI TENGAH,720000,777500,827500
SULAWESI SELATAN,905000,1000000,1100000
SULAWESI TENGGARA,770000,860000,930000
GORONTALO,675000,710000,762500
SULAWESI BARAT,909400,944200,1006000
MALUKU,775000,840000,900000
MALUKU UTARA,770000,847000,889350
PAPUA BARAT,1180000,1210000,1410000
PAPUA BARAT DAYA,-,-,-
PAPUA,1216100,1316500,1403000
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,841530,908824,988829
