38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2015,,,2015,,,2015,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,116717,118196,-,84638,87682,-,93744,96344,-
SUMATERA UTARA,102643,106627,-,65752,67987,-,84021,87123,-
SUMATERA BARAT,117925,121984,-,75985,77884,-,92637,95393,-
RIAU,124441,128812,-,93237,98585,-,105361,110329,-
JAMBI,108566,115476,-,69186,70949,-,81144,84470,-
SUMATERA SELATAN,101603,105823,-,61880,65785,-,76055,80073,-
BENGKULU,109102,111770,-,69112,74513,-,81523,86076,-
LAMPUNG,109948,112473,-,74918,81638,-,84127,89744,-
KEP. BANGKA BELITUNG,145300,154621,-,125875,136327,-,135441,145336,-
KEP. RIAU,155149,166916,-,104127,113367,-,146782,158135,-
DKI JAKARTA,167793,175361,-,-,-,-,167793,175361,-
JAWA BARAT,94009,94454,-,74358,78096,-,87586,89107,-
JAWA TENGAH,88079,89228,-,75025,77352,-,81028,82814,-
DI YOGYAKARTA,109745,110150,-,75907,82662,-,98413,100945,-
JAWA TIMUR,88779,92152,-,74839,77532,-,81530,84549,-
BANTEN,109643,117170,-,77247,81732,-,99354,105914,-
BALI,106320,109874,-,89655,92052,-,99903,103011,-
NUSA TENGGARA BARAT,89328,91123,-,71786,74588,-,79202,81577,-
NUSA TENGGARA TIMUR,104514,109059,-,48561,50261,-,59793,62064,-
KALIMANTAN BARAT,84546,87567,-,61456,66112,-,68511,72668,-
KALIMANTAN TENGAH,76698,83219,-,63814,68463,-,68220,73510,-
KALIMANTAN SELATAN,124426,136370,-,76943,81112,-,97068,104532,-
KALIMANTAN TIMUR,147917,156071,-,119387,128016,-,137353,145683,-
KALIMANTAN UTARA,146400,150144,-,118587,126110,-,134137,139548,-
SULAWESI UTARA,72825,78098,-,58235,61176,-,64890,68895,-
SULAWESI TENGAH,108979,112038,-,70332,75894,-,79923,84865,-
SULAWESI SELATAN,80321,87247,-,49612,52745,-,61087,65637,-
SULAWESI TENGGARA,79264,81806,-,56620,59583,-,63144,65986,-
GORONTALO,71293,73066,-,55866,58476,-,61220,63539,-
SULAWESI BARAT,52529,56854,-,53237,58262,-,53095,57979,-
MALUKU,106536,110325,-,84158,85243,-,92864,95001,-
MALUKU UTARA,81553,85550,-,63930,67117,-,68726,72134,-
PAPUA BARAT,123915,131755,-,76749,82321,-,94594,101023,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,151082,154345,-,80533,81510,-,99224,100806,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,104263,108538,-,72524,76914,-,88535,92866,-
