Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2016,,,,,2016,,,,,2016,,,,,2016,,,,,2016,,,,,2016,,,,,2016,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,16345.62,16562.81,16668.7,16757.92,66335.06,510.64,525.81,536.56,556.27,2129.28,2861.63,4938.88,4317.39,7812.36,19930.25,9615.23,9853.37,10324.6,10804.85,40598.05,8.77,3.79,9.99,6.11,28.66,-934.52,-3246.56,-2295.89,-6170.02,-12647,28407.37,28638.09,29561.35,29767.49,116374.3
SUMATERA UTARA,57915.39,58581.9,59910.77,60739.3,237147.36,1146.89,1160.34,1179.25,1197.38,4683.87,6853.2,7635.49,7669.28,8775.15,30933.13,33036.35,33556.64,34220.71,34394.28,135207.98,1954.45,1953.01,2035.47,1854.5,7797.44,12422.79,11615.77,12917.47,11049.66,48005.69,113329.08,114503.15,117932.96,118010.27,463775.46
SUMATERA BARAT,18633.93,18878.4,19354.74,19412.8,76279.87,401.42,410.24,411.33,411.85,1634.84,3097.91,4171.28,4155.94,6342.99,17768.11,10600.78,10964.08,11080.1,11576.72,44221.67,463.22,251.32,-4.46,172.14,882.22,2749.36,2118.35,2568.01,-88.19,7347.53,35946.61,36793.66,37565.66,37828.31,148134.24
RIAU,38380.83,38900.08,39581.64,39995.28,156857.84,507.32,516.25,526.01,537.14,2086.73,3899.55,4432.11,4410.56,5640.9,18383.13,33251.48,34102.06,35388.55,36964.31,139706.39,1228,1153,940.42,875.42,4196.84,33389.55,33493.79,35335.35,35319.73,137538.42,110656.73,112597.29,116182.54,119332.78,458769.34
JAMBI,14069.16,14256.73,14630.15,14653.54,57609.58,159.67,163.04,169.51,176.7,668.92,1550.05,1969.64,2244.14,3990.58,9754.41,6375.99,6606.96,7529.49,8526.54,29038.99,470.39,691.85,645.95,-551.56,1256.63,9154.57,8657.71,7537.98,6822.34,32172.6,31779.84,32345.92,32757.23,33618.14,130501.13
SUMATERA SELATAN,42078.3,42434.89,42914.4,43104.66,170532.25,1005.53,1011.59,1029.67,1031.5,4078.29,3934,5084.06,4143.06,5398.36,18559.48,24139.13,24812.84,25836.6,26521.33,101309.9,277.05,267.72,87.42,-510.93,121.26,-7151.1,-7026.95,-4906.43,-8659.3,-27743.78,64282.9,66584.16,69104.72,66885.62,266857.4
BENGKULU,6203.03,6313.07,6409.12,6478.71,25403.93,254.76,257.63,263.74,278.38,1054.52,1789.1,1995.45,1913.97,2054.11,7752.62,4026.02,4184.23,4401.41,4792.68,17404.35,181.52,168.59,181.22,173.39,704.71,-2664.31,-3014.17,-3087.15,-3477.96,-12243.58,9790.13,9904.8,10082.31,10299.31,40076.54
LAMPUNG,30297.77,31037.46,31990.48,32017.28,125342.98,589.31,623.89,674.53,772.17,2659.9,3053.63,4139.24,4232.52,6047.66,17473.05,17198.77,16372.78,15957.14,18250.7,67779.4,81.17,147.59,79.55,113.58,421.89,-151.16,974.66,2143.87,-6850.87,-3883.49,51069.49,53295.62,55078.09,50350.53,209793.73
KEP. BANGKA BELITUNG,6117.55,6240.61,6320.43,6348.65,25027.25,73.91,75.11,76.3,76.96,302.28,1097.92,1237.82,1227.39,1305.39,4868.52,2503.62,2599.65,2667.69,2679.98,10450.94,154.62,99.5,176.94,78.51,509.58,1634.43,1641.8,1593.95,1819.63,6689.8,11582.06,11894.48,12062.71,12309.13,47848.37
KEP. RIAU,14727.59,15229.94,15412.61,15631.69,61001.83,80.95,85.57,87,89.37,342.9,1014.05,1898.44,2121.6,3811.22,8845.3,14649.82,16267.88,15295.14,16371.95,62584.78,175.19,180.86,170.28,-93.56,432.76,9017.86,6837.96,8013.89,5775.76,29645.46,39665.45,40500.65,41100.51,41586.42,162853.04
