38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2018,,,2018,,,2018,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,134561,136434.18,-,100825,104778.98,-,111335,114830.4,-
SUMATERA UTARA,120138,120623.05,-,87743,93173.79,-,104865,107932.34,-
SUMATERA BARAT,139235,140237.58,-,91162,95901.02,-,112319,116426.12,-
RIAU,148954,149398.25,-,114001,119824.94,-,128099,131734.43,-
JAMBI,129154,129210.95,-,86388,86819.11,-,100071,100501.02,-
SUMATERA SELATAN,124314,126557.47,-,85005,87600.96,-,99621,101928.35,-
BENGKULU,136223,142003.98,-,108824,117037,-,117725,125225.38,-
LAMPUNG,122626,125522.76,-,92038,93160.05,-,101073,102954.58,-
KEP. BANGKA BELITUNG,180347,186718.59,-,165869,176561.65,-,173633,182017.46,-
KEP. RIAU,190164,194632.97,-,131906,137637.64,-,181902,188369.72,-
DKI JAKARTA,198949,198987.31,-,-,-,-,198949,198987.31,-
JAWA BARAT,105097,105920.36,-,90136,91144.48,-,101223,102311.77,-
JAWA TENGAH,98281,99910.2,-,88642,89496.8,-,93582,94827.43,-
DI YOGYAKARTA,125328,126522.87,-,95550,98191.36,-,117272,118822.06,-
JAWA TIMUR,102744,103272.04,-,89057,89738.64,-,96225,96897.56,-
BANTEN,132429,137476.93,-,96862,104616.34,-,122153,127852.39,-
BALI,123953,125078.78,-,108143,109674.42,-,118604,120176.38,-
NUSA TENGGARA BARAT,98141,99982.72,-,84374,91635.69,-,90777,95622.84,-
NUSA TENGGARA TIMUR,119421,120212.55,-,63119,66622.03,-,75987,78999.45,-
KALIMANTAN BARAT,100003,103335.38,-,81602,87098.79,-,87805,92716.93,-
KALIMANTAN TENGAH,96241,98329.95,-,78636,83686.68,-,85401,89461.96,-
KALIMANTAN SELATAN,152617,153198.22,-,100783,101478.29,-,124920,125666.42,-
KALIMANTAN TIMUR,181664,190174,-,145280,154524.61,-,169596,178650.19,-
KALIMANTAN UTARA,172564,175652.25,-,147823,150711.73,-,162252,165958.59,-
SULAWESI UTARA,86738,88912.17,-,71873,74105.35,-,79322,81782.88,-
SULAWESI TENGAH,124955,125852.35,-,91186,91243.29,-,100595,101178.63,-
SULAWESI SELATAN,96376,96857.57,-,63581,65796.53,-,77256,79099.04,-
SULAWESI TENGGARA,90744,91842.18,-,68026,71248.56,-,76729,79013.38,-
GORONTALO,80305,81220.4,-,64790,67246.78,-,70788,73011.51,-
SULAWESI BARAT,65681,67038.64,-,70469,74140.43,-,69333,72578.68,-
MALUKU,124804,127820.09,-,96604,102147.06,-,108357,113012.08,-
MALUKU UTARA,98243,118003.18,-,84786,86329.06,-,88628,95381.2,-
PAPUA BARAT,146928,162059.55,-,98229,105223.48,-,117927,128283.36,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,181530,188327.81,-,103112,107165.87,-,124711,129967.53,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,120342,121860.22,-,89606,92270.22,-,106414,108647.91,-
