Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,,2013,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
JAWA TENGAH,124568.47,127382.63,133794.4,134634.8,520380.3,2055.04,2242.44,2380.47,2582.18,9260.13,9660.53,15962.55,17846.83,25829.88,69299.78,55857.21,58544.6,62526.41,65235.35,242163.57,11177.78,16380.85,7280.82,5992.52,40831.96,-8202.72,-13549.95,-6446.37,-23720.69,-51919.73,195116.3,206963.11,217382.56,210554.04,830016.02
DI YOGYAKARTA,13670.49,13825.17,14684.62,14921.61,57101.89,581.56,596.08,628.98,650.57,2457.18,2858.4,3067.24,3692.53,4011.66,13629.83,5271.82,5589.4,6308.97,7080.52,24250.7,837.02,406.11,233.51,-509.49,967.15,-3216.68,-2864.39,-3525.93,-3875.21,-13482.21,20002.61,20619.61,22022.67,22279.66,84924.54
JAWA TIMUR,207035.75,209990.89,222486.29,227403.24,866916.17,3727.32,3931.92,4338.58,4873.1,16870.93,16769.23,21263.27,25083.92,30116.06,93232.47,86924.72,94920.83,98551.99,100166.22,380563.76,1213.09,934.41,2203.82,-2967.71,1383.61,11117.64,12639.66,6099.23,-6321.96,23534.56,326787.74,343680.98,358763.84,353268.94,1382501.5
BANTEN,53339.5,54085.59,55650.62,56083.76,219159.47,405.25,420.13,450.52,472.05,1747.95,3570.4,4087.6,4723.34,6290.61,18671.95,24877.64,25564.22,27196.92,29870.13,107508.9,2127.77,2689.72,952.44,604.45,6374.38,6023.57,5872.3,8154.37,4323.18,24373.43,90344.13,92719.56,97128.21,97644.19,377836.08
BALI,16971.55,17089.12,17786.49,17804.52,69651.68,376.17,402.93,470.82,466.61,1716.52,1934.07,3738.59,4387.84,6551.43,16611.93,11597.44,11311.14,10894.67,11128.41,44931.66,603.29,675.42,345.23,285.35,1909.27,27.39,-188.14,934.01,-1186.8,-413.54,31509.91,33029.05,34819.05,35049.52,134407.53
NUSA TENGGARA BARAT,13542.07,13854.96,14496.24,14750.2,56643.48,264.56,273.9,292.65,298.9,1130.01,2541.04,2870.74,3012.17,3234.76,11658.71,6855.39,6989.44,7306.38,7568.99,28720.19,-341.26,-62.79,781.86,-727.92,-350.11,-5792.93,-5491.75,-6488.19,-6410.52,-24183.39,17068.88,18434.5,19401.11,18714.39,73618.88
NUSA TENGGARA TIMUR,11131.78,11100.31,11960.87,13149.12,47342.07,425.93,432.98,477.26,532.13,1868.3,2905.39,4109.64,5954.89,4113.08,17083.01,4458.59,4924.51,5064.81,6172.43,20620.34,262.81,277.38,346.76,277.38,1164.33,-5254.63,-5844.37,-7665.16,-7988.64,-26752.79,13929.88,15000.45,16139.43,16255.5,61325.26
KALIMANTAN BARAT,16172.55,16665.4,17188.45,17386.1,67412.5,331.64,338.8,348.46,357.55,1376.46,2696.15,3331.3,3981.96,4638.91,14648.32,9201.98,10413.92,9950.73,10895.97,40462.61,786.14,486.65,330.59,402.35,2005.73,-1728.1,-2586.87,-1238.93,-1710.75,-7264.66,27460.35,28649.2,30561.27,31970.13,118640.96
KALIMANTAN TENGAH,8340.78,8413.63,8879.85,8984.65,34618.91,244.78,245.8,270.15,278.45,1039.17,2602.81,2868.98,2998.33,3437.46,11907.58,8537.66,8907.45,9604.71,9986.44,37036.27,216.62,-85.33,341.47,227.61,700.37,-446.54,-555.37,-928.27,-1415.2,-3345.38,19496.11,19795.16,21166.23,21499.42,81956.92
KALIMANTAN SELATAN,12778.35,13045.65,13490.17,13684.07,52998.24,219.32,224.89,246.67,262.98,953.86,3040.62,3636.61,3743.67,4560.33,14981.23,5944.25,6370.02,6736.33,7274.23,26324.83,-446.48,545.18,341.43,13,453.14,4573.61,4430.04,6345.37,4797.88,20146.9,26109.66,28252.39,30903.65,30592.5,115858.2
