38 Provinsi,,,,,,,,,
,Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2022,,,2022,,,2022,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,448528,481276,-,434104,462138,-,438658,468255,-
SUMATERA UTARA,431588,458089,-,415301,438098,-,423760,448623,-
SUMATERA BARAT,453326,490322,-,470942,500796,-,462910,495824,-
RIAU,450681,486130,-,435905,468911,-,441535,475492,-
JAMBI,478149,517739,-,380967,410425,-,411537,443292,-
SUMATERA SELATAN,374346,400354,-,353000,368981,-,360600,379882,-
BENGKULU,480128,508068,-,416744,437286,-,435393,457885,-
LAMPUNG,412358,439148,-,372425,392553,-,384769,406732,-
KEP. BANGKA BELITUNG,561881,605177,-,600254,641806,-,579537,622068,-
KEP. RIAU,453563,486016,-,496488,525085,-,458362,491238,-
DKI JAKARTA,508239,534819,-,-,-,-,508239,534819,-
JAWA BARAT,331420,353253,-,343615,361697,-,334224,355172,-
JAWA TENGAH,328539,350614,-,330526,348420,-,329511,349523,-
DI YOGYAKARTA,392290,412821,-,338551,352689,-,378902,398363,-
JAWA TIMUR,354405,374630,-,341452,361913,-,348399,368771,-
BANTEN,421343,444996,-,387733,400849,-,412182,433368,-
BALI,346903,367036,-,318169,334827,-,338417,357640,-
NUSA TENGGARA BARAT,349371,373497,-,336060,361266,-,342789,367535,-
NUSA TENGGARA TIMUR,402228,423538,-,344813,366047,-,358224,380566,-
KALIMANTAN BARAT,418006,445660,-,387226,407998,-,397561,421139,-
KALIMANTAN TENGAH,392777,416222,-,451136,478269,-,426914,453342,-
KALIMANTAN SELATAN,379337,399109,-,411135,431084,-,396308,415976,-
KALIMANTAN TIMUR,507661,541868,-,526674,556626,-,513874,546669,-
KALIMANTAN UTARA,591239,616790,-,525335,548026,-,566292,590192,-
SULAWESI UTARA,336174,357703,-,327019,348939,-,331904,353727,-
SULAWESI TENGAH,388768,412305,-,410179,427956,-,404034,423390,-
SULAWESI SELATAN,298268,316179,-,300359,316911,-,299433,316597,-
SULAWESI TENGGARA,301800,324704,-,305321,327126,-,304126,326264,-
GORONTALO,307264,321061,-,324541,342791,-,317319,333794,-
SULAWESI BARAT,317189,334024,-,313544,327816,-,314221,329203,-
MALUKU,460569,495440,-,473778,497638,-,468335,496691,-
MALUKU UTARA,405708,429919,-,396637,420428,-,399127,423139,-
PAPUA BARAT,509314,535410,-,500372,525865,-,503916,529916,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,456263,493024,-,476758,507226,-,471880,503948,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,377958,401969,-,370096,391093,-,374454,397125,-
