38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2012,,,2012,,,2012,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.337,0.407,-,0.271,0.26,-,0.32,0.341,-
SUMATERA UTARA,0.334,0.351,-,0.318,0.294,-,0.332,0.331,-
SUMATERA BARAT,0.38,0.36,-,0.331,0.321,-,0.364,0.355,-
RIAU,0.414,0.396,-,0.355,0.332,-,0.404,0.383,-
JAMBI,0.364,0.402,-,0.317,0.322,-,0.345,0.359,-
SUMATERA SELATAN,0.448,0.415,-,0.331,0.341,-,0.396,0.397,-
BENGKULU,0.39,0.391,-,0.317,0.322,-,0.354,0.36,-
LAMPUNG,0.396,0.357,-,0.318,0.32,-,0.358,0.356,-
KEP. BANGKA BELITUNG,0.3,0.31,-,0.272,0.285,-,0.294,0.311,-
KEP. RIAU,0.349,0.397,-,0.328,0.315,-,0.354,0.393,-
DKI JAKARTA,0.421,0.437,-,-,-,-,0.421,0.437,-
JAWA BARAT,0.423,0.431,-,0.296,0.293,-,0.412,0.422,-
JAWA TENGAH,0.409,0.391,-,0.323,0.319,-,0.383,0.372,-
DI YOGYAKARTA,0.435,0.451,-,0.382,0.392,-,0.434,0.449,-
JAWA TIMUR,0.385,0.384,-,0.273,0.268,-,0.357,0.362,-
BANTEN,0.387,0.381,-,0.303,0.308,-,0.387,0.384,-
BALI,0.459,0.398,-,0.342,0.346,-,0.431,0.397,-
NUSA TENGGARA BARAT,0.39,0.389,-,0.291,0.312,-,0.348,0.354,-
NUSA TENGGARA TIMUR,0.379,0.384,-,0.289,0.285,-,0.356,0.358,-
KALIMANTAN BARAT,0.434,0.442,-,0.308,0.321,-,0.381,0.395,-
KALIMANTAN TENGAH,0.367,0.37,-,0.287,0.279,-,0.333,0.332,-
KALIMANTAN SELATAN,0.404,0.374,-,0.309,0.309,-,0.378,0.364,-
KALIMANTAN TIMUR,0.353,0.352,-,0.309,0.3,-,0.362,0.363,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.455,0.434,-,0.364,0.383,-,0.427,0.43,-
SULAWESI TENGAH,0.399,0.398,-,0.359,0.337,-,0.4,0.387,-
SULAWESI SELATAN,0.407,0.42,-,0.378,0.378,-,0.41,0.418,-
SULAWESI TENGGARA,0.417,0.404,-,0.36,0.358,-,0.404,0.403,-
GORONTALO,0.398,0.365,-,0.439,0.419,-,0.437,0.413,-
SULAWESI BARAT,0.354,0.449,-,0.28,0.276,-,0.315,0.335,-
MALUKU,0.373,0.387,-,0.344,0.328,-,0.383,0.382,-
MALUKU UTARA,0.327,0.282,-,0.287,0.251,-,0.338,0.306,-
PAPUA BARAT,0.42,0.341,-,0.362,0.357,-,0.425,0.407,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.384,0.392,-,0.389,0.372,-,0.439,0.446,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.425,0.425,-,0.33,0.327,-,0.41,0.413,-
