38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2018,2019,2020
ACEH,617543,613869,634759
SUMATERA UTARA,873025,867817,790132
SUMATERA BARAT,250557,250600,249438
RIAU,212848,233675,235858
JAMBI,483889,400391,404385
SUMATERA SELATAN,385748,393785,416507
BENGKULU,193195,203973,207036
LAMPUNG,1430416,1459409,1517878
KEP. BANGKA BELITUNG,6644,8869,9080
KEP. RIAU,12685,21339,18767
DKI JAKARTA,5037,5446,5245
JAWA BARAT,1311530,1335592,1411740
JAWA TENGAH,3937013,3969841,3725473
DI YOGYAKARTA,405948,402943,416400
JAWA TIMUR,3476635,3524899,3645822
BANTEN,801105,718079,678875
BALI,57908,45102,46138
NUSA TENGGARA BARAT,675852,684694,709768
NUSA TENGGARA TIMUR,682202,835614,964350
KALIMANTAN BARAT,155444,148086,144276
KALIMANTAN TENGAH,45016,45311,48971
KALIMANTAN SELATAN,74878,75224,78780
KALIMANTAN TIMUR,66378,67892,68308
KALIMANTAN UTARA,12862,13990,13998
SULAWESI UTARA,55640,55711,56687
SULAWESI TENGAH,478171,517908,555399
SULAWESI SELATAN,806461,755588,794866
SULAWESI TENGGARA,177845,183725,195128
GORONTALO,99456,102754,104536
SULAWESI BARAT,193944,194194,196714
MALUKU,109503,101356,104173
MALUKU UTARA,136731,140385,150324
PAPUA BARAT,18128,18199,18412
PAPUA BARAT DAYA,-,-,-
PAPUA,56239,66855,71488
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,18306476,18463115,18689711
