Tahun,Indeks Kedalaman Kemiskinan - Perkotaan,Indeks Kedalaman Kemiskinan - Perdesaan,Indeks Kedalaman Kemiskinan - Perkotaan+Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan,Indeks Keparahan Kemiskinan - Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan+Perdesaan
Maret/March,1.19,2.13,1.59,0.29,0.54,0.4
September/September,1.16,2.12,1.56,0.26,0.54,0.38
,,,,,,
Catatan,,,,,,
-,,,,,,
