Tahun,Indeks Kedalaman Kemiskinan - Perkotaan,Indeks Kedalaman Kemiskinan - Perdesaan,Indeks Kedalaman Kemiskinan - Perkotaan+Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan,Indeks Keparahan Kemiskinan - Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan+Perdesaan
Maret/March,1.17,2.37,1.71,0.29,0.63,0.44
September/September,1.08,2.32,1.63,0.25,0.62,0.41
