38 Provinsi,,,
,Upah Minimum Regional/Propinsi (Rupiah),,
,2015,2016,2018
ACEH,1900000,2118500,2700000
SUMATERA UTARA,1625000,1811875,2132189
SUMATERA BARAT,1615000,1800725,2119067
RIAU,1878000,2095000,2464154
JAMBI,1710000,1906650,2243719
SUMATERA SELATAN,1974346,2206000,2595995
BENGKULU,1500000,1605000,1888741
LAMPUNG,1581000,1763000,2074673
KEP. BANGKA BELITUNG,2100000,2341500,2755444
KEP. RIAU,1954000,2178710,2563875
DKI JAKARTA,2700000,3100000,3648036
JAWA BARAT,1000000,2250000,1544361
JAWA TENGAH,910000,-,1486065
DI YOGYAKARTA,988500,-,1454154
JAWA TIMUR,1000000,-,1508895
BANTEN,1600000,1784000,2099385
BALI,1621172,1807600,2127157
NUSA TENGGARA BARAT,1330000,1482950,1825000
NUSA TENGGARA TIMUR,1250000,1425000,1660000
KALIMANTAN BARAT,1560000,1739400,2046900
KALIMANTAN TENGAH,1896367,2057558,2421305
KALIMANTAN SELATAN,1870000,2085050,2454671
KALIMANTAN TIMUR,2026126,2161253,2543332
KALIMANTAN UTARA,2026126,2175340,2559903
SULAWESI UTARA,2150000,2400000,2824286
SULAWESI TENGAH,1500000,1670000,1965232
SULAWESI SELATAN,2000000,2250000,2647767
SULAWESI TENGGARA,1652000,1850000,2177052
GORONTALO,1600000,1875000,2206813
SULAWESI BARAT,1655500,1864000,2193530
MALUKU,1650000,1775000,2222220
MALUKU UTARA,1577617,1681266,2320803
PAPUA BARAT,2015000,2237000,2667000
PAPUA BARAT DAYA,-,-,-
PAPUA,2193000,2435000,3000000
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,1790342,1997819,2268874
