Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5274.9,1.56,1.95,91,100.8
Sumatera Utara,14799.4,1.28,5.48,203,100.6
Sumatera Barat,5534.5,1.29,2.05,132,101.4
Riau,6394.1,1.4,2.37,73,105.1
Jambi,3548.2,1.34,1.31,71,104.1
Sumatera Selatan,8467.4,1.25,3.13,92,104.2
Bengkulu,2010.7,1.55,0.74,101,104.8
Lampung,9007.8,1.65,3.33,260,105.1
Kepulauan Bangka Belitung,1455.7,1.7,0.54,89,106.1
Kepulauan Riau,2064.6,2.02,0.76,252,104.2
DKI Jakarta,10562.1,0.92,3.91,15907,102.1
Jawa Barat,48274.2,1.11,17.87,1365,103.1
Jawa Tengah,36516,1.17,13.51,1113,101.1
DI Yogyakarta,3668.7,0.58,1.36,1171,98.2
Jawa Timur,40665.7,0.79,15.05,851,99.6
Banten,11904.6,1.1,4.41,1232,104
Bali,4317.4,1.01,1.6,747,101.2
Nusa Tenggara Barat,5320.1,1.63,1.97,286,99.7
Nusa Tenggara Timur,5325.6,1.25,1.97,109,100.1
Kalimantan Barat,5414.4,2.04,2,37,105.8
Kalimantan Tengah,2670,1.84,0.99,17,107.9
Kalimantan Selatan,4073.6,1.13,1.51,105,102.5
Kalimantan Timur,3766,2.13,1.39,29,108.7
Kalimantan Utara,701.8,2.86,0.26,9,111.9
Sulawesi Utara,2621.9,1.4,0.97,189,104.8
Sulawesi Tengah,2985.7,1.22,1.1,48,105.8
Sulawesi Selatan,9073.5,1.18,3.36,194,98.6
Sulawesi Tenggara,2624.9,1.58,0.97,69,102.8
Gorontalo,1171.7,1.16,0.43,104,101.9
Sulawesi Barat,1419.2,1.98,0.53,85,103
Maluku,1848.9,1.83,0.68,39,102.6
Maluku Utara,1282.9,2.07,0.47,40,105.1
Papua Barat,1134.1,3.94,0.42,11,111.2
Papua,4303.7,4.13,1.59,13,114.2
Indonesia,270203.9,1.25,100,141,102.3
,,,,,
Catatan,,,,,
<sup>(1)</sup>Hasil Sensus Penduduk (SP) 2020 (September)/<i>The Result of 2020 Population Census (September)</i><sup>(2) </sup>Luas Provinsi Berdasarkan Peraturan Menteri,,,,,
"Dalam Negeri Nomor 72 Tahun 2019 tanggal 25 Oktober 2019/ <i>Area Province Based on Minister of Home Affairs Regulation Number 72/2019, October 25, 2019</i><sup>(3)</sup>Laju pertumbuhan penduduk Provinsi Kalimantan Utara  dihitung berdasarkan gabungan penduduk Kabupaten Malinau, Nunukan, Bulungan, Tana Tidung dan Kota Tarakan Tahun 2010, dibandingkan dengan Penduduk Provinsi Kalimantan Utara Hasil SP2020/ <i>The growth rate of North Kalimantan Province refers to the change of the population of Malinau, Nunukan, Bulungan, Tana Tidung Regency and Tarakan City in 2010, to the population of North Kalimantan Province in 2020 Population Census </i>",,,,,
<sup>,,,,,
</sup>,,,,,
