38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2019,,,2019,,,2019,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,137577,140281,-,106943,110248,-,116842,120033,-
SUMATERA UTARA,129321,139706,-,97785,103166,-,114907,123015,-
SUMATERA BARAT,143519,149242,-,101722,108553,-,121319,127697,-
RIAU,152604,163071,-,123242,129376,-,135097,142957,-
JAMBI,131996,135322,-,91640,96542,-,104725,108973,-
SUMATERA SELATAN,128381,129424,-,90188,94735,-,104445,107685,-
BENGKULU,144674,146663,-,123409,129890,-,130449,135407,-
LAMPUNG,127707,132077,-,94425,97828,-,104689,108311,-
KEP. BANGKA BELITUNG,190458,200912,-,178334,184681,-,185024,193549,-
KEP. RIAU,204035,208017,-,144058,147937,-,198052,201968,-
DKI JAKARTA,207345,211437,-,-,-,-,207345,211437,-
JAWA BARAT,108134,110647,-,92689,95137,-,104505,107014,-
JAWA TENGAH,102252,103546,-,92106,93750,-,97305,98776,-
DI YOGYAKARTA,128992,133943,-,99749,106183,-,121079,126486,-
JAWA TIMUR,105971,108014,-,91740,93809,-,99346,101415,-
BANTEN,140545,148725,-,107604,110445,-,131126,137728,-
BALI,130026,131942,-,113240,115867,-,124790,126986,-
NUSA TENGGARA BARAT,102473,103921,-,93853,95683,-,98009,99662,-
NUSA TENGGARA TIMUR,124193,130258,-,68332,69974,-,81617,84286,-
KALIMANTAN BARAT,108409,110999,-,92007,95986,-,97773,101232,-
KALIMANTAN TENGAH,100845,106567,-,85750,88855,-,91794,95993,-
KALIMANTAN SELATAN,157348,161445,-,108587,116394,-,131631,137693,-
KALIMANTAN TIMUR,191520,205447,-,156075,162946,-,179991,191850,-
KALIMANTAN UTARA,183982,184597,-,156288,169923,-,173136,178863,-
SULAWESI UTARA,92261,94021,-,77187,84147,-,85067,89301,-
SULAWESI TENGAH,130498,131660,-,93145,99359,-,104297,108863,-
SULAWESI SELATAN,100572,103663,-,68088,70484,-,82176,84729,-
SULAWESI TENGGARA,94284,100880,-,73510,77510,-,81641,86578,-
GORONTALO,83130,91439,-,68899,72832,-,74912,80678,-
SULAWESI BARAT,67608,74540,-,75486,77679,-,73626,76976,-
MALUKU,139398,146707,-,111187,118574,-,123475,130898,-
MALUKU UTARA,121938,125670,-,89184,91693,-,98575,101087,-
PAPUA BARAT,164353,169463,-,107703,115627,-,131510,138104,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,194298,201039,-,111915,114082,-,135468,138869,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,125375,129160,-,95111,98495,-,112018,115627,-
