Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,27356.89,28736.28,28882.69,28881.72,113857.59,937.97,950.79,993.96,1005.6,3888.31,5647.69,9170.33,9907.63,13809.09,38534.74,16059.16,16200.54,17042.47,17639.02,66941.19,114.12,59.17,-44.92,139.38,267.76,-2015.78,-3739.09,-3776.95,-4259.41,-13791.23,48100.07,51378.02,53004.88,57215.39,209698.36
SUMATERA UTARA,114228.6,119983.63,122045.9,126044.05,482302.18,1896.89,1992.31,2058.43,2126.83,8074.46,12505.73,15088.68,14458.37,15259.81,57312.58,68172.58,69133.91,70978.85,74184.45,282469.79,4209.56,4474.53,4554.53,4648.49,17887.1,24630.31,24673.11,29969.28,27874.27,107146.98,225643.67,235346.16,244065.36,250137.89,955193.09
SUMATERA BARAT,35738.32,38603.77,38861.98,38956.08,152160.15,690.44,734.23,785.32,732.67,2942.66,5052.98,7160.33,7523.36,9361.97,29098.65,19957.11,20432.61,21075.05,22337.24,83802.01,204.61,111.47,257.78,271.17,845.03,4805.68,2951.9,4637.72,4131.56,16526.86,66449.14,69994.32,73141.22,75790.68,285375.36
RIAU,77565.41,82644.88,84568.23,86348.51,331127.02,1039.43,1193.06,1256.92,1362.2,4851.6,5437.88,7227.93,8162.54,8765.9,29594.25,79208.07,81180.04,77567.34,79666.44,317621.89,-1384.01,2223.81,-941.53,1543.79,1442.06,78598.5,71749.11,78577.6,78053.34,306978.55,240465.28,246218.83,249191.09,255740.18,991615.38
JAMBI,27150.21,28742.44,28637.32,29863.41,114393.37,348.11,376.34,384.57,381.58,1490.6,2443.19,4600.53,4761.9,7147.41,18953.03,13681.51,13308.9,14120.32,14600.29,55711.02,796.44,793.26,269.41,293.83,2152.94,19145.92,21396.71,23308.97,20384.29,84235.88,63565.37,69218.18,71482.48,72670.81,276936.85
SUMATERA SELATAN,81676.42,87008.53,89420.85,89688.4,347794.2,1821,2053.36,2091.46,2101.62,8067.44,4896.72,8581.75,8589.1,12096.36,34163.92,42297.6,45123.42,47275.44,47386.77,182083.24,96.42,-86.26,-2.68,-13.55,-6.06,915.1,6451.86,9230.65,1379.08,17976.69,131703.26,149132.66,156604.81,152638.7,590079.43
BENGKULU,12406.14,13664.63,13380.97,13777.65,53229.38,451.97,475.82,498.42,509.93,1936.14,3191.38,3722.27,3560.23,4740.88,15214.76,8443.31,8783.91,9002.48,9660.92,35890.61,473.63,-252.55,107.61,193.63,522.31,-4254.58,-3567.93,-3916.67,-4942.08,-16681.26,20711.84,22826.14,22633.05,23940.92,90111.95
LAMPUNG,59849.93,64124.01,64414.93,65407.05,253795.92,1594.42,1672.84,1716.67,1755.09,6739.01,5018.05,6728.54,6916.62,9682.73,28345.95,31951.04,32808.86,33930.16,35751.82,134441.88,708.03,774.32,-208.16,-200.24,1073.95,-3616.99,49.09,1934.15,-8643.29,-10277.03,95504.49,106157.65,108704.38,103753.16,414119.68
KEP. BANGKA BELITUNG,13223.22,13772.9,13808.49,13782.27,54586.88,164.31,167.13,173.64,173.32,678.39,1476.42,2382.31,2392.92,2865.55,9117.2,5897.35,5768.36,5971.91,6394.51,24032.13,45.25,48.81,52.6,27.97,174.63,2008.34,1969.58,1374.1,1345.2,6697.21,22814.88,24109.08,23773.66,24588.82,95286.44
KEP. RIAU,29280.24,31142.32,31957.82,32495.14,124875.52,178.17,186.21,192.32,183.98,740.68,1931.42,3350.68,3354.92,5920.57,14557.59,30490.76,31056.59,32731.96,35207.42,129486.72,174.14,-144.4,524.88,1442.45,1997.06,10460.21,10203,8670.07,7748.87,37082.15,72514.94,75794.39,77431.96,82998.43,308739.72
DKI JAKARTA,473229.06,491868.62,496707.08,510007.56,1971812.32,15470.23,16801.55,16846.55,17220.3,66338.62,75128.64,103341.95,105049.4,136757.55,420277.54,265602.51,262762.38,283355.3,289491.74,1101211.93,14837.45,-2619.67,2347.04,-1854.8,12710.02,-79273.98,-81953,-101028.46,-121553.78,-383809.21,764993.9,790201.85,803276.91,830068.57,3188541.22
JAWA BARAT,373681.32,395175.99,393159.57,408441.13,1570458.02,3518.61,3724.63,3700.64,3776.12,14720,16615.8,29851.22,33404.2,43479.02,123350.23,140760.04,141407.27,146283.79,148444.15,576895.25,1455.19,1443.56,750.44,-1156.88,2492.32,44197.29,29065.48,37582.76,24020.97,134866.5,580228.26,600668.16,614881.39,627004.51,2422782.32
JAWA TENGAH,223620.22,235746.89,239161.74,242380.71,940909.56,4480.07,4759.54,4857.78,4892.84,18990.24,16140.01,22857.47,23471.79,39562.46,102031.73,108881.89,111871.55,127704.94,130073,478531.39,3646.46,3870.05,3907.58,4077.39,15501.48,18655.24,5281.86,-3050.19,-17710.93,3175.98,375423.9,384387.37,396053.63,403275.47,1559140.36
DI YOGYAKARTA,24613.98,25456.03,25464.82,26575.46,102110.29,1170.41,1188.39,1205.84,1254.56,4819.2,5146.53,5570.78,5783.65,7683.67,24184.62,12719.35,12960.38,13398.34,14894.12,53972.18,833.8,856.94,-21.69,129.39,1798.44,-4671.19,-5249.74,-3989.15,-7250.14,-21160.21,39812.88,40782.78,41841.81,43287.06,165724.53
JAWA TIMUR,379590.69,407275.57,410894.68,428052.62,1625813.56,7611.61,8096.72,8150.94,8260.67,32119.94,17352,29070.21,31802.96,39130.15,117355.32,176096.6,178204.71,190080.6,197191.3,741573.21,5904.73,6500.32,6633.31,3667.82,22706.18,64229.85,49898.69,54423.35,23303.53,191855.42,650785.48,679046.23,701985.83,699606.09,2731423.63
BANTEN,94822.86,98828.79,102181.43,103510.12,399343.21,763.64,794.04,822.1,812.92,3192.7,6102.67,7240.93,7953.55,9326.76,30623.92,61507.2,62639.44,65577.17,67533.7,257257.52,49.07,-7.61,7.7,-2.27,46.89,14115.87,14685.02,13218.7,14737,56756.6,177361.32,184180.62,189760.66,195918.24,747220.84
BALI,31553.57,33170,33666.21,34962.11,133351.88,832.63,925.08,960.92,997.93,3716.57,3745.23,6515.35,7135.49,8964.96,26361.02,16720.59,17637.67,19272.3,19170.95,72801.51,144.14,140.42,142.49,140,567.05,2482.66,2795.72,1865.99,1425.49,8569.86,55478.81,61184.25,63043.4,65661.43,245367.89
NUSA TENGGARA BARAT,22189.45,22938.63,23083.54,23610.01,91821.64,594.22,616.83,634.9,630.81,2476.77,4947.86,5494.64,5598.39,5956.55,21997.45,13108.48,12968.05,13944.83,14560.3,54581.65,158.59,108.63,52.77,26.14,346.13,-4344.39,-2911.91,-2834.34,-4190.33,-14280.97,36654.21,39214.87,40480.1,40593.49,156942.67
NUSA TENGGARA TIMUR,19066.96,20378.52,20755.51,21415.8,81616.79,963.75,981.11,985.69,1015.91,3946.45,3435.94,6141.79,7167.51,9494.95,26240.18,12492.54,13044.25,13391.4,15149.54,54077.74,289.87,291.68,294.54,272.44,1148.54,-9060.9,-11316.57,-12188.23,-15741.56,-48307.26,27188.16,29520.78,30406.43,31607.08,118722.45
KALIMANTAN BARAT,30323.77,31266.95,31345.8,31507.04,124443.56,718.64,749.04,755.93,846.65,3070.25,5962.24,6270.12,6999.2,7437.56,26669.12,17189.23,18008.84,19825.32,20663.29,75686.68,-2585.88,-3582.43,-3736.75,-1146.67,-11051.73,9892.23,10586.13,9307.21,7193.82,36979.39,61500.23,63298.66,64496.7,66501.69,255797.28
KALIMANTAN TENGAH,17158.58,17971.02,18237.86,18490.26,71857.72,651.9,680.8,694.56,704.32,2731.57,4030.02,5348.33,5931.39,7368.02,22677.76,16735.02,16793.97,18859.63,19353.07,71741.68,578.98,482.03,396.32,23.38,1480.71,7232.11,8483.31,5729.02,7807.4,29251.83,46386.61,49759.45,49848.79,53746.44,199741.29
KALIMANTAN SELATAN,23814.9,26088.04,26309.43,27002.74,103215.11,506.47,549.68,560.33,577.38,2193.86,4343.27,6287.42,6470.74,7503.16,24604.59,12222.31,12285.96,12998.3,14122.25,51628.81,-96.41,-1680.67,1199.14,-281.87,-859.82,11711.59,20514.91,19502.37,18587.22,70316.09,52502.12,64045.33,67040.31,67510.88,251098.65
KALIMANTAN TIMUR,29921.77,31468.97,31989.23,32504.7,125884.68,864.77,886.91,962.15,975.77,3689.59,4460.04,6802.07,7606.09,13102.52,31970.72,54861.68,54489.07,58839.71,64891.85,233082.31,17.45,164.25,60.31,168.08,410.09,97052.49,136405.39,151392.72,141562.99,526413.6,187178.21,230216.65,250850.22,253205.9,921450.99
KALIMANTAN UTARA,4293.45,4482.91,4576.83,4641.7,17994.89,196.03,205.95,211.63,213.04,826.65,1272.51,1999.93,2071.44,2575.19,7919.07,8246.57,7883.05,8663.03,9033.09,33825.73,93.18,89.74,91.49,85.06,359.47,15252.1,19017.96,20897.34,22581.75,77749.15,29353.83,33679.55,36511.75,39129.83,138674.96
