38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2021,2022,2023
ACEH,649962,657643,191186
SUMATERA UTARA,665699,580000,-
SUMATERA BARAT,248692,242302,-
RIAU,252432,236228,152196
JAMBI,419741,402652,112306
SUMATERA SELATAN,428619,414640,364620
BENGKULU,211261,221491,93619
LAMPUNG,1611347,1623358,1798436
KEP. BANGKA BELITUNG,6928,4964,-
KEP. RIAU,12726,8171,-
DKI JAKARTA,5994,4265,12844
JAWA BARAT,1409000,1373978,-
JAWA TENGAH,3790059,3747610,-
DI YOGYAKARTA,417386,466759,-
JAWA TIMUR,3741903,3561686,-
BANTEN,645407,650724,-
BALI,46580,43230,49704
NUSA TENGGARA BARAT,711450,652276,266155
NUSA TENGGARA TIMUR,956374,991953,372049
KALIMANTAN BARAT,147146,113661,93435
KALIMANTAN TENGAH,51376,41976,-
KALIMANTAN SELATAN,80298,62873,-
KALIMANTAN TIMUR,68997,58552,-
KALIMANTAN UTARA,12421,9561,-
SULAWESI UTARA,52610,53555,-
SULAWESI TENGAH,583744,579691,78170
SULAWESI SELATAN,819451,838502,176546
SULAWESI TENGGARA,204357,216478,-
GORONTALO,107163,109673,-
SULAWESI BARAT,199162,200871,-
MALUKU,104296,139479,31194
MALUKU UTARA,150856,158231,-
PAPUA BARAT,16846,12564,-
PAPUA BARAT DAYA,-,4477,1993
PAPUA,74064,22719,-
PAPUA SELATAN,-,14155,6397
PAPUA TENGAH,-,34441,5132
PAPUA PEGUNUNGAN,-,5446,138
INDONESIA,18904347,18560835,14374014
