38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2012,2013,2014
ACEH,581676,655650,581597
SUMATERA UTARA,781774,849487,866763
SUMATERA BARAT,257361,256704,266715
RIAU,208429,175832,184899
JAMBI,430014,410866,422715
SUMATERA SELATAN,343065,330401,370593
BENGKULU,243487,263063,273816
LAMPUNG,1159543,1253153,1250823
KEP. BANGKA BELITUNG,8389,3225,2652
KEP. RIAU,22459,21558,20941
DKI JAKARTA,6248,6626,5506
JAWA BARAT,2303256,2559699,2599380
JAWA TENGAH,3889878,3922159,3957917
DI YOGYAKARTA,352223,369730,385477
JAWA TIMUR,2879369,2937980,3090159
BANTEN,767757,813944,776304
BALI,70188,65127,68457
NUSA TENGGARA BARAT,627282,584149,576125
NUSA TENGGARA TIMUR,578829,592365,609367
KALIMANTAN BARAT,171222,167471,148153
KALIMANTAN TENGAH,46674,43463,39595
KALIMANTAN SELATAN,105500,66118,67098
KALIMANTAN TIMUR,62288,61301,55259
KALIMANTAN UTARA,-,-,12794
SULAWESI UTARA,47448,48181,46199
SULAWESI TENGAH,530627,565053,586948
SULAWESI SELATAN,572587,599216,650108
SULAWESI TENGGARA,139974,145806,132837
GORONTALO,92168,83512,82205
SULAWESI BARAT,217925,219755,219878
MALUKU,265163,266939,102655
MALUKU UTARA,90053,104243,112092
PAPUA BARAT,20470,22294,24258
PAPUA BARAT DAYA,-,-,-
PAPUA,32536,35251,49247
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,17905862,18500321,18639532
