38 Provinsi,,,,,,,,,
,Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2017,,,2017,,,2017,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,330153.07,347811,-,331267.09,346070,-,330958.33,346552,-
SUMATERA UTARA,311996.83,321688,-,316190.72,322222,-,314243.1,321967,-
SUMATERA BARAT,337132.91,339340,-,352878.21,354771,-,346896.34,348429,-
RIAU,318174,327480,-,346208.19,350965,-,335922.13,342348,-
JAMBI,336354.46,341605,-,287877.94,291651,-,301576.33,306360,-
SUMATERA SELATAN,291341.39,297193,-,273134.6,278321,-,279284.44,284680,-
BENGKULU,350441,361375,-,341275.01,352385,-,343868.51,355033,-
LAMPUNG,302761.22,307473,-,285183.38,286434,-,289705.73,291600,-
KEP. BANGKA BELITUNG,400464.28,421894,-,449106.13,464559,-,424845.04,441580,-
KEP. RIAU,340729.64,357478,-,375168.68,387266,-,346267.42,362339,-
DKI JAKARTA,347382.93,383192,-,-,-,-,347382.93,383192,-
JAWA BARAT,244750.59,250654,-,257238.07,265183,-,248505.46,254799,-
JAWA TENGAH,240655.92,244264,-,248154.86,252711,-,244606.4,248612,-
DI YOGYAKARTA,270924.1,290650,-,260248.81,262952,-,267500.63,282639,-
JAWA TIMUR,246077.97,272645,-,255319,260752,-,250804.58,266469,-
BANTEN,271750.65,292643,-,274157.44,279609,-,272551.53,288655,-
BALI,252294.93,252299,-,245927.94,251306,-,249883.56,251921,-
NUSA TENGGARA BARAT,259057.16,267116,-,255797.72,260052,-,257263.29,263301,-
NUSA TENGGARA TIMUR,290711.36,292048,-,268003.62,268253,-,272537.49,273325,-
KALIMANTAN BARAT,286049.47,305430,-,302069.66,315188,-,297455.38,312222,-
KALIMANTAN TENGAH,283201.3,286272,-,338235.32,342574,-,320636.54,325133,-
KALIMANTAN SELATAN,268327.11,282483,-,302037.12,309046,-,287959.87,297743,-
KALIMANTAN TIMUR,387723.43,391088,-,391851.73,410491,-,389151.78,398030,-
KALIMANTAN UTARA,396530.66,423315,-,400086.16,410855,-,398122.7,418003,-
SULAWESI UTARA,246203.81,246744,-,267177.84,270008,-,257489.3,259010,-
SULAWESI TENGAH,295576.53,308042,-,297929.32,312051,-,297375.78,311145,-
SULAWESI SELATAN,204192.47,209432,-,215790.81,226047,-,211452.03,219551,-
SULAWESI TENGGARA,211529.93,218461,-,217357.46,227757,-,215619.58,224360,-
GORONTALO,221124.05,233999,-,233542.57,242180,-,229465.58,239329,-
SULAWESI BARAT,233411.63,255318,-,240903.62,247744,-,239358.77,249544,-
MALUKU,319133.98,341556,-,342515.94,347373,-,333356.84,345090,-
MALUKU UTARA,315481.09,318011,-,303436.23,307493,-,306642.38,310354,-
PAPUA BARAT,375359.56,378551,-,397246.05,404857,-,389400.29,395479,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,328874.54,334043,-,349305.78,350279,-,344637.05,346106,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,270856.32,283220,-,278277.85,284740,-,274544.38,283964,-
