Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
Garut,335134,367681,393464
Tasikmalaya,347917,378958,400148
Ciamis,405294,442108,467497
Kuningan,371665,402767,420867
Cirebon,416914,451853,475046
Majalengka,483319,520713,547912
Sumedang,371870,396573,422714
Indramayu,499805,532545,560159
Subang,372308,404320,434161
Purwakarta,403663,434187,467948
Karawang,521158,555889,597345
Bekasi,579221,632811,674924
Bandung Barat,393956,426355,455325
Pangandaran,411174,447242,470068
Kota Bogor,608949,661384,699861
Kota Sukabumi,594118,644276,678258
Kota Bandung,545675,591124,614707
Kota Cirebon,485613,520579,545592
Kota Bekasi,731392,795965,842927
Kota Depok,744771,804984,843893
Kota Cimahi,549450,590197,612567
Kota Tasikmalaya,498711,537497,565377
Kota Banjar,373510,408710,430590
JAWA TENGAH,438833,477580,507001
Cilacap,384955,419429,441093
Banyumas,441520,479027,500861
Purbalingga,407849,439208,460870
Banjarnegara,351333,380046,398344
Kebumen,416004,451678,471824
Purworejo,393731,427622,459253
Wonosobo,399180,425105,456351
Magelang,377497,411129,431289
Boyolali,383030,420339,442071
Klaten,458872,488102,505826
Sukoharjo,434318,476675,501693
Wonogiri,376763,414901,443563
Karanganyar,424677,465703,491551
Sragen,389265,426482,453663
Grobogan,428597,464614,489208
Blora,390478,425135,464959
Rembang,441482,477514,518607
Pati,486855,532545,559499
Kudus,482806,520830,550075
Jepara,442618,479131,503832
Demak,471818,511145,535134
Semarang,459151,498952,520639
Temanggung,354012,388369,416086
Kendal,433864,465936,488940
Batang,341252,378858,412196
Pekalongan,441765,480934,505520
Pemalang,429549,467204,493593
Tegal,434638,470728,497315
Brebes,472326,513339,542495
Kota Magelang,575130,602794,626614
Kota Surakarta,538441,600953,638102
Kota Salatiga,518815,565031,596659
Kota Semarang,589598,642456,671936
Kota Pekalongan,513243,565998,605312
Kota Tegal,565826,623617,664922
D I YOGYAKARTA,521673,573022,602437
Kulon Progo,381666,416870,438007
Bantul,445511,488340,510740
Gunung Kidul,350739,382249,401209
Sleman,450763,491652,513926
Kota Yogyakarta,601905,662267,686973
JAWA TIMUR,460909,507286,536122
Pacitan,327758,352606,370643
Ponorogo,362461,395069,413619
Trenggalek,381448,411527,434146
Tulungagung,391888,423875,447793
Blitar,355511,387733,408399
Kediri,353033,385874,403621
Malang,367579,399647,420334
Lumajang,352776,386995,405136
Jember,400961,441171,459043
Banyuwangi,414879,448928,470713
Bondowoso,449760,494000,517741
Situbondo,356133,396587,413611
Probolinggo,475713,514274,537724
Pasuruan,394016,429624,450088
Sidoarjo,523213,571696,597284
Mojokerto,445608,486520,508618
Jombang,448830,488754,514170
