38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2016,,,2016,,,2016,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.343,0.362,-,0.288,0.296,-,0.333,0.341,-
SUMATERA UTARA,0.334,0.333,-,0.282,0.27,-,0.319,0.312,-
SUMATERA BARAT,0.353,0.323,-,0.288,0.267,-,0.331,0.312,-
RIAU,0.369,0.368,-,0.309,0.309,-,0.347,0.347,-
JAMBI,0.377,0.403,-,0.313,0.292,-,0.349,0.346,-
SUMATERA SELATAN,0.373,0.397,-,0.293,0.306,-,0.348,0.362,-
BENGKULU,0.385,0.405,-,0.302,0.296,-,0.357,0.354,-
LAMPUNG,0.393,0.384,-,0.33,0.311,-,0.364,0.358,-
KEP. BANGKA BELITUNG,0.289,0.318,-,0.24,0.239,-,0.275,0.288,-
KEP. RIAU,0.351,0.346,-,0.284,0.264,-,0.354,0.352,-
DKI JAKARTA,0.411,0.397,-,-,-,-,0.411,0.397,-
JAWA BARAT,0.423,0.412,-,0.317,0.31,-,0.413,0.402,-
JAWA TENGAH,0.381,0.382,-,0.323,0.313,-,0.366,0.357,-
DI YOGYAKARTA,0.423,0.423,-,0.334,0.343,-,0.42,0.425,-
JAWA TIMUR,0.423,0.433,-,0.333,0.313,-,0.402,0.402,-
BANTEN,0.402,0.399,-,0.264,0.248,-,0.394,0.392,-
BALI,0.369,0.378,-,0.329,0.335,-,0.366,0.374,-
NUSA TENGGARA BARAT,0.391,0.41,-,0.317,0.306,-,0.359,0.365,-
NUSA TENGGARA TIMUR,0.33,0.344,-,0.281,0.317,-,0.336,0.362,-
KALIMANTAN BARAT,0.373,0.361,-,0.296,0.275,-,0.341,0.331,-
KALIMANTAN TENGAH,0.359,0.364,-,0.296,0.326,-,0.33,0.347,-
KALIMANTAN SELATAN,0.346,0.363,-,0.297,0.298,-,0.332,0.351,-
KALIMANTAN TIMUR,0.314,0.314,-,0.288,0.313,-,0.315,0.328,-
KALIMANTAN UTARA,0.304,0.308,-,0.268,0.28,-,0.3,0.305,-
SULAWESI UTARA,0.386,0.388,-,0.355,0.35,-,0.386,0.379,-
SULAWESI TENGAH,0.387,0.372,-,0.32,0.308,-,0.362,0.347,-
SULAWESI SELATAN,0.422,0.409,-,0.367,0.34,-,0.426,0.4,-
SULAWESI TENGGARA,0.407,0.395,-,0.367,0.352,-,0.402,0.388,-
GORONTALO,0.414,0.402,-,0.392,0.397,-,0.419,0.41,-
SULAWESI BARAT,0.393,0.441,-,0.347,0.341,-,0.364,0.371,-
MALUKU,0.327,0.338,-,0.313,0.303,-,0.348,0.344,-
MALUKU UTARA,0.295,0.326,-,0.249,0.251,-,0.286,0.309,-
PAPUA BARAT,0.326,0.357,-,0.376,0.394,-,0.373,0.401,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.312,0.318,-,0.383,0.392,-,0.39,0.399,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.41,0.409,-,0.327,0.316,-,0.397,0.394,-
