38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2015,,,2015,,,2015,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.66,0.5,-,0.9,0.98,-,0.83,0.84,-
SUMATERA UTARA,0.38,0.35,-,0.46,0.69,-,0.42,0.52,-
SUMATERA BARAT,0.16,0.25,-,0.24,0.32,-,0.21,0.29,-
RIAU,0.27,0.21,-,0.41,0.6,-,0.36,0.45,-
JAMBI,0.53,0.4,-,0.26,0.45,-,0.35,0.44,-
SUMATERA SELATAN,0.62,0.25,-,0.65,0.54,-,0.64,0.44,-
BENGKULU,1.21,1.32,-,0.86,1.09,-,0.97,1.16,-
LAMPUNG,0.38,0.36,-,0.66,0.69,-,0.59,0.6,-
KEP. BANGKA BELITUNG,0.09,0.15,-,0.19,0.28,-,0.14,0.22,-
KEP. RIAU,0.25,0.23,-,0.22,0.26,-,0.25,0.23,-
DKI JAKARTA,0.1,0.04,-,-,-,-,0.1,0.04,-
JAWA BARAT,0.42,0.4,-,0.47,0.68,-,0.43,0.49,-
JAWA TENGAH,0.52,0.6,-,0.76,0.58,-,0.65,0.59,-
DI YOGYAKARTA,0.71,0.6,-,1.09,0.68,-,0.83,0.63,-
JAWA TIMUR,0.31,0.37,-,0.72,0.83,-,0.52,0.61,-
BANTEN,0.23,0.2,-,0.22,0.23,-,0.23,0.21,-
BALI,0.14,0.35,-,0.15,0.34,-,0.14,0.35,-
NUSA TENGGARA BARAT,1.23,0.73,-,0.68,0.72,-,0.91,0.73,-
NUSA TENGGARA TIMUR,0.41,0.51,-,1.24,1.67,-,1.07,1.44,-
KALIMANTAN BARAT,0.2,0.21,-,0.37,0.25,-,0.32,0.24,-
KALIMANTAN TENGAH,0.17,0.24,-,0.23,0.23,-,0.21,0.23,-
KALIMANTAN SELATAN,0.12,0.42,-,0.22,0.22,-,0.18,0.3,-
KALIMANTAN TIMUR,0.16,0.08,-,0.33,0.32,-,0.22,0.17,-
KALIMANTAN UTARA,0.14,0.09,-,0.22,0.27,-,0.18,0.17,-
SULAWESI UTARA,0.18,0.13,-,0.47,0.71,-,0.33,0.44,-
SULAWESI TENGAH,0.43,0.31,-,0.74,0.7,-,0.66,0.6,-
SULAWESI SELATAN,0.16,0.08,-,0.63,0.68,-,0.45,0.45,-
SULAWESI TENGGARA,0.4,0.46,-,0.95,0.49,-,0.79,0.49,-
GORONTALO,0.23,0.38,-,1.78,1.14,-,1.24,0.88,-
SULAWESI BARAT,0.36,0.13,-,0.49,0.35,-,0.46,0.31,-
MALUKU,0.33,0.66,-,1.3,2.29,-,0.92,1.66,-
MALUKU UTARA,0.04,0.14,-,0.16,0.32,-,0.13,0.27,-
PAPUA BARAT,0.18,0.17,-,3.64,2.65,-,2.33,1.71,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.21,0.02,-,5.07,0.08,-,3.78,0.07,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.36,0.35,-,0.71,0.67,-,0.53,0.51,-
