38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2016,,,2016,,,2016,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,0.7,0.28,-,1.12,1.11,-,1,0.87,-
SUMATERA UTARA,0.47,0.42,-,0.52,0.7,-,0.5,0.56,-
SUMATERA BARAT,0.15,0.25,-,0.3,0.3,-,0.24,0.28,-
RIAU,0.2,0.45,-,0.42,0.36,-,0.34,0.4,-
JAMBI,0.55,0.71,-,0.29,0.21,-,0.37,0.36,-
SUMATERA SELATAN,0.37,0.47,-,0.46,0.49,-,0.43,0.48,-
BENGKULU,0.7,0.65,-,0.81,0.64,-,0.77,0.64,-
LAMPUNG,0.48,0.27,-,0.79,0.46,-,0.7,0.41,-
KEP. BANGKA BELITUNG,0.08,0.04,-,0.22,0.28,-,0.15,0.16,-
KEP. RIAU,0.18,0.13,-,0.31,0.25,-,0.2,0.15,-
DKI JAKARTA,0.08,0.08,-,-,-,-,0.08,0.08,-
JAWA BARAT,0.26,0.24,-,0.62,0.37,-,0.37,0.28,-
JAWA TENGAH,0.4,0.49,-,0.83,0.59,-,0.63,0.54,-
DI YOGYAKARTA,0.38,0.22,-,1.05,0.67,-,0.59,0.36,-
JAWA TIMUR,0.23,0.34,-,0.71,0.61,-,0.47,0.47,-
BANTEN,0.13,0.16,-,0.25,0.17,-,0.17,0.17,-
BALI,0.08,0.06,-,0.12,0.18,-,0.09,0.11,-
NUSA TENGGARA BARAT,0.78,0.78,-,0.77,0.55,-,0.77,0.65,-
NUSA TENGGARA TIMUR,0.46,0.46,-,1.51,1.09,-,1.3,0.96,-
KALIMANTAN BARAT,0.13,0.12,-,0.4,0.3,-,0.32,0.24,-
KALIMANTAN TENGAH,0.1,0.17,-,0.25,0.14,-,0.2,0.15,-
KALIMANTAN SELATAN,0.14,0.19,-,0.19,0.15,-,0.16,0.16,-
KALIMANTAN TIMUR,0.12,0.13,-,0.56,0.25,-,0.28,0.17,-
KALIMANTAN UTARA,0.16,0.23,-,0.19,0.2,-,0.17,0.21,-
SULAWESI UTARA,0.17,0.19,-,0.71,0.46,-,0.46,0.34,-
SULAWESI TENGAH,0.53,0.56,-,0.79,0.56,-,0.73,0.56,-
SULAWESI SELATAN,0.16,0.29,-,0.79,0.45,-,0.55,0.38,-
SULAWESI TENGGARA,0.44,0.29,-,1.09,0.53,-,0.9,0.46,-
GORONTALO,0.2,0.14,-,2.18,0.94,-,1.47,0.65,-
SULAWESI BARAT,0.14,0.4,-,0.57,0.45,-,0.48,0.44,-
MALUKU,0.37,0.37,-,1.4,1.65,-,0.99,1.13,-
MALUKU UTARA,0.06,0.02,-,0.22,0.28,-,0.18,0.21,-
PAPUA BARAT,0.19,0.36,-,4.46,3.44,-,2.82,2.23,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.22,0.2,-,5.6,3.53,-,4.19,2.65,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.27,0.29,-,0.79,0.59,-,0.53,0.44,-
