38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2015,2016,2017
ACEH,594065,634110,615526
SUMATERA UTARA,868731,901565,895762
SUMATERA BARAT,273383,271471,255463
RIAU,195827,180671,199037
JAMBI,449434,475805,496915
SUMATERA SELATAN,394328,399682,343419
BENGKULU,237274,252849,282981
LAMPUNG,1297872,1326103,1360734
KEP. BANGKA BELITUNG,2967,4534,5392
KEP. RIAU,18495,19331,27987
DKI JAKARTA,5688,5739,4537
JAWA BARAT,2610375,1237990,1251354
JAWA TENGAH,4069797,4066654,4107224
DI YOGYAKARTA,400001,402976,401219
JAWA TIMUR,3178197,3279732,3376323
BANTEN,777498,790498,815807
BALI,65045,62652,49118
NUSA TENGGARA BARAT,613548,643079,657194
NUSA TENGGARA TIMUR,626431,637969,674227
KALIMANTAN BARAT,152368,156631,156803
KALIMANTAN TENGAH,43293,45409,44258
KALIMANTAN SELATAN,64012,60842,66502
KALIMANTAN TIMUR,59258,57794,61526
KALIMANTAN UTARA,13047,12844,13147
SULAWESI UTARA,51692,54239,54775
SULAWESI TENGAH,518698,402124,445337
SULAWESI SELATAN,691022,745125,777306
SULAWESI TENGGARA,140622,151570,167756
GORONTALO,86344,93274,96697
SULAWESI BARAT,225766,163180,190708
MALUKU,95752,103678,107033
MALUKU UTARA,117236,127485,128107
PAPUA BARAT,25113,25532,19888
PAPUA BARAT DAYA,-,-,-
PAPUA,49615,54060,57955
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,19012794,17847197,18208017
