38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2018,,,2018,,,2018,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.344,0.338,-,0.285,0.273,-,0.325,0.318,-
SUMATERA UTARA,0.335,0.33,-,0.272,0.257,-,0.318,0.311,-
SUMATERA BARAT,0.338,0.308,-,0.28,0.262,-,0.321,0.305,-
RIAU,0.356,0.379,-,0.288,0.292,-,0.327,0.347,-
JAMBI,0.354,0.351,-,0.308,0.295,-,0.334,0.335,-
SUMATERA SELATAN,0.381,0.354,-,0.316,0.296,-,0.358,0.341,-
BENGKULU,0.394,0.388,-,0.318,0.316,-,0.362,0.355,-
LAMPUNG,0.367,0.338,-,0.317,0.294,-,0.346,0.326,-
KEP. BANGKA BELITUNG,0.296,0.289,-,0.238,0.222,-,0.281,0.272,-
KEP. RIAU,0.325,0.333,-,0.289,0.262,-,0.33,0.339,-
DKI JAKARTA,0.394,0.39,-,-,-,-,0.394,0.39,-
JAWA BARAT,0.418,0.413,-,0.322,0.315,-,0.407,0.405,-
JAWA TENGAH,0.4,0.377,-,0.336,0.315,-,0.378,0.357,-
DI YOGYAKARTA,0.442,0.421,-,0.35,0.326,-,0.441,0.422,-
JAWA TIMUR,0.387,0.375,-,0.327,0.322,-,0.379,0.371,-
BANTEN,0.386,0.362,-,0.283,0.299,-,0.385,0.367,-
BALI,0.381,0.363,-,0.317,0.31,-,0.377,0.364,-
NUSA TENGGARA BARAT,0.398,0.422,-,0.333,0.343,-,0.372,0.391,-
NUSA TENGGARA TIMUR,0.358,0.352,-,0.297,0.327,-,0.351,0.359,-
KALIMANTAN BARAT,0.377,0.35,-,0.277,0.278,-,0.339,0.325,-
KALIMANTAN TENGAH,0.387,0.369,-,0.295,0.318,-,0.342,0.344,-
KALIMANTAN SELATAN,0.365,0.357,-,0.285,0.279,-,0.344,0.34,-
KALIMANTAN TIMUR,0.35,0.347,-,0.287,0.297,-,0.342,0.342,-
KALIMANTAN UTARA,0.31,0.307,-,0.278,0.283,-,0.303,0.304,-
SULAWESI UTARA,0.402,0.364,-,0.349,0.368,-,0.394,0.372,-
SULAWESI TENGAH,0.37,0.331,-,0.307,0.28,-,0.346,0.317,-
SULAWESI SELATAN,0.392,0.391,-,0.361,0.353,-,0.397,0.388,-
SULAWESI TENGGARA,0.42,0.41,-,0.37,0.356,-,0.409,0.392,-
GORONTALO,0.39,0.397,-,0.383,0.413,-,0.403,0.417,-
SULAWESI BARAT,0.421,0.451,-,0.335,0.311,-,0.37,0.366,-
MALUKU,0.314,0.294,-,0.291,0.288,-,0.343,0.326,-
MALUKU UTARA,0.345,0.308,-,0.266,0.277,-,0.328,0.336,-
PAPUA BARAT,0.331,0.318,-,0.424,0.427,-,0.394,0.391,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.312,0.294,-,0.384,0.416,-,0.384,0.398,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.401,0.391,-,0.324,0.319,-,0.389,0.384,-
