38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2016,,,2016,,,2016,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,121727,125719,-,88288,90972,-,98155,101217,-
SUMATERA UTARA,108312,111808,-,72806,75473,-,91324,93795,-
SUMATERA BARAT,129369,132506,-,81375,83703,-,98148,103717,-
RIAU,134320,137972,-,99515,100785,-,113648,115497,-
JAMBI,118646,120458,-,71249,72563,-,86903,87525,-
SUMATERA SELATAN,112324,116824,-,67658,69692,-,82664,86661,-
BENGKULU,114862,122478,-,76110,91690,-,91576,101468,-
LAMPUNG,113248,114155,-,82510,84145,-,90485,92376,-
KEP. BANGKA BELITUNG,155835,166122,-,137599,146405,-,145776,156533,-
KEP. RIAU,168404,171398,-,113836,115276,-,159715,162729,-
DKI JAKARTA,180715,185752,-,-,-,-,180715,185752,-
JAWA BARAT,96826,98192,-,78332,80963,-,90884,93174,-
JAWA TENGAH,90282,91586,-,81287,81410,-,85675,86345,-
DI YOGYAKARTA,110502,112832,-,84348,86986,-,101800,104865,-
JAWA TIMUR,93762,95769,-,79939,82159,-,85307,88992,-
BANTEN,120516,121618,-,84904,86952,-,106892,110923,-
BALI,110736,114998,-,92552,94790,-,104574,107576,-
NUSA TENGGARA BARAT,91846,94237,-,77166,79274,-,83624,85836,-
NUSA TENGGARA TIMUR,110757,112395,-,54709,56039,-,66702,68018,-
KALIMANTAN BARAT,87852,90887,-,68058,71406,-,72760,77489,-
KALIMANTAN TENGAH,84105,85734,-,70656,72228,-,73999,76983,-
KALIMANTAN SELATAN,137860,141992,-,83630,86488,-,106618,110736,-
KALIMANTAN TIMUR,160459,164529,-,131096,134422,-,147287,154269,-
KALIMANTAN UTARA,156536,160057,-,127155,131706,-,145670,147868,-
SULAWESI UTARA,79831,79988,-,66408,66457,-,71471,72811,-
SULAWESI TENGAH,115108,117962,-,79134,81972,-,85749,91246,-
SULAWESI SELATAN,88304,90023,-,54579,56501,-,66683,69594,-
SULAWESI TENGGARA,84546,85004,-,59712,61261,-,66669,68243,-
GORONTALO,75076,75400,-,59232,59453,-,64764,65196,-
SULAWESI BARAT,57721,59698,-,60001,62063,-,59632,61558,-
MALUKU,111698,115413,-,87443,90151,-,96137,100275,-
MALUKU UTARA,89579,93810,-,73252,77455,-,81476,82024,-
PAPUA BARAT,132055,137689,-,84422,89046,-,102419,108341,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,161082,165237,-,84834,88921,-,105265,108778,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,109346,112228,-,77514,80382,-,93917,97050,-
