38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2020,,,2020,,,2020,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.36,0.355,-,0.281,0.283,-,0.323,0.319,-
SUMATERA UTARA,0.338,0.336,-,0.255,0.258,-,0.316,0.314,-
SUMATERA BARAT,0.323,0.32,-,0.257,0.256,-,0.305,0.301,-
RIAU,0.363,0.359,-,0.273,0.274,-,0.329,0.321,-
JAMBI,0.351,0.346,-,0.287,0.289,-,0.32,0.316,-
SUMATERA SELATAN,0.358,0.352,-,0.308,0.31,-,0.339,0.338,-
BENGKULU,0.378,0.381,-,0.275,0.274,-,0.334,0.323,-
LAMPUNG,0.345,0.342,-,0.298,0.295,-,0.327,0.32,-
KEP. BANGKA BELITUNG,0.276,0.271,-,0.22,0.229,-,0.262,0.257,-
KEP. RIAU,0.337,0.335,-,0.26,0.26,-,0.339,0.334,-
DKI JAKARTA,0.399,0.4,-,-,-,-,0.399,0.4,-
JAWA BARAT,0.412,0.409,-,0.325,0.326,-,0.403,0.398,-
JAWA TENGAH,0.385,0.386,-,0.319,0.318,-,0.362,0.359,-
DI YOGYAKARTA,0.436,0.439,-,0.328,0.329,-,0.434,0.437,-
JAWA TIMUR,0.377,0.373,-,0.316,0.318,-,0.366,0.364,-
BANTEN,0.36,0.361,-,0.296,0.296,-,0.363,0.365,-
BALI,0.372,0.378,-,0.298,0.304,-,0.369,0.369,-
NUSA TENGGARA BARAT,0.403,0.405,-,0.337,0.336,-,0.376,0.386,-
NUSA TENGGARA TIMUR,0.334,0.329,-,0.31,0.311,-,0.354,0.356,-
KALIMANTAN BARAT,0.335,0.329,-,0.272,0.273,-,0.317,0.325,-
KALIMANTAN TENGAH,0.361,0.357,-,0.289,0.29,-,0.329,0.32,-
KALIMANTAN SELATAN,0.355,0.343,-,0.276,0.277,-,0.332,0.351,-
KALIMANTAN TIMUR,0.333,0.33,-,0.286,0.286,-,0.328,0.335,-
KALIMANTAN UTARA,0.289,0.285,-,0.279,0.278,-,0.292,0.3,-
SULAWESI UTARA,0.371,0.367,-,0.344,0.346,-,0.37,0.368,-
SULAWESI TENGAH,0.334,0.334,-,0.295,0.295,-,0.326,0.321,-
SULAWESI SELATAN,0.384,0.384,-,0.356,0.352,-,0.389,0.382,-
SULAWESI TENGGARA,0.404,0.403,-,0.347,0.348,-,0.389,0.388,-
GORONTALO,0.393,0.39,-,0.392,0.391,-,0.408,0.406,-
SULAWESI BARAT,0.436,0.437,-,0.321,0.321,-,0.364,0.356,-
MALUKU,0.295,0.292,-,0.284,0.285,-,0.318,0.326,-
MALUKU UTARA,0.297,0.294,-,0.266,0.271,-,0.308,0.29,-
PAPUA BARAT,0.32,0.316,-,0.414,0.412,-,0.382,0.376,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.296,0.291,-,0.414,0.416,-,0.392,0.395,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.393,0.399,-,0.317,0.319,-,0.381,0.385,-
