Tahun,Indeks Kedalaman Kemiskinan - Perkotaan,Indeks Kedalaman Kemiskinan - Perdesaan,Indeks Kedalaman Kemiskinan - Perkotaan+Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan,Indeks Keparahan Kemiskinan - Perdesaan,Indeks Keparahan Kemiskinan - Perkotaan+Perdesaan
Maret/March,1.19,2.74,1.94,0.27,0.79,0.53
September/September,1.21,2.32,1.74,0.29,0.59,0.44
