38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2020,,,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,143425,144182,-,116270,116847,-,125093,125892,-
SUMATERA UTARA,141299,141850,-,108061,108091,-,126114,126619,-
SUMATERA BARAT,151198,152458,-,112136,113254,-,130483,132291,-
RIAU,170165,170891,-,131654,132088,-,147175,147436,-
JAMBI,139066,140106,-,104118,104441,-,115405,116085,-
SUMATERA SELATAN,131854,132409,-,100198,100455,-,112021,112549,-
BENGKULU,149257,150379,-,131570,132162,-,137419,138121,-
LAMPUNG,136066,137055,-,100624,101339,-,111581,112551,-
KEP. BANGKA BELITUNG,203236,204588,-,189493,190676,-,197084,198343,-
KEP. RIAU,210186,211289,-,152786,153682,-,204502,206721,-
DKI JAKARTA,214245,215491,-,-,-,-,214245,215491,-
JAWA BARAT,112943,113234,-,96838,98778,-,109182,109994,-
JAWA TENGAH,106325,106941,-,96035,96317,-,101313,101781,-
DI YOGYAKARTA,137118,138208,-,107028,107382,-,129019,130166,-
JAWA TIMUR,110942,111109,-,96247,96788,-,104110,104574,-
BANTEN,153303,155147,-,118175,118937,-,143367,144818,-
BALI,135611,141701,-,120391,122774,-,130889,136013,-
NUSA TENGGARA BARAT,105643,105923,-,99356,100231,-,102397,103023,-
NUSA TENGGARA TIMUR,137255,138027,-,71183,71833,-,86875,88053,-
KALIMANTAN BARAT,121023,122037,-,104237,105435,-,110125,111385,-
KALIMANTAN TENGAH,113479,116294,-,95411,96873,-,102680,104754,-
KALIMANTAN SELATAN,165897,167122,-,119592,121152,-,141449,143292,-
KALIMANTAN TIMUR,212425,212738,-,169485,169549,-,198479,199033,-
KALIMANTAN UTARA,188266,190960,-,172338,178749,-,181985,186264,-
SULAWESI UTARA,95077,96428,-,84796,85659,-,90165,91444,-
SULAWESI TENGAH,135083,136249,-,101230,103319,-,111340,113352,-
SULAWESI SELATAN,105906,110314,-,71719,75132,-,86574,90832,-
SULAWESI TENGGARA,101982,109035,-,78865,83714,-,87933,92645,-
GORONTALO,91971,94014,-,74253,75481,-,81718,83441,-
SULAWESI BARAT,77925,78733,-,80755,82102,-,80088,81416,-
MALUKU,151053,160453,-,123188,132591,-,135419,144007,-
MALUKU UTARA,128282,130288,-,94698,97954,-,104375,107190,-
PAPUA BARAT,176386,177136,-,126202,130993,-,147343,150672,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,202759,202858,-,114586,119210,-,139749,143093,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,132303,133121,-,101788,102860,-,118859,119943,-
