38 Provinsi,,,,,,,,,
,Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2021,,,2021,,,2021,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,147729,151144,-,122118,126262,-,130689,134643,-
SUMATERA UTARA,145089,147124,-,112706,114016,-,130652,132451,-
SUMATERA BARAT,156831,161294,-,117976,121531,-,137059,141237,-
RIAU,175412,185998,-,136989,140947,-,152344,158976,-
JAMBI,146528,149285,-,108537,114856,-,120995,126067,-
SUMATERA SELATAN,135276,137422,-,105866,108975,-,116888,119702,-
BENGKULU,155110,161688,-,137716,142987,-,143466,149191,-
LAMPUNG,140283,143059,-,103341,111553,-,115110,121713,-
KEP. BANGKA BELITUNG,212698,215609,-,202340,214613,-,208186,215178,-
KEP. RIAU,217689,225676,-,156472,159285,-,213127,221050,-
DKI JAKARTA,218306,224134,-,-,-,-,218306,224134,-
JAWA BARAT,115817,117143,-,102167,102892,-,112830,114079,-
JAWA TENGAH,109458,110509,-,98245,100578,-,104044,105745,-
DI YOGYAKARTA,140801,147305,-,109797,113311,-,132798,138620,-
JAWA TIMUR,113113,115011,-,98419,101242,-,106462,108825,-
BANTEN,158218,161474,-,121444,127748,-,147779,152225,-
BALI,145944,148574,-,126411,127328,-,140201,142437,-
NUSA TENGGARA BARAT,109147,116509,-,101079,109465,-,105080,113012,-
NUSA TENGGARA TIMUR,141383,146024,-,73829,75333,-,90571,92941,-
KALIMANTAN BARAT,124543,133177,-,106543,109174,-,113031,117885,-
KALIMANTAN TENGAH,122681,125240,-,101865,107716,-,110468,115008,-
KALIMANTAN SELATAN,171187,174014,-,126184,127523,-,147946,150151,-
KALIMANTAN TIMUR,216656,218138,-,175035,183628,-,203590,207438,-
KALIMANTAN UTARA,192586,205658,-,181789,188114,-,188477,199041,-
SULAWESI UTARA,96597,96796,-,88413,90517,-,92835,93933,-
SULAWESI TENGAH,138692,142414,-,105631,109351,-,115881,119619,-
SULAWESI SELATAN,112894,117656,-,77317,79900,-,93251,96988,-
SULAWESI TENGGARA,112976,116823,-,85263,88060,-,95189,98446,-
GORONTALO,97496,102847,-,78352,83491,-,86719,91919,-
SULAWESI BARAT,81929,82480,-,85163,87574,-,84504,86540,-
MALUKU,165150,171643,-,139669,142688,-,150854,155467,-
MALUKU UTARA,132670,134553,-,102193,104581,-,110900,112927,-
PAPUA BARAT,180703,189323,-,137459,138294,-,156024,160036,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,206605,208134,-,122067,126343,-,146352,150066,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,136081,138894,-,105908,109175,-,123051,126161,-
