Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,25337.62,26524.49,26937.72,27590.94,106390.77,869.24,875.95,914.52,930.7,3590.42,5360.92,10678.96,9767.6,12111.4,37918.88,15691.51,15775.95,16634.18,17349.7,65451.34,6.13,234.56,-4.62,-69.3,166.77,-5560.71,-8696.44,-6672.46,-7608.7,-28538.3,41704.72,45393.47,47576.95,50304.74,184979.88
SUMATERA UTARA,106508.05,108670.54,109271.15,112075.97,436525.72,1800.79,1829.94,1878.4,1874.09,7383.22,12691.28,15008.98,15149.49,15583.26,58433,62535.73,65853.93,66396.33,68079.95,262865.94,3979.17,3824.54,3501,3560.16,14864.86,19442.45,17205.82,22201.83,21011.41,79861.52,206957.47,212393.75,218398.2,222184.84,859934.26
SUMATERA BARAT,33792.03,34073.7,33817.37,34488.45,136171.55,697.05,715.36,693.96,688.37,2794.75,4821.44,7745.1,7068.48,9810.33,29445.35,18984.58,18589.09,18974.37,19553.24,76101.28,48.36,81.7,173.36,63.42,366.84,3359.71,914.58,2717.09,1229.05,8220.42,61703.16,62119.52,63444.63,65832.88,253100.2
RIAU,72143.12,74400.72,75061.61,77804.21,299409.66,978.91,1075.25,1110,1243.84,4408.01,5205.51,7278.34,7659.48,7893.21,28036.53,68500.91,69090.68,70726.4,75695.19,284013.18,-1438.88,776.96,910.23,2083.91,2332.22,50236.03,49332.01,58815.29,62419.48,220802.8,195625.61,201953.95,214283.01,227139.84,839002.41
JAMBI,25296.75,25419.88,25181.43,26960.33,102858.4,319.68,332.65,329.25,348.68,1330.25,2278.37,4887.92,4728.49,6437.64,18332.42,12436.84,12278.71,12455.36,14389,51559.91,1301.08,608.1,541.56,308.97,2759.71,11841.54,13700.72,16228.74,13682.46,55453.46,53474.26,57227.99,59464.83,62127.08,232294.15
SUMATERA SELATAN,74611.8,76850.61,77314.49,79858.4,308635.3,1723.07,1814.32,1789.62,1803.45,7130.46,4938.86,8972.08,8845.4,11299.26,34055.6,40217.23,41947.1,40841.17,42430.06,165435.57,-440.23,630.8,-72.17,262.25,380.65,-6233.26,-9003.84,-1236.55,-5527.09,-22000.73,114817.46,121211.09,127481.96,130126.35,493636.85
BENGKULU,11651.14,12312.03,11880.44,12308.03,48151.63,414.49,420.44,421.03,450,1705.97,3114.36,3749.1,3621.26,4288.32,14773.05,7777.9,7956.66,8126.76,8937.05,32798.37,162.07,-87.58,81.79,-127.38,28.89,-4346.64,-4392.77,-4228.74,-4887.11,-17855.26,18773.31,19957.88,19902.55,20968.91,79602.64
LAMPUNG,56364.31,57691.14,57292.93,58654.78,230003.15,1530.99,1521.48,1567.1,1747.06,6366.63,5037.05,6948.69,7361.32,9969.43,29316.49,30076.18,30543.36,31936.63,32945.45,125501.61,738.71,534.98,-186.07,-266.18,821.43,-6022.86,-2909.11,-919.34,-10959.13,-20810.44,87724.38,94330.53,97052.56,92091.4,371198.88
KEP. BANGKA BELITUNG,12092.8,12536.16,12512.23,13063.4,50204.59,153.3,154.5,160.81,163.44,632.04,1495.16,2427.4,2189.54,2731.34,8843.44,5193.38,5475.03,5508.19,5897.69,22074.29,168.21,141.54,119.16,26.41,455.32,944.05,402.59,1293.42,1111.54,3751.6,20046.9,21137.22,21783.35,22993.82,85961.29
KEP. RIAU,27929.43,28165.85,27548.49,28352.3,111996.07,166.89,168.72,168.25,175.83,679.68,1944.09,3410.01,3377.98,5506.09,14238.16,29058.55,29281.49,29691.57,30200.23,118231.84,332.39,-232.03,372.8,-113.52,359.63,7464.92,6958.39,6734.15,8960.01,30117.47,66896.26,67752.41,67893.23,73080.95,275622.85
DKI JAKARTA,445989.09,455480.68,444049.65,461281.95,1806801.38,14334.95,15445.51,15212.63,15540.7,60533.78,87850.85,112065.87,113414.3,142664.21,455995.23,242780.49,237838.66,251965.34,268550.41,1001134.89,3814.71,-3889.35,2107.27,-1014.41,1018.22,-80094.85,-95470.54,-104394.05,-132638.71,-412598.15,714675.23,721470.82,722355.14,754384.15,2912885.34
JAWA BARAT,353786.76,356653.58,350007.84,364145.9,1424594.08,3358.78,3551.56,3385.74,3464.87,13760.94,15705.76,31282.18,30692.48,44362.64,122043.06,133028.42,133705.93,137587.64,140975.65,545297.64,1371.41,-2314.62,-4899.97,-9308.02,-15151.2,26342.42,24210.66,36290.2,27272.44,114115.71,533593.55,547089.29,553063.92,570913.47,2204660.23
JAWA TENGAH,210904.46,213305.36,213237.81,217025.07,854472.69,4085.79,4179.99,4230.24,4288.68,16784.7,16848.09,24064.39,24803.19,35104.94,100820.61,105786.83,108421.79,119121.36,117911.18,451241.16,2210.51,3266.32,3298.95,3160.69,11936.47,6403.38,-2947.88,-5483.84,-13492.15,-15520.48,346239.07,350289.97,359207.71,363998.41,1419735.15
