38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2013,,,2013,,,2013,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.404,0.382,-,0.256,0.254,-,0.341,0.331,-
SUMATERA UTARA,0.386,0.355,-,0.305,0.281,-,0.354,0.328,-
SUMATERA BARAT,0.397,0.383,-,0.309,0.288,-,0.363,0.351,-
RIAU,0.398,0.437,-,0.316,0.323,-,0.374,0.393,-
JAMBI,0.383,0.347,-,0.313,0.296,-,0.348,0.327,-
SUMATERA SELATAN,0.409,0.41,-,0.329,0.318,-,0.383,0.375,-
BENGKULU,0.432,0.411,-,0.337,0.326,-,0.386,0.372,-
LAMPUNG,0.412,0.42,-,0.292,0.291,-,0.356,0.356,-
KEP. BANGKA BELITUNG,0.325,0.353,-,0.268,0.239,-,0.313,0.307,-
KEP. RIAU,0.359,0.379,-,0.307,0.305,-,0.362,0.38,-
DKI JAKARTA,0.433,0.404,-,-,-,-,0.433,0.404,-
JAWA BARAT,0.423,0.424,-,0.271,0.299,-,0.411,0.406,-
JAWA TENGAH,0.421,0.404,-,0.32,0.359,-,0.387,0.39,-
DI YOGYAKARTA,0.45,0.42,-,0.349,0.343,-,0.439,0.416,-
JAWA TIMUR,0.387,0.386,-,0.285,0.309,-,0.364,0.368,-
BANTEN,0.402,0.376,-,0.287,0.276,-,0.399,0.38,-
BALI,0.419,0.441,-,0.302,0.384,-,0.403,0.44,-
NUSA TENGGARA BARAT,0.398,0.398,-,0.323,0.281,-,0.364,0.349,-
NUSA TENGGARA TIMUR,0.36,0.373,-,0.268,0.255,-,0.352,0.344,-
KALIMANTAN BARAT,0.439,0.446,-,0.323,0.302,-,0.396,0.384,-
KALIMANTAN TENGAH,0.403,0.42,-,0.284,0.3,-,0.35,0.358,-
KALIMANTAN SELATAN,0.386,0.402,-,0.282,0.265,-,0.359,0.356,-
KALIMANTAN TIMUR,0.369,0.361,-,0.279,0.283,-,0.371,0.366,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.425,0.475,-,0.38,0.385,-,0.422,0.446,-
SULAWESI TENGAH,0.445,0.434,-,0.351,0.325,-,0.407,0.391,-
SULAWESI SELATAN,0.443,0.457,-,0.374,0.365,-,0.429,0.432,-
SULAWESI TENGGARA,0.459,0.409,-,0.368,0.332,-,0.426,0.391,-
GORONTALO,0.385,0.443,-,0.441,0.428,-,0.437,0.445,-
SULAWESI BARAT,0.428,0.375,-,0.308,0.295,-,0.349,0.324,-
MALUKU,0.356,0.348,-,0.321,0.286,-,0.37,0.347,-
MALUKU UTARA,0.282,0.293,-,0.255,0.266,-,0.318,0.32,-
PAPUA BARAT,0.391,0.402,-,0.388,0.364,-,0.431,0.418,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.409,0.426,-,0.367,0.354,-,0.442,0.441,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.431,0.424,-,0.32,0.324,-,0.413,0.406,-
