38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2009,2010,2011
ACEH,807506,844753,566837
SUMATERA UTARA,619941,653101,762180
SUMATERA BARAT,254449,259034,248082
RIAU,184326,174059,196115
JAMBI,262072,303862,371326
SUMATERA SELATAN,365787,371531,331589
BENGKULU,159242,198027,217478
LAMPUNG,1015700,1050330,1090647
KEP. BANGKA BELITUNG,10627,11224,7184
KEP. RIAU,22037,21917,22158
DKI JAKARTA,6061,5808,7055
JAWA BARAT,1600423,1801320,2016867
JAWA TENGAH,3499848,3691096,3724452
DI YOGYAKARTA,308353,331147,343647
JAWA TIMUR,2779542,2822912,2830915
BANTEN,800777,790524,774629
BALI,75138,74556,75046
NUSA TENGGARA BARAT,439989,435938,579250
NUSA TENGGARA TIMUR,542198,579376,559755
KALIMANTAN BARAT,156354,157243,167591
KALIMANTAN TENGAH,44285,45667,44739
KALIMANTAN SELATAN,123258,126109,111161
KALIMANTAN TIMUR,63295,65510,61691
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,42814,44991,44763
SULAWESI TENGAH,360689,416231,477445
SULAWESI SELATAN,437918,477068,513858
SULAWESI TENGGARA,114177,117819,124113
GORONTALO,104672,117380,83570
SULAWESI BARAT,231149,224540,208279
MALUKU,212554,228814,246320
MALUKU UTARA,113611,118564,87987
PAPUA BARAT,13786,15113,16810
PAPUA BARAT DAYA,-,-,-
PAPUA,42739,44035,32648
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,15815317,16619599,16946187
