38 Provinsi,,,
,Populasi Kambing menurut Provinsi (Ekor),,
,2006,2007,2008
ACEH,787708,740298,697426
SUMATERA UTARA,643860,749420,618394
SUMATERA BARAT,223334,227003,227561
RIAU,238043,221505,240809
JAMBI,137989,147204,228147
SUMATERA SELATAN,463720,465250,383951
BENGKULU,102855,113405,130391
LAMPUNG,798816,955901,1012605
KEP. BANGKA BELITUNG,3561,8115,9543
KEP. RIAU,20238,21731,22702
DKI JAKARTA,9333,7784,4501
JAWA BARAT,1148547,1294453,1431012
JAWA TENGAH,3165040,3126250,3356801
DI YOGYAKARTA,280182,293344,304780
JAWA TIMUR,2414350,2444794,2739727
BANTEN,681253,729713,821588
BALI,70785,74322,61123
NUSA TENGGARA BARAT,376130,388693,495028
NUSA TENGGARA TIMUR,496766,511695,532458
KALIMANTAN BARAT,107762,118867,135969
KALIMANTAN TENGAH,41046,42407,44103
KALIMANTAN SELATAN,107873,111733,118240
KALIMANTAN TIMUR,53105,61105,55509
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,42759,45080,44101
SULAWESI TENGAH,188362,221393,250280
SULAWESI SELATAN,433495,466084,443792
SULAWESI TENGGARA,97976,105219,110623
GORONTALO,96568,87404,84056
SULAWESI BARAT,220179,266829,222308
MALUKU,149405,190164,173139
MALUKU UTARA,139981,183389,96152
PAPUA BARAT,11708,13223,12259
PAPUA BARAT DAYA,-,-,-
PAPUA,37226,36437,38354
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,13789954,14470215,15147432
