Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2018,,,,,2018,,,,,2018,,,,,2018,,,,,2018,,,,,2018,,,,,2018,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,24097.51,24042.18,24581.55,24332.76,97053.99,757.42,786.68,877.94,876.77,3298.81,2816.05,9849.17,9430.82,13326.98,35423.02,13082.17,12788.67,14192.81,15503.98,55567.63,29.04,-6.66,-16.78,-6.09,-0.48,-3652.74,-8629.72,-9304.83,-13844.71,-35432,37129.45,38830.32,39761.52,40189.69,155910.98
SUMATERA UTARA,95875.17,98117.12,100642.41,102788.12,397422.81,1590.93,1744.96,1793.41,1819.03,6948.33,12099.43,13751.85,14698.88,15748.6,56298.77,54668.98,56990.2,61503.38,59856.53,233019.08,2859.39,3138.41,3225.91,1888.81,11112.53,11190.19,9001.88,7318,9035.83,36545.91,178284.09,182744.43,189181.99,191136.92,741347.43
SUMATERA BARAT,29644.13,30317.69,31088.17,31581.96,122631.95,580.08,613.81,623.68,635.5,2453.08,4949.13,6692.02,7383.63,9969.22,28994.01,16425.84,16684.94,17336.53,18254.24,68701.55,-137.05,-213.05,658.53,-64.69,243.74,3739.9,3073.67,1423.68,-894.35,7342.9,55202.03,57169.09,58514.22,59481.88,230367.22
RIAU,66135.91,68545.59,68644,69615.24,272940.74,925.27,968.98,987.02,987.2,3868.46,6201.39,6816.79,7268.98,7446.68,27733.83,61488.18,62052.49,62622.96,63931.05,250094.68,1628.57,1538.41,2491.78,975.45,6634.21,43268.51,47309.57,52504,47909.06,190991.13,179647.83,187231.82,194518.74,190864.67,752263.07
JAMBI,21594.28,22189.1,22566.25,22974.86,89324.49,259.22,279.55,285.49,300.49,1124.74,2123.74,4264.07,4307.48,6272.98,16968.27,10101.91,10327.48,11056.51,11718.97,43204.87,309.85,402.14,780.25,-908.76,583.48,15183.21,13939.1,13563.61,13986.92,56672.84,49572.21,51401.44,52559.59,54345.45,207878.69
SUMATERA SELATAN,66827.96,69226.62,70243.89,71472.6,277771.06,1469.69,1564.15,1605.9,1718.41,6358.15,6235.76,7454.36,7880.45,10889.71,32460.27,37871.33,39674.76,39810.25,40278.21,157634.55,40.97,353.31,-799.41,-567.42,-972.55,-12984.05,-14092.57,-9496.37,-17286.34,-53859.32,99461.66,104180.62,109244.71,106505.16,419392.16
BENGKULU,10214.09,10498.99,10690.98,10788.88,42192.93,392.91,398.65,401.59,410.94,1604.09,2844.08,3217.85,3292.11,3697.16,13051.2,6243.86,6525.97,6905.08,7794.54,27469.46,287.2,275.76,248.97,-396.42,415.51,-3978.61,-4568.41,-4749.18,-5034,-18330.2,16003.53,16348.81,16789.55,17261.1,66402.99
LAMPUNG,48164.86,50158.28,50726.5,51666.94,200716.58,1310.55,1380.84,1392.13,1420.03,5503.54,4752.68,6429.46,7180.39,9514,27876.52,24928.4,26424.17,27271.49,30399.76,109023.82,483.99,527.07,274.32,370.79,1656.17,589.13,-631.33,769.75,-13058.1,-12330.55,80229.6,84288.48,87614.58,80313.41,332446.07
KEP. BANGKA BELITUNG,10593.01,10930.45,11257.55,11387.08,44168.09,124.82,130.98,133.61,137.99,527.4,1837.62,2059.59,2066.12,2102.52,8065.84,4831.26,4964.86,5151.61,5347.6,20295.32,315.66,21.83,-12.13,199.3,524.66,74.15,362.98,37.3,-942.46,-468.03,17776.51,18470.68,18634.06,18232.02,73113.28
KEP. RIAU,24201.46,24803.08,24812.49,25443.47,99260.51,150.94,154.01,156.74,160.71,622.41,1798.94,3211.63,3889.53,5832.59,14732.69,26261.04,26753.71,27964.51,28131.55,109110.82,231.32,-126.53,596.25,-118.82,582.21,6580.3,6183.51,5757.38,5992.42,24513.61,59223.99,60979.42,63176.9,65441.91,248822.23
DKI JAKARTA,379331.3,390115.62,397353.54,405164,1571964.45,12721.93,13004,13276.52,13777.59,52780.03,46291.65,77904.01,75316.65,154959.11,354471.42,241131.91,244759.78,265927.6,268341.18,1020160.48,55056.66,-19535.83,15764.01,-2482.87,48801.97,-117089.81,-67161.27,-103898.64,-167422.08,-455571.79,617443.64,639086.31,663739.68,672336.94,2592606.57
JAWA BARAT,308741.21,317331.5,323918.69,328287.49,1278278.9,3006.93,3201.91,3251.51,3293.3,12753.65,15457.55,27903.91,29206.56,40367.04,112935.06,113526.21,119623.54,127139.31,135538.09,495827.14,17904.41,18001.89,18147.54,17965.76,72019.6,9363.62,2985.84,833.89,-24370.03,-11186.68,467999.92,489048.58,502497.51,501081.64,1960627.65
JAWA TENGAH,185073.58,190090.81,193482.97,196161.02,764808.38,3418.1,3630.25,3650.76,3792.75,14491.86,15359.53,21718.93,23846.89,37791.82,98717.17,93577.05,101073.57,108660.22,110438.31,413749.15,7616.85,6894.75,8103.91,-5413.92,17201.59,-109.98,-7573.86,-10795.13,-22228.02,-40706.99,304935.12,315834.45,326949.63,320541.96,1268261.17
DI YOGYAKARTA,20956.56,21705.53,21875.65,22215.46,86753.2,953.58,977.8,1036.71,1126.95,4095.05,4414.93,4862.35,5257.33,6847.5,21382.11,9090.31,9804.4,11001.27,13293.7,43189.68,654.16,677.26,-30.67,136.12,1436.87,-4863.76,-6568.25,-5626.07,-9980.47,-27038.55,31205.77,31459.09,33514.22,33639.28,129818.36
JAWA TIMUR,308936.88,326925.21,330357.12,332171.29,1298390.49,6111.6,6492.95,6622.62,6484.82,25711.99,21276.57,29726.98,33841.81,36145.71,120991.07,145258.35,150893.03,160386.34,164092.61,620630.33,6447.61,6853.68,11453.95,3638.24,28393.47,33441.28,23109.32,25808.01,12290.38,94648.99,521472.29,544001.17,568469.84,554823.04,2188766.35
BANTEN,77076.78,79912.67,81874,82924.82,321788.26,670.8,694.46,708.33,729.68,2803.27,5090.72,6226.48,6649.09,9609.96,27576.24,45523.03,47099.37,48571.38,51775.78,192969.56,71.02,81.01,-63.05,12.18,101.16,18348.95,16912.85,18790.98,14513.14,68565.92,146781.3,150926.83,156530.74,159565.55,613804.41
BALI,26785.65,27734.95,28443.05,28798.79,111762.44,664.76,679.51,697.73,722.03,2764.03,3918.72,5961.66,6888.36,7762.7,24531.44,16834.92,17286.38,18447.79,19367.02,71936.11,172.74,174.94,176.79,166.79,691.27,7062.58,5721.07,5327.75,3840.08,21951.48,55439.37,57558.52,59981.46,60657.42,233636.77
