Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5371.5,1.93,2,93,99.9
Sumatera Utara,14562.5,1.24,5.43,200,99.6
Sumatera Barat,5441.2,1.25,2.03,130,99.4
Riau,6971.7,2.52,2.6,80,105.2
Jambi,3624.6,1.72,1.35,72,104.1
Sumatera Selatan,8470.7,1.39,3.16,92,103.3
Bengkulu,1991.8,1.63,0.74,100,103.9
Lampung,8447.7,1.13,3.15,244,104.9
Kepulauan Bangka Belitung,1488.8,2.14,0.56,91,108.4
Kepulauan Riau,2189.7,2.9,0.82,267,103.9
DKI Jakarta,10557.8,1.02,3.94,15900,100.2
Jawa Barat,49316.7,1.48,18.4,1394,102.5
Jawa Tengah,34718.2,0.76,12.95,1058,98.3
DI Yogyakarta,3842.9,1.15,1.43,1227,98
Jawa Timur,39698.6,0.62,14.81,831,97.5
Banten,12927.3,2.14,4.82,1338,103.8
Bali,4336.9,1.17,1.62,750,101.5
Nusa Tenggara Barat,5070.4,1.29,1.89,273,94.4
Nusa Tenggara Timur,5456.2,1.66,2.04,112,98.1
Kalimantan Barat,5069.1,1.56,1.89,34,103.5
Kalimantan Tengah,2714.9,2.26,1.01,18,109.7
Kalimantan Selatan,4244.1,1.71,1.58,110,103
Kalimantan Timur,3721.4,2.24,1.39,29,110.2
Kalimantan Utara,742.2,3.84,0.28,10,112.8
Sulawesi Utara,2507,1.07,0.94,181,104.1
Sulawesi Tengah,3054,1.61,1.14,49,104.2
Sulawesi Selatan,8851.2,1.05,3.3,189,95.6
Sulawesi Tenggara,2704.7,2.1,1.01,71,101.2
Gorontalo,1202.6,1.58,0.45,107,100.4
Sulawesi Barat,1380.3,1.91,0.51,82,100.8
Maluku,1802.9,1.75,0.67,38,101.6
Maluku Utara,1255.8,2.08,0.47,39,104
Papua Barat,959.6,2.55,0.36,9,111
Papua,3379.3,1.88,1.26,11,110.6
Indonesia,268074.6,1.31,100,140,100.9
,,,,,
Catatan,,,,,
<sup>1</sup>Hasil Proyeksi Penduduk Indonesia 2010–2035 (Pertengahan tahun/Juni)/The result of Indonesia Population Projection 2010–2035 (mid,,,,,
"year/June)<sup>3 </sup>Data luas wilayah pada penghitungan kepadatan penduduk berdasarkan Peraturan Menteri Dalam Negeri Nomor 137 Tahun 2017 tanggal 29 Desember 2017 dalam Publikasi SI 2019/An area for calculating population density are based on Minister of Home Affairs Regulation Number 137/2017, December 29, 2017 in Statistical Yearbook of Indonesia 2019<sup></sup><sup></sup>",,,,,
