38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2022,,,2022,,,2022,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.348,0.327,-,0.272,0.252,-,0.311,0.291,-
SUMATERA UTARA,0.343,0.358,-,0.249,0.259,-,0.312,0.326,-
SUMATERA BARAT,0.329,0.316,-,0.247,0.243,-,0.3,0.292,-
RIAU,0.363,0.35,-,0.282,0.293,-,0.326,0.323,-
JAMBI,0.351,0.376,-,0.292,0.302,-,0.32,0.335,-
SUMATERA SELATAN,0.358,0.348,-,0.311,0.311,-,0.339,0.33,-
BENGKULU,0.37,0.371,-,0.262,0.264,-,0.315,0.315,-
LAMPUNG,0.341,0.352,-,0.284,0.275,-,0.314,0.313,-
KEP. BANGKA BELITUNG,0.248,0.263,-,0.206,0.222,-,0.236,0.255,-
KEP. RIAU,0.342,0.328,-,0.247,0.264,-,0.342,0.325,-
DKI JAKARTA,0.423,0.412,-,-,-,-,0.423,0.412,-
JAWA BARAT,0.428,0.427,-,0.322,0.306,-,0.417,0.412,-
JAWA TENGAH,0.404,0.392,-,0.322,0.326,-,0.374,0.366,-
DI YOGYAKARTA,0.446,0.468,-,0.332,0.342,-,0.439,0.459,-
JAWA TIMUR,0.388,0.381,-,0.323,0.322,-,0.371,0.365,-
BANTEN,0.367,0.384,-,0.287,0.266,-,0.363,0.377,-
BALI,0.371,0.371,-,0.294,0.282,-,0.363,0.362,-
NUSA TENGGARA BARAT,0.406,0.392,-,0.325,0.341,-,0.373,0.374,-
NUSA TENGGARA TIMUR,0.324,0.308,-,0.304,0.326,-,0.334,0.34,-
KALIMANTAN BARAT,0.342,0.334,-,0.265,0.264,-,0.314,0.311,-
KALIMANTAN TENGAH,0.348,0.332,-,0.292,0.285,-,0.319,0.309,-
KALIMANTAN SELATAN,0.345,0.329,-,0.263,0.273,-,0.317,0.309,-
KALIMANTAN TIMUR,0.334,0.32,-,0.283,0.301,-,0.327,0.317,-
KALIMANTAN UTARA,0.269,0.256,-,0.269,0.287,-,0.272,0.27,-
SULAWESI UTARA,0.362,0.355,-,0.354,0.352,-,0.365,0.359,-
SULAWESI TENGAH,0.343,0.337,-,0.272,0.28,-,0.308,0.305,-
SULAWESI SELATAN,0.388,0.378,-,0.336,0.324,-,0.377,0.365,-
SULAWESI TENGGARA,0.404,0.382,-,0.352,0.341,-,0.387,0.366,-
GORONTALO,0.409,0.406,-,0.395,0.395,-,0.418,0.423,-
SULAWESI BARAT,0.448,0.472,-,0.322,0.315,-,0.362,0.371,-
MALUKU,0.297,0.309,-,0.259,0.261,-,0.301,0.306,-
MALUKU UTARA,0.3,0.33,-,0.247,0.269,-,0.279,0.309,-
PAPUA BARAT,0.294,0.302,-,0.411,0.436,-,0.37,0.384,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.315,0.294,-,0.427,0.419,-,0.406,0.393,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.403,0.402,-,0.314,0.313,-,0.384,0.381,-
