38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2014,,,2014,,,2014,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.358,0.38,-,0.259,0.277,-,0.325,0.337,-
SUMATERA UTARA,0.346,0.329,-,0.274,0.282,-,0.321,0.31,-
SUMATERA BARAT,0.338,0.354,-,0.295,0.28,-,0.334,0.332,-
RIAU,0.389,0.405,-,0.276,0.324,-,0.353,0.379,-
JAMBI,0.314,0.348,-,0.316,0.321,-,0.329,0.342,-
SUMATERA SELATAN,0.438,0.399,-,0.316,0.317,-,0.399,0.381,-
BENGKULU,0.404,0.381,-,0.305,0.33,-,0.356,0.355,-
LAMPUNG,0.4,0.38,-,0.29,0.283,-,0.347,0.331,-
KEP. BANGKA BELITUNG,0.316,0.313,-,0.273,0.252,-,0.303,0.295,-
KEP. RIAU,0.404,0.433,-,0.293,0.31,-,0.402,0.437,-
DKI JAKARTA,0.431,0.436,-,-,-,-,0.431,0.436,-
JAWA BARAT,0.433,0.412,-,0.301,0.294,-,0.413,0.398,-
JAWA TENGAH,0.402,0.407,-,0.334,0.359,-,0.376,0.388,-
DI YOGYAKARTA,0.444,0.444,-,0.299,0.378,-,0.419,0.435,-
JAWA TIMUR,0.391,0.428,-,0.31,0.339,-,0.369,0.403,-
BANTEN,0.401,0.435,-,0.28,0.294,-,0.395,0.424,-
BALI,0.429,0.449,-,0.315,0.337,-,0.415,0.442,-
NUSA TENGGARA BARAT,0.426,0.445,-,0.307,0.306,-,0.377,0.391,-
NUSA TENGGARA TIMUR,0.345,0.377,-,0.279,0.281,-,0.355,0.355,-
KALIMANTAN BARAT,0.423,0.415,-,0.317,0.356,-,0.391,0.402,-
KALIMANTAN TENGAH,0.419,0.397,-,0.287,0.327,-,0.35,0.365,-
KALIMANTAN SELATAN,0.388,0.338,-,0.302,0.293,-,0.359,0.326,-
KALIMANTAN TIMUR,0.336,0.362,-,0.287,0.295,-,0.348,0.361,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.464,0.452,-,0.353,0.366,-,0.424,0.436,-
SULAWESI TENGAH,0.406,0.406,-,0.305,0.283,-,0.372,0.352,-
SULAWESI SELATAN,0.436,0.429,-,0.373,0.429,-,0.425,0.448,-
SULAWESI TENGGARA,0.454,0.426,-,0.342,0.36,-,0.409,0.399,-
GORONTALO,0.409,0.445,-,0.392,0.444,-,0.412,0.453,-
SULAWESI BARAT,0.329,0.428,-,0.349,0.344,-,0.352,0.378,-
MALUKU,0.338,0.307,-,0.31,0.293,-,0.351,0.33,-
MALUKU UTARA,0.335,0.354,-,0.264,0.264,-,0.325,0.322,-
PAPUA BARAT,0.437,0.373,-,0.391,0.355,-,0.439,0.405,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.35,0.4,-,0.331,0.384,-,0.408,0.459,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.428,0.433,-,0.319,0.336,-,0.406,0.414,-
