38 Provinsi,,,,,,,,,
,Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2023,,,2023,,,2023,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,489121,-,-,469272,-,-,475838,-,-
SUMATERA UTARA,468660,-,-,447262,-,-,458706,-,-
SUMATERA BARAT,501157,-,-,512376,-,-,507000,-,-
RIAU,495115,-,-,475721,-,-,483092,-,-
JAMBI,527501,-,-,417580,-,-,452478,-,-
SUMATERA SELATAN,405674,-,-,373072,-,-,384507,-,-
BENGKULU,517906,-,-,443990,-,-,466693,-,-
LAMPUNG,451741,-,-,401287,-,-,417252,-,-
KEP. BANGKA BELITUNG,620744,-,-,656395,-,-,636311,-,-
KEP. RIAU,497813,-,-,533241,-,-,501598,-,-
DKI JAKARTA,548628,-,-,-,-,-,548628,-,-
JAWA BARAT,365780,-,-,371463,-,-,367040,-,-
JAWA TENGAH,365201,-,-,355699,-,-,360571,-,-
DI YOGYAKARTA,431962,-,-,366712,-,-,414480,-,-
JAWA TIMUR,394182,-,-,372797,-,-,384426,-,-
BANTEN,458419,-,-,414831,-,-,448240,-,-
BALI,375253,-,-,340646,-,-,365437,-,-
NUSA TENGGARA BARAT,381359,-,-,366994,-,-,374441,-,-
NUSA TENGGARA TIMUR,437018,-,-,374760,-,-,389518,-,-
KALIMANTAN BARAT,448664,-,-,413140,-,-,425767,-,-
KALIMANTAN TENGAH,426611,-,-,485390,-,-,461296,-,-
KALIMANTAN SELATAN,422758,-,-,445076,-,-,434362,-,-
KALIMANTAN TIMUR,557982,-,-,565218,-,-,560368,-,-
KALIMANTAN UTARA,626759,-,-,556835,-,-,599246,-,-
SULAWESI UTARA,365228,-,-,355952,-,-,360891,-,-
SULAWESI TENGAH,423694,-,-,431550,-,-,429099,-,-
SULAWESI SELATAN,329012,-,-,322682,-,-,325418,-,-
SULAWESI TENGGARA,334125,-,-,333604,-,-,333797,-,-
GORONTALO,327347,-,-,348718,-,-,339799,-,-
SULAWESI BARAT,341470,-,-,332697,-,-,334380,-,-
MALUKU,501268,-,-,502863,-,-,502215,-,-
MALUKU UTARA,443638,-,-,429876,-,-,433630,-,-
PAPUA BARAT,552868,-,-,540384,-,-,545539,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,505321,-,-,520279,-,-,516528,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,415588,-,-,399460,-,-,408522,-,-
