Golongan Umur,,,,,,
,Pengangguran Menurut Golongan Umur (Orang),,,,,
,Pernah Bekerja,,Tidak Pernah Bekerja,,Jumlah Pengangguran,
,2024,,2024,,2024,
,Februari,Agustus,Februari,Agustus,Februari,Agustus
15-19,123702,181907,910417,1250053,1034119,1431960
20-24,795663,939722,1788518,1558257,2584181,2497979
25-29,637006,707133,649706,551709,1286712,1258842
30-34,435145,405293,189770,179251,624915,584544
35-39,277823,281857,154707,110179,432530,392036
40-44,253894,239465,89545,82066,343439,321531
45-49,247099,194315,65292,81122,312391,275437
50-54,145524,187275,62565,60098,208089,247373
55-59,126036,148701,39904,33790,165940,182491
60+,156440,211701,46106,61705,202546,273406
Total,3198332,3497369,3996530,3968230,7194862,7465599
