38 Provinsi,,,
,Upah Minimum Regional/Propinsi (Rupiah),,
,2012,2013,2014
ACEH,1400000,1550000,1750000
SUMATERA UTARA,1200000,1375000,1505850
SUMATERA BARAT,1150000,1350000,1490000
RIAU,1238000,1400000,1700000
JAMBI,1142500,1300000,1502300
SUMATERA SELATAN,1195220,1630000,1825000
BENGKULU,930000,1200000,1350000
LAMPUNG,975000,1150000,1399037
KEP. BANGKA BELITUNG,1110000,1265000,1640000
KEP. RIAU,1015000,1365087,1665000
DKI JAKARTA,1529150,2200000,2441000
JAWA BARAT,780000,850000,1000000
JAWA TENGAH,765000,830000,910000
DI YOGYAKARTA,892660,947114,988500
JAWA TIMUR,745000,866250,1000000
BANTEN,1042000,1170000,1325000
BALI,967500,1181000,1542600
NUSA TENGGARA BARAT,1000000,1100000,1210000
NUSA TENGGARA TIMUR,925000,1010000,1150000
KALIMANTAN BARAT,900000,1060000,1380000
KALIMANTAN TENGAH,1327459,1553127,1723970
KALIMANTAN SELATAN,1225000,1337500,1620000
KALIMANTAN TIMUR,1177000,1752073,1886315
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,1250000,1550000,1900000
SULAWESI TENGAH,885000,995000,1250000
SULAWESI SELATAN,1200000,1440000,1800000
SULAWESI TENGGARA,1032300,1125207,1400000
GORONTALO,837500,1175000,1325000
SULAWESI BARAT,1127000,1165000,1400000
MALUKU,975000,1275000,1415000
MALUKU UTARA,960498,1200622,1440746
PAPUA BARAT,1450000,1720000,1870000
PAPUA BARAT DAYA,-,-,-
PAPUA,1585000,1710000,2040000
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,1088903,1296908,1584391
