Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2012,,,,,2012,,,,,2012,,,,,2012,,,,,2012,,,,,2012,,,,,2012,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,15306.51,15436.52,16412.47,16416.28,63571.78,449.11,408.76,426.07,426.42,1710.36,4016.88,5077.38,6101.47,9958.25,25153.98,8899.25,9387.8,9746.43,10718.84,38752.32,152.21,572.24,470.1,541.8,1736.34,-908.49,-2484.42,-4204.09,-8775.7,-16372.7,27915.47,28398.28,28952.46,29285.88,114552.08
SUMATERA UTARA,53139.6,54642.63,56821.05,58141.65,222744.92,1039.19,1062.95,1075.27,1084.17,4261.58,6520.58,8036.48,8525.18,10304.38,33386.62,30801.75,31905.98,33184.89,35597.94,131490.57,2791.1,1365.37,1804.59,1258.23,7219.29,5467.28,3733.51,5732.01,3084.66,18017.46,99759.5,100746.92,107142.98,109471.04,417120.44
SUMATERA BARAT,17219.84,17693.6,18449.5,18828.89,72191.82,316.22,322.51,338.47,357.6,1334.81,2867.61,4108.6,4229.05,6470.27,17675.53,9443.81,9973.61,10154.13,10642,40213.56,770.59,382.16,170.8,145.09,1468.62,673.57,33.3,264.89,-2420.47,-1448.7,31291.64,32513.77,33606.84,34023.39,131435.65
RIAU,35640.96,36444.84,37981.13,38934.53,149001.46,430.26,435.09,531.28,516.94,1913.57,3847.96,4476.25,4936.29,6489.88,19750.38,30590.56,32871.32,34708.56,36029.96,134200.41,11491.52,11735.41,4279.66,1588.4,29094.99,48840.77,51723.48,65609.45,58358.21,224531.92,130842.04,137686.4,148046.37,141917.91,558492.72
JAMBI,12943.17,13416.93,13936.96,14020.05,54317.1,132.26,131.41,146.71,149.55,559.93,1572.07,2596.86,2776.62,3935.81,10881.35,6404.7,6358.63,7083.41,7589.75,27436.49,3260.64,-273.58,-388.19,788.04,3386.92,3430.42,6858.1,5134.67,3065.42,18488.6,27743.26,29088.34,28690.17,29548.63,115070.4
SUMATERA SELATAN,38928.05,40318.32,42163.18,42607.3,164016.85,747.1,774.18,809.04,843.21,3173.54,4229.63,5588.28,4714.26,5912.83,20445.01,22971.81,24934.39,27127.14,28631.77,103665.1,6626.44,-215.53,2350.22,1090.84,9851.97,-13173.83,-6895.17,-11161.28,-16657.06,-47887.34,60329.21,64504.47,66002.56,62428.89,253265.12
BENGKULU,5417.48,5575.08,5910.73,6103.66,23006.94,218.22,227.69,236.16,234.17,916.23,1573.96,1687.48,1734.8,1871.1,6867.34,3430.08,3585.06,3750.73,4049.37,14815.25,212.31,221.87,214.15,221.61,869.94,-2163.43,-2490.88,-2575.65,-3038.07,-10268.02,8688.62,8806.3,9270.91,9441.85,36207.68
