38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2021,,,2021,,,2021,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.362,0.357,-,0.275,0.282,-,0.324,0.323,-
SUMATERA UTARA,0.344,0.339,-,0.25,0.257,-,0.314,0.313,-
SUMATERA BARAT,0.329,0.327,-,0.254,0.252,-,0.306,0.3,-
RIAU,0.367,0.369,-,0.279,0.276,-,0.326,0.327,-
JAMBI,0.354,0.347,-,0.288,0.284,-,0.321,0.315,-
SUMATERA SELATAN,0.36,0.363,-,0.315,0.314,-,0.341,0.34,-
BENGKULU,0.384,0.381,-,0.264,0.258,-,0.326,0.321,-
LAMPUNG,0.346,0.342,-,0.288,0.288,-,0.323,0.314,-
KEP. BANGKA BELITUNG,0.265,0.259,-,0.221,0.215,-,0.256,0.247,-
KEP. RIAU,0.341,0.337,-,0.256,0.253,-,0.343,0.339,-
DKI JAKARTA,0.409,0.411,-,-,-,-,0.409,0.411,-
JAWA BARAT,0.423,0.417,-,0.321,0.324,-,0.412,0.406,-
JAWA TENGAH,0.398,0.393,-,0.325,0.324,-,0.372,0.368,-
DI YOGYAKARTA,0.448,0.443,-,0.334,0.325,-,0.441,0.436,-
JAWA TIMUR,0.387,0.379,-,0.324,0.319,-,0.374,0.364,-
BANTEN,0.369,0.365,-,0.28,0.278,-,0.365,0.363,-
BALI,0.387,0.379,-,0.301,0.302,-,0.378,0.375,-
NUSA TENGGARA BARAT,0.413,0.42,-,0.332,0.331,-,0.381,0.384,-
NUSA TENGGARA TIMUR,0.327,0.322,-,0.311,0.306,-,0.346,0.339,-
KALIMANTAN BARAT,0.341,0.337,-,0.267,0.268,-,0.313,0.315,-
KALIMANTAN TENGAH,0.353,0.356,-,0.292,0.284,-,0.323,0.32,-
KALIMANTAN SELATAN,0.359,0.352,-,0.265,0.257,-,0.33,0.325,-
KALIMANTAN TIMUR,0.339,0.337,-,0.288,0.281,-,0.334,0.331,-
KALIMANTAN UTARA,0.289,0.284,-,0.272,0.264,-,0.292,0.285,-
SULAWESI UTARA,0.365,0.359,-,0.352,0.347,-,0.365,0.359,-
SULAWESI TENGAH,0.343,0.351,-,0.279,0.278,-,0.316,0.326,-
SULAWESI SELATAN,0.392,0.387,-,0.338,0.334,-,0.382,0.377,-
SULAWESI TENGGARA,0.411,0.402,-,0.347,0.353,-,0.39,0.394,-
GORONTALO,0.398,0.407,-,0.397,0.39,-,0.408,0.409,-
SULAWESI BARAT,0.446,0.451,-,0.321,0.326,-,0.356,0.366,-
MALUKU,0.301,0.302,-,0.258,0.25,-,0.314,0.316,-
MALUKU UTARA,0.298,0.295,-,0.265,0.256,-,0.3,0.278,-
PAPUA BARAT,0.322,0.313,-,0.407,0.399,-,0.38,0.374,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.301,0.307,-,0.422,0.419,-,0.397,0.396,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.401,0.398,-,0.315,0.314,-,0.384,0.381,-
