Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2022
PAPUA,456263.0,493024.0,476758.0,507226.0,471880.0,503948.0,2022
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2022
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2022
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2022
INDONESIA,377958.0,401969.0,370096.0,391093.0,374454.0,397125.0,2022
ACEH,489121.0,0.0,469272.0,0.0,475838.0,0.0,2023
SUMATERA UTARA,468660.0,0.0,447262.0,0.0,458706.0,0.0,2023
SUMATERA BARAT,501157.0,0.0,512376.0,0.0,507000.0,0.0,2023
RIAU,495115.0,0.0,475721.0,0.0,483092.0,0.0,2023
JAMBI,527501.0,0.0,417580.0,0.0,452478.0,0.0,2023
SUMATERA SELATAN,405674.0,0.0,373072.0,0.0,384507.0,0.0,2023
BENGKULU,517906.0,0.0,443990.0,0.0,466693.0,0.0,2023
LAMPUNG,451741.0,0.0,401287.0,0.0,417252.0,0.0,2023
KEP. BANGKA BELITUNG,620744.0,0.0,656395.0,0.0,636311.0,0.0,2023
KEP. RIAU,497813.0,0.0,533241.0,0.0,501598.0,0.0,2023
DKI JAKARTA,548628.0,0.0,0.0,0.0,548628.0,0.0,2023
JAWA BARAT,365780.0,0.0,371463.0,0.0,367040.0,0.0,2023
JAWA TENGAH,365201.0,0.0,355699.0,0.0,360571.0,0.0,2023
DI YOGYAKARTA,431962.0,0.0,366712.0,0.0,414480.0,0.0,2023
JAWA TIMUR,394182.0,0.0,372797.0,0.0,384426.0,0.0,2023
BANTEN,458419.0,0.0,414831.0,0.0,448240.0,0.0,2023
BALI,375253.0,0.0,340646.0,0.0,365437.0,0.0,2023
NUSA TENGGARA BARAT,381359.0,0.0,366994.0,0.0,374441.0,0.0,2023
NUSA TENGGARA TIMUR,437018.0,0.0,374760.0,0.0,389518.0,0.0,2023
KALIMANTAN BARAT,448664.0,0.0,413140.0,0.0,425767.0,0.0,2023
KALIMANTAN TENGAH,426611.0,0.0,485390.0,0.0,461296.0,0.0,2023
KALIMANTAN SELATAN,422758.0,0.0,445076.0,0.0,434362.0,0.0,2023
KALIMANTAN TIMUR,557982.0,0.0,565218.0,0.0,560368.0,0.0,2023
KALIMANTAN UTARA,626759.0,0.0,556835.0,0.0,599246.0,0.0,2023
SULAWESI UTARA,365228.0,0.0,355952.0,0.0,360891.0,0.0,2023
SULAWESI TENGAH,423694.0,0.0,431550.0,0.0,429099.0,0.0,2023
SULAWESI SELATAN,329012.0,0.0,322682.0,0.0,325418.0,0.0,2023
SULAWESI TENGGARA,334125.0,0.0,333604.0,0.0,333797.0,0.0,2023
GORONTALO,327347.0,0.0,348718.0,0.0,339799.0,0.0,2023
SULAWESI BARAT,341470.0,0.0,332697.0,0.0,334380.0,0.0,2023
MALUKU,501268.0,0.0,502863.0,0.0,502215.0,0.0,2023
MALUKU UTARA,443638.0,0.0,429876.0,0.0,433630.0,0.0,2023
PAPUA BARAT,552868.0,0.0,540384.0,0.0,545539.0,0.0,2023
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2023
PAPUA,505321.0,0.0,520279.0,0.0,516528.0,0.0,2023
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2023
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2023
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2023
INDONESIA,415588.0,0.0,399460.0,0.0,408522.0,0.0,2023
ACEH,519288.0,528266.0,492730.0,494778.0,501403.0,506089.0,2024
SUMATERA UTARA,502288.0,508995.0,476787.0,479327.0,490540.0,495730.0,2024
SUMATERA BARAT,532696.0,540096.0,542700.0,545435.0,537985.0,542853.0,2024
RIAU,529025.0,533936.0,501450.0,505622.0,511959.0,516772.0,2024
JAMBI,561284.0,569981.0,459892.0,464125.0,491690.0,497637.0,2024
SUMATERA SELATAN,433537.0,447563.0,402078.0,409879.0,413237.0,423507.0,2024
BENGKULU,546830.0,551184.0,468390.0,469716.0,492988.0,493660.0,2024
LAMPUNG,474260.0,486443.0,421189.0,430504.0,438079.0,448211.0,2024
KEP. BANGKA BELITUNG,643357.0,650379.0,690751.0,698232.0,663408.0,670142.0,2024
KEP. RIAU,532365.0,551982.0,566093.0,573728.0,535976.0,554329.0,2024
DKI JAKARTA,571647.0,590704.0,0.0,0.0,571647.0,590704.0,2024
JAWA BARAT,390563.0,400707.0,394120.0,397882.0,391347.0,400115.0,2024
JAWA TENGAH,390855.0,401435.0,375173.0,383485.0,383285.0,392697.0,2024
DI YOGYAKARTA,455545.0,466983.0,385903.0,393777.0,437891.0,447321.0,2024
JAWA TIMUR,418117.0,429487.0,395752.0,401319.0,408011.0,416738.0,2024
BANTEN,484924.0,497232.0,433803.0,443116.0,474039.0,486415.0,2024
BALI,402771.0,412279.0,362933.0,364979.0,391618.0,399291.0,2024
NUSA TENGGARA BARAT,412395.0,418758.0,396014.0,398686.0,404637.0,409165.0,2024
NUSA TENGGARA TIMUR,457430.0,463318.0,386382.0,388705.0,403922.0,407240.0,2024
KALIMANTAN BARAT,478633.0,489985.0,434904.0,442846.0,450558.0,460485.0,2024
KALIMANTAN TENGAH,449020.0,463836.0,507437.0,519791.0,482856.0,495595.0,2024
KALIMANTAN SELATAN,444222.0,457434.0,469392.0,471998.0,457237.0,464917.0,2024
KALIMANTAN TIMUR,586627.0,603217.0,599051.0,606186.0,590571.0,604133.0,2024
KALIMANTAN UTARA,652541.0,668066.0,583745.0,600153.0,627311.0,644805.0,2024
SULAWESI UTARA,385528.0,405049.0,378261.0,388386.0,382149.0,397806.0,2024
SULAWESI TENGAH,449217.0,454860.0,455158.0,457160.0,453429.0,456444.0,2024
SULAWESI SELATAN,350672.0,356264.0,336710.0,345590.0,342934.0,350315.0,2024
SULAWESI TENGGARA,350388.0,354813.0,343993.0,352533.0,346345.0,353412.0,2024
GORONTALO,353297.0,372700.0,374832.0,385233.0,365613.0,379715.0,2024
SULAWESI BARAT,360512.0,367828.0,350870.0,354319.0,352739.0,356950.0,2024
MALUKU,521836.0,548623.0,525301.0,533738.0,523830.0,540629.0,2024
MALUKU UTARA,475521.0,497282.0,459804.0,484025.0,464529.0,487852.0,2024
PAPUA BARAT,662195.0,679970.0,557986.0,573162.0,591923.0,609768.0,2024
PAPUA BARAT DAYA,545700.0,578031.0,581816.0,582827.0,563575.0,580705.0,2024
PAPUA,507129.0,533022.0,404318.0,413604.0,462491.0,484209.0,2024
PAPUA SELATAN,467204.0,502110.0,340771.0,351258.0,390999.0,418637.0,2024
PAPUA TENGAH,607350.0,638860.0,579784.0,606795.0,586166.0,615022.0,2024
PAPUA PEGUNUNGAN,990068.0,1065131.0,746176.0,803603.0,757648.0,820343.0,2024
INDONESIA,441394.0,453120.0,424160.0,430508.0,433906.0,443433.0,2024
