Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2016
PAPUA,305903.0,314057.0,328157.0,336344.0,321910.0,331243.0,2016
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2016
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2016
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2016
INDONESIA,255181.0,259886.0,266132.0,270038.0,260469.0,264941.0,2016
ACEH,330153.07,347811.0,331267.09,346070.0,330958.33,346552.0,2017
SUMATERA UTARA,311996.83,321688.0,316190.72,322222.0,314243.1,321967.0,2017
SUMATERA BARAT,337132.91,339340.0,352878.21,354771.0,346896.34,348429.0,2017
RIAU,318174.0,327480.0,346208.19,350965.0,335922.13,342348.0,2017
JAMBI,336354.46,341605.0,287877.94,291651.0,301576.33,306360.0,2017
SUMATERA SELATAN,291341.39,297193.0,273134.6,278321.0,279284.44,284680.0,2017
BENGKULU,350441.0,361375.0,341275.01,352385.0,343868.51,355033.0,2017
LAMPUNG,302761.22,307473.0,285183.38,286434.0,289705.73,291600.0,2017
KEP. BANGKA BELITUNG,400464.28,421894.0,449106.13,464559.0,424845.04,441580.0,2017
KEP. RIAU,340729.64,357478.0,375168.68,387266.0,346267.42,362339.0,2017
DKI JAKARTA,347382.93,383192.0,0.0,0.0,347382.93,383192.0,2017
JAWA BARAT,244750.59,250654.0,257238.07,265183.0,248505.46,254799.0,2017
JAWA TENGAH,240655.92,244264.0,248154.86,252711.0,244606.4,248612.0,2017
DI YOGYAKARTA,270924.1,290650.0,260248.81,262952.0,267500.63,282639.0,2017
JAWA TIMUR,246077.97,272645.0,255319.0,260752.0,250804.58,266469.0,2017
BANTEN,271750.65,292643.0,274157.44,279609.0,272551.53,288655.0,2017
BALI,252294.93,252299.0,245927.94,251306.0,249883.56,251921.0,2017
NUSA TENGGARA BARAT,259057.16,267116.0,255797.72,260052.0,257263.29,263301.0,2017
NUSA TENGGARA TIMUR,290711.36,292048.0,268003.62,268253.0,272537.49,273325.0,2017
KALIMANTAN BARAT,286049.47,305430.0,302069.66,315188.0,297455.38,312222.0,2017
KALIMANTAN TENGAH,283201.3,286272.0,338235.32,342574.0,320636.54,325133.0,2017
KALIMANTAN SELATAN,268327.11,282483.0,302037.12,309046.0,287959.87,297743.0,2017
KALIMANTAN TIMUR,387723.43,391088.0,391851.73,410491.0,389151.78,398030.0,2017
KALIMANTAN UTARA,396530.66,423315.0,400086.16,410855.0,398122.7,418003.0,2017
SULAWESI UTARA,246203.81,246744.0,267177.84,270008.0,257489.3,259010.0,2017
SULAWESI TENGAH,295576.53,308042.0,297929.32,312051.0,297375.78,311145.0,2017
SULAWESI SELATAN,204192.47,209432.0,215790.81,226047.0,211452.03,219551.0,2017
