Province,Urban_Semester1,Urban_Semester2,Rural_Semester1,Rural_Semester2,UrbanRural_Semester1,UrbanRural_Semester2,Year
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2022
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2022
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2022
INDONESIA,143536.0,150380.0,114113.0,122077.0,131014.0,138422.0,2022
ACEH,168651.0,170445.0,142735.0,145836.0,151696.0,154402.0,2023
SUMATERA UTARA,158122.0,161284.5,126238.0,130401.5,144293.0,148004.0,2023
SUMATERA BARAT,181358.0,184730.0,140333.0,144883.5,160925.0,165254.0,2023
RIAU,203126.0,206677.5,156983.0,161404.0,175519.0,179594.0,2023
JAMBI,171622.0,175535.0,135140.0,139731.0,147210.0,151560.5,2023
SUMATERA SELATAN,150428.0,151921.5,127616.0,128421.5,136247.0,137298.5,2023
BENGKULU,180896.0,184868.0,165251.0,167795.5,170449.0,173461.5,2023
LAMPUNG,158873.0,163027.0,133288.0,135952.0,141759.0,145033.5,2023
KEP. BANGKA BELITUNG,238557.0,242096.0,236985.0,235403.0,237893.0,239344.5,2023
KEP. RIAU,249445.0,253772.0,174927.0,181902.0,240928.0,246248.5,2023
DKI JAKARTA,243887.0,246966.0,,,243887.0,246966.0,2023
JAWA BARAT,130421.0,132140.5,119550.0,123018.0,128189.0,130286.0,2023
JAWA TENGAH,120310.0,125243.5,113304.0,118053.5,117009.0,121876.0,2023
DI YOGYAKARTA,166963.0,168105.0,133230.0,132908.5,158542.0,159514.0,2023
JAWA TIMUR,128508.0,130468.0,115640.0,118102.0,122860.0,125074.5,2023
BANTEN,176788.0,179752.5,148609.0,150698.0,170481.0,173184.0,2023
BALI,170447.0,175882.5,147988.0,151528.5,164206.0,169206.5,2023
NUSA TENGGARA BARAT,130104.0,131829.5,118688.0,121449.5,124555.0,126796.5,2023
NUSA TENGGARA TIMUR,177418.0,176253.0,96742.0,97985.5,117685.0,118523.5,2023
KALIMANTAN BARAT,157023.0,158222.5,125852.0,130071.5,137521.0,140681.5,2023
KALIMANTAN TENGAH,143948.0,148377.5,128100.0,131453.5,134888.0,138763.0,2023
KALIMANTAN SELATAN,191122.0,194965.0,149065.0,149624.0,169904.0,172222.0,2023
KALIMANTAN TIMUR,238211.0,244721.0,211067.0,214646.0,229818.0,235657.5,2023
KALIMANTAN UTARA,224374.0,227044.5,208762.0,212787.0,218630.0,221972.0,2023
SULAWESI UTARA,105594.0,110075.5,98829.0,103822.5,102541.0,107323.0,2023
SULAWESI TENGAH,155369.0,160304.0,131518.0,134713.0,139149.0,143018.0,2023
SULAWESI SELATAN,129847.0,131176.0,93850.0,95192.0,110607.0,112015.5,2023
SULAWESI TENGGARA,129262.0,132558.0,98358.0,101296.0,110183.0,113065.5,2023
GORONTALO,117450.0,119107.5,90295.0,92176.0,102395.0,104515.0,2023
SULAWESI BARAT,95917.0,97559.5,99472.0,101290.5,98751.0,100553.5,2023
MALUKU,193320.0,199561.0,173142.0,177683.5,181805.0,187477.0,2023
MALUKU UTARA,155499.0,161937.5,121112.0,125849.0,131103.0,136311.5,2023
PAPUA BARAT,212749.0,235505.5,162146.0,168590.0,183080.0,192543.0,2023
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2023
PAPUA,237968.0,242241.5,141667.0,159377.5,169941.0,195031.0,2023
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2023
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2023
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2023
INDONESIA,153711.0,156511.5,125590.0,129112.0,141936.0,145115.5,2023
ACEH,176760.0,175934.0,150668.0,150909.0,159824.0,159766.0,2024
SUMATERA UTARA,165634.0,165432.0,133477.0,135118.0,151883.0,152606.0,2024
SUMATERA BARAT,190871.0,191139.0,149201.0,151617.0,170431.0,172138.0,2024
RIAU,211197.0,212540.0,167924.0,167809.0,185337.0,185848.0,2024
JAMBI,182760.0,184254.0,146258.0,148620.0,158425.0,160463.0,2024
SUMATERA SELATAN,156059.0,155742.0,131714.0,131942.0,140960.0,140955.0,2024
BENGKULU,189928.0,191581.0,172095.0,172904.0,178107.0,179156.0,2024
LAMPUNG,166648.0,169210.0,139174.0,141298.0,148472.0,150807.0,2024
KEP. BANGKA BELITUNG,248812.0,252943.0,239627.0,239769.0,244989.0,247531.0,2024
KEP. RIAU,258987.0,260312.0,183511.0,191157.0,251235.0,253273.0,2024
DKI JAKARTA,253641.0,255381.0,,,253641.0,255381.0,2024
JAWA BARAT,134926.0,136750.0,123721.0,129763.0,132705.0,135394.0,2024
JAWA TENGAH,126560.0,131478.0,120454.0,124813.0,123716.0,128396.0,2024
DI YOGYAKARTA,173081.0,175116.0,138285.0,137739.0,164546.0,166049.0,2024
JAWA TIMUR,133585.0,135797.0,120932.0,124636.0,128111.0,131013.0,2024
BANTEN,186247.0,186973.0,156279.0,157288.0,180174.0,180988.0,2024
BALI,184174.0,187981.0,157305.0,161854.0,176892.0,181015.0,2024
NUSA TENGGARA BARAT,135017.0,135569.0,124665.0,126341.0,130066.0,131174.0,2024
NUSA TENGGARA TIMUR,180831.0,182028.0,102613.0,106475.0,123353.0,126704.0,2024
KALIMANTAN BARAT,164732.0,169673.0,132869.0,139085.0,144951.0,150835.0,2024
KALIMANTAN TENGAH,151277.0,155777.0,133214.0,138151.0,141098.0,145929.0,2024
KALIMANTAN SELATAN,198786.0,200568.0,152102.0,157415.0,175502.0,179190.0,2024
KALIMANTAN TIMUR,252275.0,259197.0,223218.0,227353.0,243384.0,249864.0,2024
KALIMANTAN UTARA,233114.0,236105.0,215582.0,223194.0,226983.0,231570.0,2024
SULAWESI UTARA,112743.0,117116.0,103386.0,109714.0,108570.0,113904.0,2024
SULAWESI TENGAH,163451.0,166918.0,139534.0,144821.0,147443.0,152243.0,2024
SULAWESI SELATAN,134729.0,134814.0,99753.0,102082.0,116292.0,117676.0,2024
SULAWESI TENGGARA,135244.0,138640.0,104366.0,108034.0,116370.0,119931.0,2024
GORONTALO,122554.0,122625.0,94736.0,95074.0,107393.0,107863.0,2024
SULAWESI BARAT,99300.0,100168.0,102849.0,104097.0,102140.0,103333.0,2024
MALUKU,202296.0,211855.0,180000.0,188881.0,189673.0,199189.0,2024
MALUKU UTARA,166963.0,180003.0,128936.0,139765.0,139931.0,151485.0,2024
PAPUA BARAT,259955.0,264646.0,176261.0,180584.0,201881.0,206845.0,2024
PAPUA BARAT DAYA,219553.0,232677.0,165835.0,189985.0,192662.0,210865.0,2024
PAPUA,242545.0,254161.0,165977.0,179865.0,211880.0,224602.0,2024
PAPUA SELATAN,178832.0,179426.0,101319.0,102833.0,128980.0,130009.0,2024
PAPUA TENGAH,312754.0,320179.0,134486.0,138735.0,177949.0,183311.0,2024
PAPUA PEGUNUNGAN,293852.0,312333.0,246198.0,255094.0,249412.0,258817.0,2024
INDONESIA,160477.0,162643.0,132714.0,136147.0,149026.0,151809.0,2024
