,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
91,DI YOGYAKARTA,270924.1,290650,260248.81,262952,267500.63,282639,2017
92,JAWA TIMUR,246077.97,272645,255319,260752,250804.58,266469,2017
93,BANTEN,271750.65,292643,274157.44,279609,272551.53,288655,2017
94,BALI,252294.93,252299,245927.94,251306,249883.56,251921,2017
95,NUSA TENGGARA BARAT,259057.16,267116,255797.72,260052,257263.29,263301,2017
96,NUSA TENGGARA TIMUR,290711.36,292048,268003.62,268253,272537.49,273325,2017
97,KALIMANTAN BARAT,286049.47,305430,302069.66,315188,297455.38,312222,2017
98,KALIMANTAN TENGAH,283201.3,286272,338235.32,342574,320636.54,325133,2017
99,KALIMANTAN SELATAN,268327.11,282483,302037.12,309046,287959.87,297743,2017
100,KALIMANTAN TIMUR,387723.43,391088,391851.73,410491,389151.78,398030,2017
101,KALIMANTAN UTARA,396530.66,423315,400086.16,410855,398122.7,418003,2017
102,SULAWESI UTARA,246203.81,246744,267177.84,270008,257489.3,259010,2017
103,SULAWESI TENGAH,295576.53,308042,297929.32,312051,297375.78,311145,2017
104,SULAWESI SELATAN,204192.47,209432,215790.81,226047,211452.03,219551,2017
105,SULAWESI TENGGARA,211529.93,218461,217357.46,227757,215619.58,224360,2017
106,GORONTALO,221124.05,233999,233542.57,242180,229465.58,239329,2017
107,SULAWESI BARAT,233411.63,255318,240903.62,247744,239358.77,249544,2017
108,MALUKU,319133.98,341556,342515.94,347373,333356.84,345090,2017
109,MALUKU UTARA,315481.09,318011,303436.23,307493,306642.38,310354,2017
110,PAPUA BARAT,375359.56,378551,397246.05,404857,389400.29,395479,2017
111,PAPUA BARAT DAYA,-,-,-,-,-,-,2017
112,PAPUA,328874.54,334043,349305.78,350279,344637.05,346106,2017
113,PAPUA SELATAN,-,-,-,-,-,-,2017
114,PAPUA TENGAH,-,-,-,-,-,-,2017
115,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2017
116,INDONESIA,270856.32,283220,278277.85,284740,274544.38,283964,2017
117,ACEH,351777,360318.19,353915,362463.34,353291,361835.41,2018
118,SUMATERA UTARA,328225,345167.42,333843,342317.79,331105,343740.9,2018
119,SUMATERA BARAT,356907,367319.03,369087,370529.45,364235,369206.6,2018
120,RIAU,342425,350004.22,357685,358620.5,351845,355411.51,2018
121,JAMBI,358637,363152.88,312113,314945.87,326180,329934.18,2018
122,SUMATERA SELATAN,313669,314491.52,289522,291450.87,297528,298856.85,2018
123,BENGKULU,380731,388650.84,356600,356972.92,363700,366889.22,2018
124,LAMPUNG,321620,327530.49,293926,299041.14,301234,306926.27,2018
125,KEP. BANGKA BELITUNG,442588,469429.91,472431,495542.54,457834,482102.67,2018
126,KEP. RIAU,373829,376276.75,396882,405549.51,377389,379602.47,2018
127,DKI JAKARTA,394158,408790.86,-,-,394158,408790.86,2018
128,JAWA BARAT,263583,266339.96,274016,276660.33,266531,269064.68,2018
129,JAWA TENGAH,254959,259615.71,259564,265809.06,257293,262772.55,2018
130,DI YOGYAKARTA,301252,305494.64,270706,271414.73,292472,296077.01,2018
131,JAWA TIMUR,282265,296061.99,272436,279054.29,277349,287852.48,2018
132,BANTEN,316089,331095.52,293446,301349.07,308915,322255.78,2018
133,BALI,263613,268910.39,264685,267058.95,263995,268274.99,2018
134,NUSA TENGGARA BARAT,279003,284496.52,271987,272119.77,275124,277943.59,2018
135,NUSA TENGGARA TIMUR,299104,301642.59,273466,275681.29,278911,281069.78,2018
136,KALIMANTAN BARAT,323125,331134.98,320747,326706.96,321481,328114.55,2018
137,KALIMANTAN TENGAH,290898,305217.37,347960,356962.1,328127,338032.17,2018
138,KALIMANTAN SELATAN,288601,294677.37,313712,323191.57,302854,310496.11,2018
139,KALIMANTAN TIMUR,394601,411445.49,424731,435063.8,405108,419549.99,2018
140,KALIMANTAN UTARA,432127,471678.09,413858,430969.75,423796,454542.25,2018
141,SULAWESI UTARA,253610,263853.07,276149,286801.86,265096,275123.29,2018
142,SULAWESI TENGAH,309458,311845.12,314521,326791.62,313190,322860.93,2018
143,SULAWESI SELATAN,218173,230867.58,236336,240452.99,229289,236638.65,2018
144,SULAWESI TENGGARA,220497,232433.85,230677,240343.33,226889,237715.95,2018
145,GORONTALO,237890,246148.39,249937,255886.59,245508,252117.96,2018
146,SULAWESI BARAT,255642,259387.33,248042,249420.31,249788,251463.56,2018
147,MALUKU,342923,356495.44,351733,364361.16,348099,361160.66,2018
148,MALUKU UTARA,330654,331690.15,320771,329212.07,323639,329899.62,2018
149,PAPUA BARAT,383367,421470.88,407711,439399.22,398435,432692.54,2018
150,PAPUA BARAT DAYA,-,-,-,-,-,-,2018
151,PAPUA,361012,378574.78,378887,392449.52,374752,388843.78,2018
152,PAPUA SELATAN,-,-,-,-,-,-,2018
153,PAPUA TENGAH,-,-,-,-,-,-,2018
154,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2018
155,INDONESIA,295272,303909.85,294302,299883.76,294806,302022.07,2018
156,ACEH,364040,377620,372626,387367,370093,384381,2019
157,SUMATERA UTARA,354346,366831,348030,367379,351215,367105,2019
158,SUMATERA BARAT,382490,402124,382217,401904,382333,402003,2019
159,RIAU,361135,383444,368149,381046,365515,381904,2019
160,JAMBI,379659,389321,327181,341445,343783,355585,2019
161,SUMATERA SELATAN,318325,331698,299598,311271,306087,318123,2019
162,BENGKULU,393835,422120,358509,369733,369211,384886,2019
163,LAMPUNG,335947,344994,304512,318866,313620,326364,2019
164,KEP. BANGKA BELITUNG,480596,504235,507100,541062,492693,521298,2019
165,KEP. RIAU,393859,397193,412190,429322,396007,400070,2019
166,DKI JAKARTA,429915,451918,-,-,429915,451918,2019
167,JAWA BARAT,280844,291607,284171,295872,281693,292718,2019
168,JAWA TENGAH,270631,284099,273501,282349,272080,283217,2019
169,DI YOGYAKARTA,323635,338723,279124,286565,310947,322999,2019
170,JAWA TIMUR,305759,310555,290587,294266,298341,302757,2019
171,BANTEN,344073,358473,304403,323479,331601,347368,2019
172,BALI,278769,292350,269879,271679,275834,285920,2019
173,NUSA TENGGARA BARAT,294223,301167,280269,285008,286871,292522,2019
174,NUSA TENGGARA TIMUR,317432,337056,285352,289037,292305,299476,2019
175,KALIMANTAN BARAT,348116,366155,337213,345098,340782,351667,2019
176,KALIMANTAN TENGAH,317184,337107,363433,376076,346454,361419,2019
177,KALIMANTAN SELATAN,312945,322321,335341,354054,325590,340430,2019
178,KALIMANTAN TIMUR,422701,437601,441376,465407,429165,446840,2019
179,KALIMANTAN UTARA,495678,514485,453445,453992,478280,488970,2019
180,SULAWESI UTARA,277347,283576,295007,297736,286215,290623,2019
181,SULAWESI TENGAH,326695,349776,340726,360828,336739,357664,2019
182,SULAWESI SELATAN,238425,251107,254134,260579,247704,256826,2019
183,SULAWESI TENGGARA,242594,255355,247687,262555,245761,259888,2019
184,GORONTALO,255870,261635,259698,279108,258158,272431,2019
185,SULAWESI BARAT,261198,266109,252528,262158,254518,262966,2019
186,MALUKU,380992,399149,388514,424033,385303,414480,2019
187,MALUKU UTARA,352536,358394,343631,344340,346075,348361,2019
188,PAPUA BARAT,433054,448816,447368,456010,441803,453232,2019
189,PAPUA BARAT DAYA,-,-,-,-,-,-,2019
190,PAPUA,394446,402419,408203,424006,404631,418367,2019
191,PAPUA SELATAN,-,-,-,-,-,-,2019
192,PAPUA TENGAH,-,-,-,-,-,-,2019
193,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2019
194,INDONESIA,316687,329220,309287,320019,313232,324911,2019
195,ACEH,398026,399504,396615,397816,397032,398316,2020
196,SUMATERA UTARA,376919,378679,376656,378550,376790,378617,2020
197,SUMATERA BARAT,411369,413073,415694,416419,413832,414949,2020
198,RIAU,400297,401965,394776,396647,396883,398654,2020
199,JAMBI,409968,412391,349384,350313,368137,369835,2020
