,38 Provinsi,Februari,Agustus,Tahun
583,JAWA TIMUR,3.61,4.585333333333334,2025
584,BANTEN,6.64,9.480666666666666,2025
585,BALI,1.58,2.6966666666666668,2025
586,NUSA TENGGARA BARAT,3.22,4.152,2025
587,NUSA TENGGARA TIMUR,3.23,3.3393333333333337,2025
588,KALIMANTAN BARAT,4.23,4.647333333333333,2025
589,KALIMANTAN TENGAH,3.47,4.005333333333334,2025
590,KALIMANTAN SELATAN,3.94,4.72,2025
591,KALIMANTAN TIMUR,5.33,7.363333333333332,2025
592,KALIMANTAN UTARA,3.9,4.784000000000001,2025
593,SULAWESI UTARA,6.03,7.334666666666667,2025
594,SULAWESI TENGAH,3.02,3.8200000000000003,2025
595,SULAWESI SELATAN,4.96,5.578,2025
596,SULAWESI TENGGARA,3.27,3.9086666666666665,2025
597,GORONTALO,3.12,3.9939999999999998,2025
598,SULAWESI BARAT,3.17,2.854,2025
599,MALUKU,5.95,8.174666666666667,2025
600,MALUKU UTARA,4.26,4.819333333333333,2025
601,PAPUA BARAT,4.21,6.112,2025
602,PAPUA BARAT DAYA,6.61,6.48,2025
603,PAPUA,6.92,3.7286666666666664,2025
604,PAPUA SELATAN,4.9,4.05,2025
605,PAPUA TENGAH,3.55,2.75,2025
606,PAPUA PEGUNUNGAN,1.68,1.32,2025
607,INDONESIA,4.76,6.022,2025
