,Provinsi (PDRB),Pengeluaran Konsumsi Rumah Tangga Triwulan I,Pengeluaran Konsumsi Rumah Tangga Triwulan II,Pengeluaran Konsumsi Rumah Tangga Triwulan III,Pengeluaran Konsumsi Rumah Tangga Triwulan IV,Pengeluaran Konsumsi Rumah Tangga Tahunan,Pengeluaran Konsumsi LNPRT Triwulan I,Pengeluaran Konsumsi LNPRT Triwulan II,Pengeluaran Konsumsi LNPRT Triwulan III,Pengeluaran Konsumsi LNPRT Triwulan IV,Pengeluaran Konsumsi LNPRT Tahunan,Pengeluaran Konsumsi Pemerintah Triwulan I,Pengeluaran Konsumsi Pemerintah Triwulan II,Pengeluaran Konsumsi Pemerintah Triwulan III,Pengeluaran Konsumsi Pemerintah Triwulan IV,Pengeluaran Konsumsi Pemerintah Tahunan,Pembentukan Modal Tetap Bruto Triwulan I,Pembentukan Modal Tetap Bruto Triwulan II,Pembentukan Modal Tetap Bruto Triwulan III,Pembentukan Modal Tetap Bruto Triwulan IV,Pembentukan Modal Tetap Bruto Tahunan,Perubahan Inventori Triwulan I,Perubahan Inventori Triwulan II,Perubahan Inventori Triwulan III,Perubahan Inventori Triwulan IV,Perubahan Inventori Tahunan,Net Ekspor Triwulan I,Net Ekspor Triwulan II,Net Ekspor Triwulan III,Net Ekspor Triwulan IV,Net Ekspor Tahunan,PDRB Triwulan I,PDRB Triwulan II,PDRB Triwulan III,PDRB Triwulan IV,PDRB Tahunan,Tahun
59,KALIMANTAN TENGAH,6738.46,7002.38,7332.46,7412.9,28486.2,187.88,190.55,202.14,204.36,784.93,1963.44,2168.93,2501.46,2777.64,9411.47,6295.01,6818.53,7575.62,8044.02,28733.18,351.3,121.61,240.68,61.86,775.45,324.07,-343.04,-1029.74,-1271.12,-2319.83,15860.16,15958.96,16822.62,17229.67,65871.41,2011
60,KALIMANTAN SELATAN,10850.44,11080.71,11439.68,11624.16,44995.0,181.21,185.01,193.99,198.17,758.38,2337.98,2668.38,2841.95,3778.28,11626.6,4594.24,5065.41,5459.51,6082.21,21201.37,336.28,-232.47,-376.83,-796.83,-1069.86,3818.73,5992.42,6870.19,4587.73,21269.06,22118.87,24759.47,26428.49,25473.72,98780.55,2011
61,KALIMANTAN TIMUR,13548.44,14025.19,14854.72,15099.03,57527.38,284.49,289.98,303.23,304.45,1182.16,1592.94,3036.9,3179.07,7299.83,15108.73,26552.92,27499.34,27557.79,29473.5,111083.54,2807.05,2259.53,1502.44,432.9,7001.92,65209.14,69460.37,71501.19,74706.12,280876.82,109994.98,116571.31,118898.43,127315.83,472780.55,2011
62,KALIMANTAN UTARA,1844.87,1908.6,2022.78,2050.9,7827.14,61.21,62.4,65.32,65.72,254.65,372.31,703.02,730.31,1665.24,3470.88,2970.87,3026.15,3025.92,3229.91,12252.85,390.38,246.14,133.84,32.69,803.06,4317.72,4556.85,5262.52,3665.26,17802.35,9957.37,10503.15,11240.69,10709.71,42410.92,2011
63,SULAWESI UTARA,6644.2,6795.52,7088.68,7503.37,28031.77,282.21,293.24,338.14,343.98,1257.57,2434.26,2479.88,2537.94,2625.65,10077.73,5584.92,5309.87,5715.07,6442.73,23052.59,-9.2,15.68,33.74,21.81,62.03,-1729.15,-909.1,-1032.84,-1467.01,-5138.1,13207.24,13985.09,14680.74,15470.53,57343.6,2011
64,SULAWESI TENGAH,8620.12,8428.84,8817.57,9077.01,34943.53,276.83,280.87,292.7,303.5,1153.89,2019.89,2219.3,2355.77,2574.38,9169.33,5101.27,5467.27,5840.31,6292.92,22701.77,346.59,298.9,264.84,130.29,1040.62,-2305.06,-1894.03,-1987.0,-2106.77,-8292.85,14059.64,14801.14,15584.19,16271.33,60716.29,2011
65,SULAWESI SELATAN,27075.02,27873.06,29009.54,29589.62,113547.23,539.73,563.67,586.16,624.27,2313.83,2451.66,4774.7,6332.89,9932.08,23491.34,14630.18,15615.54,17232.67,19219.84,66698.23,320.53,757.79,1108.72,311.35,2498.38,1061.57,280.92,-2115.13,-9487.27,-10259.91,46078.68,49865.67,52154.85,50189.89,198289.08,2011
66,SULAWESI TENGGARA,6665.56,6869.14,7268.79,7420.38,28223.87,173.09,174.03,175.87,176.52,699.52,1916.7,2323.77,2492.14,2951.23,9683.83,5315.17,5407.27,5739.6,6050.6,22512.64,-154.43,289.23,-246.33,-399.61,-511.13,-1432.39,-1639.96,-958.85,-818.96,-4850.16,12483.7,13423.49,14471.22,15380.15,55758.55,2011
67,GORONTALO,2575.91,2657.19,2804.88,2856.69,10894.68,26.07,27.18,30.08,32.49,115.82,743.6,1007.21,1210.47,1315.92,4277.19,1261.59,1307.31,1401.07,1479.77,5449.75,67.74,72.44,78.4,38.63,257.21,-411.31,-849.08,-992.38,-1335.36,-3588.12,4263.6,4222.26,4532.52,4388.14,17406.53,2011
68,SULAWESI BARAT,2762.5,2854.96,3024.13,3092.25,11733.85,37.35,38.65,40.6,41.32,157.92,558.66,646.01,869.12,1658.36,3732.16,1290.37,1269.82,1308.53,1514.84,5383.56,182.3,190.9,197.41,-124.1,446.52,-125.85,-116.51,-217.3,-805.01,-1264.67,4705.33,4883.84,5222.5,5377.67,20189.34,2011
69,MALUKU,2955.78,3509.1,3655.26,3692.6,13812.75,118.2,123.53,126.72,129.86,498.32,1839.75,2207.48,2536.76,2661.92,9245.92,1226.54,1312.99,1385.39,1477.79,5402.7,64.62,56.33,50.72,27.56,199.22,-1235.58,-2061.94,-2302.07,-2191.46,-7791.05,4969.31,5147.49,5452.79,5798.27,21367.86,2011
70,MALUKU UTARA,2517.62,2589.43,2695.78,2764.11,10566.93,44.34,46.84,48.65,49.74,189.57,1122.05,1241.5,1374.96,1446.29,5184.81,988.05,1060.93,1146.06,1197.14,4392.18,291.03,541.5,392.66,-1081.17,144.02,-1052.46,-1344.6,-1226.1,223.79,-3399.38,3910.63,4135.6,4432.01,4599.9,17078.14,2011
71,PAPUA BARAT,2777.99,2843.78,2908.82,2976.63,11507.21,78.23,84.07,87.89,91.17,341.36,1570.98,1767.83,2163.64,2289.87,7792.31,1655.52,1780.51,2059.66,2161.5,7657.19,-191.3,124.52,-1016.86,2170.85,1087.22,3283.76,3984.2,6765.22,1836.15,15869.34,9175.19,10584.91,12968.38,11526.17,44254.64,2011
72,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
73,PAPUA,10520.57,10862.35,11385.64,12041.85,44810.41,380.86,393.23,423.32,448.05,1645.46,4362.24,4457.66,5250.18,6281.36,20351.45,6520.29,6846.96,7197.73,8041.12,28606.09,-533.76,1718.72,7814.14,-10140.51,-1141.42,7996.27,3944.23,-4509.98,6486.23,13916.76,29246.48,28223.16,27561.02,23158.1,108188.76,2011
74,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
75,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
76,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
77,TOTAL,1004603.27,1034774.78,1080785.7,1104455.08,4224618.84,19183.54,19853.21,21007.79,21652.28,81696.82,113169.86,155403.09,189090.84,251837.74,709501.53,561036.47,588919.87,615209.24,660847.56,2426013.14,65980.26,51471.34,42468.52,-32376.57,127543.54,80024.38,67408.73,82859.77,25408.78,255701.66,1843997.77,1917831.01,2031421.87,2031824.88,7825075.53,2011
78,ACEH,15306.51,15436.52,16412.47,16416.28,63571.78,449.11,408.76,426.07,426.42,1710.36,4016.88,5077.38,6101.47,9958.25,25153.98,8899.25,9387.8,9746.43,10718.84,38752.32,152.21,572.24,470.1,541.8,1736.34,-908.49,-2484.42,-4204.09,-8775.7,-16372.7,27915.47,28398.28,28952.46,29285.88,114552.08,2012
79,SUMATERA UTARA,53139.6,54642.63,56821.05,58141.65,222744.92,1039.19,1062.95,1075.27,1084.17,4261.58,6520.58,8036.48,8525.18,10304.38,33386.62,30801.75,31905.98,33184.89,35597.94,131490.57,2791.1,1365.37,1804.59,1258.23,7219.29,5467.28,3733.51,5732.01,3084.66,18017.46,99759.5,100746.92,107142.98,109471.04,417120.44,2012
80,SUMATERA BARAT,17219.84,17693.6,18449.5,18828.89,72191.82,316.22,322.51,338.47,357.6,1334.81,2867.61,4108.6,4229.05,6470.27,17675.53,9443.81,9973.61,10154.13,10642.0,40213.56,770.59,382.16,170.8,145.09,1468.62,673.57,33.3,264.89,-2420.47,-1448.7,31291.64,32513.77,33606.84,34023.39,131435.65,2012
81,RIAU,35640.96,36444.84,37981.13,38934.53,149001.46,430.26,435.09,531.28,516.94,1913.57,3847.96,4476.25,4936.29,6489.88,19750.38,30590.56,32871.32,34708.56,36029.96,134200.41,11491.52,11735.41,4279.66,1588.4,29094.99,48840.77,51723.48,65609.45,58358.21,224531.92,130842.04,137686.4,148046.37,141917.91,558492.72,2012
82,JAMBI,12943.17,13416.93,13936.96,14020.05,54317.1,132.26,131.41,146.71,149.55,559.93,1572.07,2596.86,2776.62,3935.81,10881.35,6404.7,6358.63,7083.41,7589.75,27436.49,3260.64,-273.58,-388.19,788.04,3386.92,3430.42,6858.1,5134.67,3065.42,18488.6,27743.26,29088.34,28690.17,29548.63,115070.4,2012
83,SUMATERA SELATAN,38928.05,40318.32,42163.18,42607.3,164016.85,747.1,774.18,809.04,843.21,3173.54,4229.63,5588.28,4714.26,5912.83,20445.01,22971.81,24934.39,27127.14,28631.77,103665.1,6626.44,-215.53,2350.22,1090.84,9851.97,-13173.83,-6895.17,-11161.28,-16657.06,-47887.34,60329.21,64504.47,66002.56,62428.89,253265.12,2012
84,BENGKULU,5417.48,5575.08,5910.73,6103.66,23006.94,218.22,227.69,236.16,234.17,916.23,1573.96,1687.48,1734.8,1871.1,6867.34,3430.08,3585.06,3750.73,4049.37,14815.25,212.31,221.87,214.15,221.61,869.94,-2163.43,-2490.88,-2575.65,-3038.07,-10268.02,8688.62,8806.3,9270.91,9441.85,36207.68,2012
85,LAMPUNG,27073.01,27835.87,29684.96,29950.15,114544.0,541.65,568.05,592.05,613.07,2314.83,2760.34,4188.06,4025.89,5612.76,16587.05,13774.45,15067.82,15384.49,15876.06,60102.82,1150.25,1130.2,-451.12,-527.49,1301.84,328.37,-913.87,71.09,-6987.31,-7501.72,45628.07,47876.14,49307.36,44537.24,187348.82,2012
86,KEP. BANGKA BELITUNG,5335.6,5534.92,5825.9,5954.41,22650.83,55.02,58.48,60.73,62.27,236.5,981.42,1092.72,1189.62,1328.42,4592.18,2359.15,2425.75,2507.81,2532.52,9825.22,273.3,240.92,310.23,206.58,1031.02,1738.4,1885.48,1660.53,1780.05,7064.47,10742.89,11238.27,11554.82,11864.25,45400.23,2012
87,KEP. RIAU,12016.88,12306.86,12878.17,13220.7,50422.62,71.1,76.36,80.9,82.82,311.18,806.08,1759.07,2250.36,3846.0,8661.51,13803.04,14608.05,15403.75,16095.3,59910.15,1167.63,1762.1,1178.79,708.19,4816.71,6394.32,5140.07,4897.09,4287.14,20718.61,34259.07,35652.5,36689.07,38240.16,144840.79,2012
88,DKI JAKARTA,190990.32,197404.65,208610.3,212839.81,809845.08,5596.2,5862.26,6232.7,6414.34,24105.5,26896.22,49980.9,43767.69,62614.85,183259.65,145051.67,160645.34,163182.39,171504.65,640384.05,1685.07,1403.25,624.1,246.65,3959.08,-46496.91,-79979.68,-73351.32,-92292.81,-292120.72,323722.57,335316.71,349065.87,361327.5,1369432.64,2012
89,JAWA BARAT,176590.11,179374.48,192009.41,186298.46,734272.45,1617.8,1686.4,1760.04,1795.33,6859.56,11037.72,19424.85,16239.2,22292.38,68994.16,62958.91,71805.7,75799.27,83515.3,294079.17,29919.57,21381.53,13784.91,7930.36,73016.38,-11046.05,-12977.77,-12357.17,-12595.06,-48976.04,271078.06,280695.19,287235.66,289236.77,1128245.68,2012
90,JAWA TENGAH,113932.31,116456.28,122219.4,122278.75,474886.73,1836.04,1911.0,2084.66,2104.49,7936.19,8858.43,17400.89,13207.76,22114.42,61581.49,50763.94,56124.75,59390.35,61306.65,227585.7,19538.26,20900.91,8564.85,4595.98,53600.0,-13385.82,-22388.87,-11010.93,-24275.05,-71060.67,181543.16,190404.96,194456.08,188125.24,754529.44,2012
91,DI YOGYAKARTA,11832.41,12180.74,12527.9,12862.35,49403.4,499.33,514.12,532.81,550.42,2096.68,2565.34,3061.25,2963.27,3393.09,11982.95,4606.78,4887.15,5422.82,6232.12,21148.87,903.67,150.72,131.17,-216.22,969.33,-1879.58,-2042.21,-1848.17,-2583.42,-8353.38,18527.96,18751.76,19729.8,20238.34,77247.86,2012
92,JAWA TIMUR,183828.06,190516.02,201392.45,205855.01,781591.55,3287.96,3442.54,3621.93,3688.45,14040.88,15882.57,20708.67,21603.13,28000.6,86194.97,77848.06,85011.74,88896.92,93049.45,344806.17,61.75,75.4,101.83,-161.12,77.86,15255.49,10267.79,9574.33,-13041.74,22055.86,296163.89,310022.17,325190.59,317390.65,1248767.29,2012
93,BANTEN,48195.96,49489.17,51318.75,52704.01,201707.89,379.09,389.39,409.48,419.79,1597.76,3349.71,4052.66,4167.76,5036.13,16606.26,24674.54,26811.76,26420.73,28607.86,106514.89,3556.33,2583.87,1271.7,734.74,8146.64,598.43,33.38,3024.42,-4.73,3651.5,80754.07,83360.22,86612.85,87497.79,338224.93,2012
94,BALI,15801.97,16326.14,16742.8,16941.98,65812.89,284.76,302.77,326.31,359.23,1273.08,1799.48,3460.11,3419.04,5964.51,14643.13,9850.27,10408.04,10837.33,11251.87,42347.51,819.23,652.06,373.67,233.0,2077.96,-1356.29,-1469.35,-1264.48,-4077.06,-8167.17,27199.42,29679.78,30434.67,30673.53,117987.4,2012
95,NUSA TENGGARA BARAT,12860.06,13020.02,13524.55,13411.1,52815.73,235.34,241.99,257.21,258.96,993.5,2310.79,2940.02,2838.06,3071.65,11160.52,6416.28,6667.79,6816.81,6906.57,26807.46,-272.11,-654.85,1882.94,-1747.92,-791.94,-5158.45,-5383.26,-7247.17,-4174.15,-21963.03,16391.91,16831.71,18072.39,17726.21,69022.23,2012
96,NUSA TENGGARA TIMUR,9901.83,10143.47,10882.07,11712.56,42639.92,375.15,398.88,415.51,457.22,1646.75,2528.84,3007.27,4488.65,5933.78,15958.53,4092.37,4390.11,5262.38,4489.14,18234.0,820.16,959.43,796.98,557.88,3134.45,-5145.08,-5403.09,-7636.24,-8536.11,-26720.52,12573.25,13496.07,14209.35,14614.47,54893.15,2012
97,KALIMANTAN BARAT,14278.74,14828.5,15297.52,15518.93,59923.68,261.64,272.34,279.84,286.99,1100.81,2442.47,2961.31,3240.16,4106.3,12750.24,8653.46,9862.34,9238.77,9151.43,36906.0,420.48,304.93,280.54,222.9,1228.85,-1271.96,-2721.25,-438.66,-518.9,-4950.77,24784.82,25508.17,27898.16,28767.64,106958.8,2012
98,KALIMANTAN TENGAH,7620.78,7766.27,8109.38,8174.42,31670.84,215.24,216.48,230.99,235.63,898.34,2309.24,2496.82,2824.6,3130.95,10761.62,7411.57,8123.28,8794.42,9206.15,33535.42,127.16,205.9,329.17,136.89,799.13,345.84,-690.45,-1385.52,-2509.84,-4239.97,18029.84,18118.3,18903.04,18374.2,73425.38,2012
99,KALIMANTAN SELATAN,11809.78,12055.96,12395.57,12571.59,48832.9,200.19,202.91,209.0,212.32,824.42,2556.9,3374.7,3170.47,4439.33,13541.4,5176.61,5899.16,6226.63,6791.03,24093.43,251.14,609.79,791.09,-379.43,1272.58,4627.48,4738.43,5235.37,3559.42,18160.7,24622.1,26880.93,28028.14,27194.26,106725.43,2012
100,KALIMANTAN TIMUR,15429.04,15928.27,16976.9,17159.17,65493.37,312.15,317.35,332.39,339.19,1301.07,1464.36,3578.35,3753.77,8546.33,17342.81,28314.65,30969.81,31357.33,34030.03,124671.83,3129.57,3042.65,1294.82,765.39,8232.43,81460.66,71407.57,70237.85,63254.45,286360.52,130110.44,125243.99,123953.05,124094.56,503402.03,2012
101,KALIMANTAN UTARA,2102.03,2163.48,2316.73,2327.31,8909.55,67.59,68.95,72.49,74.28,283.31,334.16,820.55,865.78,1980.18,4000.68,3193.04,3523.69,3648.42,3996.73,14361.89,199.75,188.83,90.41,62.68,541.66,5214.7,4423.23,4751.69,4847.03,19236.65,11111.27,11188.73,11745.51,13288.21,47333.73,2012
102,SULAWESI UTARA,7134.38,7437.1,7948.18,8389.02,30908.68,346.6,350.75,356.96,365.1,1419.42,2290.43,2755.56,2866.15,3198.13,11110.27,5689.52,5276.3,5706.2,6381.62,23053.65,63.41,41.9,19.06,10.63,134.99,-1214.99,-282.52,-549.43,-704.77,-2751.7,14309.36,15579.1,16347.12,17639.73,63875.31,2012
103,SULAWESI TENGAH,9084.21,9538.44,10224.27,10361.38,39208.29,300.37,305.46,319.89,332.89,1258.62,2334.54,2595.17,2604.09,2891.57,10425.36,6101.2,6437.29,6872.85,7205.51,26616.84,620.84,509.89,299.81,187.74,1618.29,-2126.39,-2500.33,-2907.16,-1955.62,-9489.49,16314.78,16885.91,17413.76,19023.47,69637.92,2012
104,SULAWESI SELATAN,30706.01,31716.81,33239.84,34025.28,129687.95,617.52,638.09,662.28,683.18,2601.07,3637.08,6975.08,6140.43,9371.63,26124.21,17813.74,19744.38,21640.34,23478.62,82677.07,1837.57,2401.1,2760.91,-1338.15,5661.43,-916.33,-4073.32,-4546.13,-8930.48,-18466.26,53695.59,57402.14,59897.67,57290.08,228285.47,2012
105,SULAWESI TENGGARA,7655.94,7846.89,8340.18,8554.97,32397.97,178.54,179.97,183.29,184.53,726.32,2012.29,2513.52,2573.61,2937.11,10036.52,5590.17,5683.64,5963.41,6280.93,23518.17,454.81,874.65,-115.91,-187.92,1025.63,-1310.1,-2275.04,797.29,-222.77,-3010.62,14581.64,14823.62,17741.87,17546.85,64693.98,2012
106,GORONTALO,2916.92,2993.82,3144.99,3173.3,12229.03,31.97,30.81,32.16,33.44,128.39,811.75,1291.69,1230.44,1509.34,4843.22,1427.18,1486.17,1577.12,1653.34,6143.81,204.88,176.4,88.11,46.98,516.37,-600.43,-1150.88,-1002.23,-1437.55,-4191.1,4792.26,4828.02,5070.59,4978.85,19669.72,2012
107,SULAWESI BARAT,3066.28,3102.08,3267.41,3290.92,12726.69,41.63,41.93,44.16,44.77,172.49,822.22,930.16,1055.51,1459.84,4267.71,1543.21,1508.56,1543.44,1644.16,6239.37,211.55,222.54,149.17,-133.54,449.72,-255.75,-216.17,-462.22,-295.64,-1229.78,5429.14,5589.1,5597.47,6010.5,22626.21,2012
108,MALUKU,3758.93,3963.9,4191.7,4315.95,16230.48,130.4,133.97,137.17,140.42,541.97,2019.67,2553.32,2611.85,2937.51,10122.35,1598.12,1768.19,1860.76,1949.03,7176.1,101.52,89.1,53.2,34.9,278.73,-1767.88,-2387.82,-2606.06,-2926.12,-9687.88,5840.76,6120.67,6248.62,6451.7,24661.75,2012
109,MALUKU UTARA,2788.71,2826.57,2939.5,2991.26,11546.05,51.82,53.01,54.96,56.68,216.47,1358.05,1471.76,1558.25,1634.71,6022.77,1221.91,1255.08,1305.81,1351.41,5134.2,-152.16,1032.55,466.01,-549.15,797.26,-574.87,-1920.32,-1429.03,-452.06,-4376.29,4693.45,4718.66,4895.51,5032.84,19340.46,2012
110,PAPUA BARAT,2893.77,3041.66,3138.58,3225.64,12299.65,85.68,92.03,99.51,108.21,385.43,1822.26,2138.79,2388.49,2688.37,9037.9,1818.03,1920.84,2216.52,2312.04,8267.42,1301.35,1953.74,1185.53,665.49,5106.11,3838.18,3268.87,3349.54,1867.99,12324.58,11759.26,12415.93,12378.17,10867.73,47421.09,2012
111,PAPUA BARAT DAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
112,PAPUA,11754.55,12090.45,12835.35,13484.48,50164.83,451.63,458.21,475.24,482.34,1867.43,4929.14,5444.3,5652.86,6708.49,22734.8,7297.78,7810.25,8199.86,8763.01,32070.9,108.36,65.27,-23.71,21.45,171.37,-134.27,1836.21,2231.16,1870.13,5803.23,24407.2,27704.69,29370.76,31329.91,112812.56,2012
113,PAPUA SELATAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
114,PAPUA TENGAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
115,PAPUA PEGUNUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
116,TOTAL,1119954.2,1151416.73,1213657.77,1226645.26,4711673.96,21404.78,22177.12,23427.67,23998.41,91007.98,135550.19,204548.84,195714.57,271690.91,807504.51,631591.63,689139.78,717232.22,758822.16,2796785.79,93808.14,76092.7,45139.6,17761.51,232801.95,67327.02,4702.75,34588.43,-73437.98,33180.22,2069635.95,2148077.92,2229760.26,2225480.28,8672954.41,2012
117,ACEH,16525.92,16885.61,17609.26,17796.43,68817.21,448.33,460.62,499.96,544.05,1952.96,4942.71,6374.49,7585.55,10753.18,29655.93,9006.35,9102.87,10006.98,10849.6,38965.8,83.32,46.12,-44.7,-121.74,-37.01,-1716.39,-3017.61,-4617.15,-8672.63,-18023.77,29290.24,29852.11,31039.89,31148.89,121331.13,2013
118,SUMATERA UTARA,59564.7,61572.24,64499.29,65779.41,251415.64,1112.64,1155.44,1191.2,1216.55,4675.82,7307.27,8869.27,9774.63,11572.04,37523.22,35817.57,36820.04,38370.2,39083.67,150091.47,3241.67,1499.67,1663.74,1323.28,7728.37,4754.42,3479.48,4849.63,4945.96,18029.48,111798.27,113396.13,120348.7,123920.91,469464.02,2013
119,SUMATERA BARAT,19041.54,19540.05,20559.53,21124.42,80265.54,361.95,369.03,402.42,446.34,1579.74,3369.41,4215.46,4679.58,7419.23,19683.68,9888.11,10617.87,11221.64,11981.31,43708.93,392.83,181.92,112.73,79.83,767.32,1032.25,1437.74,1118.09,-2693.46,894.63,34086.09,36362.07,38093.99,38357.68,146899.83,2013
120,RIAU,40609.1,41971.48,43933.26,44959.55,171473.39,518.76,537.92,593.37,608.15,2258.19,4085.23,4701.87,5401.74,7038.97,21227.8,35148.22,36453.01,37826.25,38506.47,147933.95,17627.09,11269.2,4373.65,2131.47,35401.42,41745.48,50967.16,64978.58,71512.47,229203.7,139733.88,145900.63,157106.84,164757.09,607498.45,2013
121,JAMBI,13947.05,14350.63,15519.57,15781.53,59598.78,150.04,152.75,160.19,171.72,634.7,1664.45,2697.12,3157.87,4480.78,12000.23,5307.82,6612.11,9222.56,11787.49,32929.97,783.85,-280.07,778.49,-637.14,645.13,8776.51,8818.03,4208.32,2364.37,24167.23,30629.72,32350.58,33047.0,33948.75,129976.04,2013
122,SUMATERA SELATAN,44717.44,46112.24,48429.65,49030.12,188289.44,880.87,921.2,969.39,988.93,3760.39,4656.3,5236.0,5628.09,7022.23,22542.61,26224.72,28223.78,29505.5,31609.4,115563.41,718.88,397.26,710.09,-586.2,1240.03,-10116.65,-12071.7,-12888.28,-15970.79,-51047.42,67081.56,68818.78,72354.44,72093.68,280348.46,2013
123,BENGKULU,6214.87,6335.56,6646.07,6828.61,26025.11,240.5,247.36,257.0,273.43,1018.28,1690.42,1811.5,1953.18,2160.1,7615.2,3788.99,4018.65,4325.31,4650.38,16783.33,244.13,219.22,249.09,266.7,979.13,-2498.82,-2672.5,-3101.73,-3582.51,-11855.56,9680.08,9959.79,10328.91,10596.7,40565.49,2013
124,LAMPUNG,30265.12,30483.03,32251.27,32242.77,125242.18,579.44,624.41,664.8,719.71,2588.36,3116.74,4463.2,4522.27,6324.27,18426.48,15101.35,15916.11,16606.62,17191.31,64815.39,964.95,1307.32,445.65,-705.06,2012.86,-1741.71,-1694.55,38.8,-5285.17,-8682.64,48285.88,51099.52,54529.4,50487.84,204402.64,2013
125,KEP. BANGKA BELITUNG,6100.27,6272.93,6645.07,6815.6,25833.87,64.16,67.5,71.68,75.57,278.91,1145.52,1237.32,1374.24,1492.75,5249.82,2612.08,2696.79,2886.69,2977.01,11172.57,246.37,279.19,389.41,243.02,1157.99,1876.22,1876.94,1448.71,1493.33,6695.19,12044.62,12430.66,12815.8,13097.29,50388.36,2013
126,KEP. RIAU,13436.39,13749.0,14594.57,14992.76,56772.72,82.25,84.98,89.77,96.41,353.41,903.86,1910.21,2536.02,4430.38,9780.48,15776.59,16419.6,16843.25,17637.59,66677.02,1679.44,1536.55,637.65,479.19,4332.83,6919.71,6103.2,6746.98,5575.22,25345.11,38798.24,39803.53,41448.25,43211.55,163261.57,2013
127,DKI JAKARTA,219194.56,224961.71,245299.32,249705.11,939160.7,6045.69,6348.19,6880.28,7530.65,26804.81,28295.73,52402.32,56745.44,73901.3,211344.79,157609.27,169055.04,176823.31,180204.48,683692.11,3528.54,2471.85,3549.81,2480.09,12030.29,-47902.16,-78280.88,-92278.82,-107694.33,-326156.19,366771.63,376958.23,397019.34,406127.29,1546876.49,2013
128,JAWA BARAT,194366.96,198083.4,211277.66,208840.3,812568.32,2142.11,2039.69,2077.51,2259.49,8518.79,12065.65,16697.71,18828.21,26125.98,73717.54,68322.93,73850.53,76343.16,82883.39,301400.0,22933.35,24088.4,10115.69,1412.26,58549.69,-100.25,-7016.23,6832.09,4519.37,4234.97,299730.73,307743.5,325474.31,326040.78,1258989.33,2013
129,JAWA TENGAH,124568.47,127382.63,133794.4,134634.8,520380.3,2055.04,2242.44,2380.47,2582.18,9260.13,9660.53,15962.55,17846.83,25829.88,69299.78,55857.21,58544.6,62526.41,65235.35,242163.57,11177.78,16380.85,7280.82,5992.52,40831.96,-8202.72,-13549.95,-6446.37,-23720.69,-51919.73,195116.3,206963.11,217382.56,210554.04,830016.02,2013
130,DI YOGYAKARTA,13670.49,13825.17,14684.62,14921.61,57101.89,581.56,596.08,628.98,650.57,2457.18,2858.4,3067.24,3692.53,4011.66,13629.83,5271.82,5589.4,6308.97,7080.52,24250.7,837.02,406.11,233.51,-509.49,967.15,-3216.68,-2864.39,-3525.93,-3875.21,-13482.21,20002.61,20619.61,22022.67,22279.66,84924.54,2013
131,JAWA TIMUR,207035.75,209990.89,222486.29,227403.24,866916.17,3727.32,3931.92,4338.58,4873.1,16870.93,16769.23,21263.27,25083.92,30116.06,93232.47,86924.72,94920.83,98551.99,100166.22,380563.76,1213.09,934.41,2203.82,-2967.71,1383.61,11117.64,12639.66,6099.23,-6321.96,23534.56,326787.74,343680.98,358763.84,353268.94,1382501.5,2013
132,BANTEN,53339.5,54085.59,55650.62,56083.76,219159.47,405.25,420.13,450.52,472.05,1747.95,3570.4,4087.6,4723.34,6290.61,18671.95,24877.64,25564.22,27196.92,29870.13,107508.9,2127.77,2689.72,952.44,604.45,6374.38,6023.57,5872.3,8154.37,4323.18,24373.43,90344.13,92719.56,97128.21,97644.19,377836.08,2013
133,BALI,16971.55,17089.12,17786.49,17804.52,69651.68,376.17,402.93,470.82,466.61,1716.52,1934.07,3738.59,4387.84,6551.43,16611.93,11597.44,11311.14,10894.67,11128.41,44931.66,603.29,675.42,345.23,285.35,1909.27,27.39,-188.14,934.01,-1186.8,-413.54,31509.91,33029.05,34819.05,35049.52,134407.53,2013
134,NUSA TENGGARA BARAT,13542.07,13854.96,14496.24,14750.2,56643.48,264.56,273.9,292.65,298.9,1130.01,2541.04,2870.74,3012.17,3234.76,11658.71,6855.39,6989.44,7306.38,7568.99,28720.19,-341.26,-62.79,781.86,-727.92,-350.11,-5792.93,-5491.75,-6488.19,-6410.52,-24183.39,17068.88,18434.5,19401.11,18714.39,73618.88,2013
