,38 Provinsi,Perkotaan Semester 1 (Maret),Perkotaan Semester 2 (September),Unnamed: 4,Perdesaan Semester 2 (September),Perkotaan+Perdesaan Semester 1 (Maret),Perkotaan+Perdesaan Semester 2 (September),Tahun
0,ACEH,116717,118196,84638,87682,93744,96344,2015
1,SUMATERA UTARA,102643,106627,65752,67987,84021,87123,2015
2,SUMATERA BARAT,117925,121984,75985,77884,92637,95393,2015
3,RIAU,124441,128812,93237,98585,105361,110329,2015
4,JAMBI,108566,115476,69186,70949,81144,84470,2015
5,SUMATERA SELATAN,101603,105823,61880,65785,76055,80073,2015
6,BENGKULU,109102,111770,69112,74513,81523,86076,2015
7,LAMPUNG,109948,112473,74918,81638,84127,89744,2015
8,KEP. BANGKA BELITUNG,145300,154621,125875,136327,135441,145336,2015
9,KEP. RIAU,155149,166916,104127,113367,146782,158135,2015
10,DKI JAKARTA,167793,175361,-,-,167793,175361,2015
11,JAWA BARAT,94009,94454,74358,78096,87586,89107,2015
12,JAWA TENGAH,88079,89228,75025,77352,81028,82814,2015
13,DI YOGYAKARTA,109745,110150,75907,82662,98413,100945,2015
14,JAWA TIMUR,88779,92152,74839,77532,81530,84549,2015
15,BANTEN,109643,117170,77247,81732,99354,105914,2015
16,BALI,106320,109874,89655,92052,99903,103011,2015
17,NUSA TENGGARA BARAT,89328,91123,71786,74588,79202,81577,2015
18,NUSA TENGGARA TIMUR,104514,109059,48561,50261,59793,62064,2015
19,KALIMANTAN BARAT,84546,87567,61456,66112,68511,72668,2015
20,KALIMANTAN TENGAH,76698,83219,63814,68463,68220,73510,2015
21,KALIMANTAN SELATAN,124426,136370,76943,81112,97068,104532,2015
22,KALIMANTAN TIMUR,147917,156071,119387,128016,137353,145683,2015
23,KALIMANTAN UTARA,146400,150144,118587,126110,134137,139548,2015
24,SULAWESI UTARA,72825,78098,58235,61176,64890,68895,2015
25,SULAWESI TENGAH,108979,112038,70332,75894,79923,84865,2015
26,SULAWESI SELATAN,80321,87247,49612,52745,61087,65637,2015
27,SULAWESI TENGGARA,79264,81806,56620,59583,63144,65986,2015
28,GORONTALO,71293,73066,55866,58476,61220,63539,2015
29,SULAWESI BARAT,52529,56854,53237,58262,53095,57979,2015
30,MALUKU,106536,110325,84158,85243,92864,95001,2015
31,MALUKU UTARA,81553,85550,63930,67117,68726,72134,2015
32,PAPUA BARAT,123915,131755,76749,82321,94594,101023,2015
33,PAPUA BARAT DAYA,-,-,-,-,-,-,2015
34,PAPUA,151082,154345,80533,81510,99224,100806,2015
35,PAPUA SELATAN,-,-,-,-,-,-,2015
36,PAPUA TENGAH,-,-,-,-,-,-,2015
37,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2015
38,INDONESIA,104263,108538,72524,76914,88535,92866,2015
39,ACEH,121727,125719,88288,90972,98155,101217,2016
40,SUMATERA UTARA,108312,111808,72806,75473,91324,93795,2016
41,SUMATERA BARAT,129369,132506,81375,83703,98148,103717,2016
42,RIAU,134320,137972,99515,100785,113648,115497,2016
43,JAMBI,118646,120458,71249,72563,86903,87525,2016
44,SUMATERA SELATAN,112324,116824,67658,69692,82664,86661,2016
45,BENGKULU,114862,122478,76110,91690,91576,101468,2016
46,LAMPUNG,113248,114155,82510,84145,90485,92376,2016
47,KEP. BANGKA BELITUNG,155835,166122,137599,146405,145776,156533,2016
48,KEP. RIAU,168404,171398,113836,115276,159715,162729,2016
49,DKI JAKARTA,180715,185752,-,-,180715,185752,2016
50,JAWA BARAT,96826,98192,78332,80963,90884,93174,2016
51,JAWA TENGAH,90282,91586,81287,81410,85675,86345,2016
52,DI YOGYAKARTA,110502,112832,84348,86986,101800,104865,2016
53,JAWA TIMUR,93762,95769,79939,82159,85307,88992,2016
54,BANTEN,120516,121618,84904,86952,106892,110923,2016
55,BALI,110736,114998,92552,94790,104574,107576,2016
56,NUSA TENGGARA BARAT,91846,94237,77166,79274,83624,85836,2016
57,NUSA TENGGARA TIMUR,110757,112395,54709,56039,66702,68018,2016
58,KALIMANTAN BARAT,87852,90887,68058,71406,72760,77489,2016
59,KALIMANTAN TENGAH,84105,85734,70656,72228,73999,76983,2016
60,KALIMANTAN SELATAN,137860,141992,83630,86488,106618,110736,2016
61,KALIMANTAN TIMUR,160459,164529,131096,134422,147287,154269,2016
62,KALIMANTAN UTARA,156536,160057,127155,131706,145670,147868,2016
63,SULAWESI UTARA,79831,79988,66408,66457,71471,72811,2016
64,SULAWESI TENGAH,115108,117962,79134,81972,85749,91246,2016
65,SULAWESI SELATAN,88304,90023,54579,56501,66683,69594,2016
66,SULAWESI TENGGARA,84546,85004,59712,61261,66669,68243,2016
67,GORONTALO,75076,75400,59232,59453,64764,65196,2016
68,SULAWESI BARAT,57721,59698,60001,62063,59632,61558,2016
69,MALUKU,111698,115413,87443,90151,96137,100275,2016
70,MALUKU UTARA,89579,93810,73252,77455,81476,82024,2016
71,PAPUA BARAT,132055,137689,84422,89046,102419,108341,2016
72,PAPUA BARAT DAYA,-,-,-,-,-,-,2016
73,PAPUA,161082,165237,84834,88921,105265,108778,2016
74,PAPUA SELATAN,-,-,-,-,-,-,2016
75,PAPUA TENGAH,-,-,-,-,-,-,2016
76,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2016
77,INDONESIA,109346,112228,77514,80382,93917,97050,2016
78,ACEH,127858,132061,94463,96799,104496,107572,2017
79,SUMATERA UTARA,113696,117206,79842,84935,97102,101729,2017
80,SUMATERA BARAT,135481,136026,86342,86644,106715,107368,2017
81,RIAU,145074,147147,104373,106403,120571,122833,2017
82,JAMBI,121463,123627,72641,74385,88019,90001,2017
83,SUMATERA SELATAN,119191,120635,74386,77699,90775,93568,2017
84,BENGKULU,127360,129101,97067,97472,106779,107735,2017
85,LAMPUNG,117466,119599,86711,90615,95176,98583,2017
86,KEP. BANGKA BELITUNG,170765,173137,153836,158552,162685,166347,2017
87,KEP. RIAU,175688,182583,117473,120529,166969,173687,2017
88,DKI JAKARTA,189163,195054,-,-,189163,195054,2017
89,JAWA BARAT,100400,104212,84444,87921,95922,99879,2017
90,JAWA TENGAH,93866,95428,83518,84946,88618,90203,2017
91,DI YOGYAKARTA,114383,122981,87813,89909,106508,113632,2017
92,JAWA TIMUR,98086,99941,84218,87245,91287,93833,2017
93,BANTEN,124857,128495,89431,93430,114201,118333,2017
94,BALI,118321,118820,99414,99519,111504,112143,2017
95,NUSA TENGGARA BARAT,96193,96581,81535,83335,88078,89389,2017
96,NUSA TENGGARA TIMUR,116262,117333,58316,60883,70859,73412,2017
97,KALIMANTAN BARAT,93137,96157,73552,79124,79764,84620,2017
98,KALIMANTAN TENGAH,90018,92039,75766,76287,80900,81703,2017
99,KALIMANTAN SELATAN,144125,152307,91060,98337,114464,122231,2017
100,KALIMANTAN TIMUR,168156,173713,140868,144007,158943,163838,2017
101,KALIMANTAN UTARA,166407,172487,137160,143692,153917,160302,2017
102,SULAWESI UTARA,83126,85186,69659,70138,76021,77393,2017
103,SULAWESI TENGAH,120877,122686,85168,88588,94388,97377,2017
104,SULAWESI SELATAN,92452,94402,58643,61741,72009,74807,2017
105,SULAWESI TENGGARA,86299,90163,62382,67739,69990,75898,2017
106,GORONTALO,77368,78933,61514,62173,67265,68377,2017
107,SULAWESI BARAT,61766,63058,63946,67392,63493,66374,2017
108,MALUKU,118510,119996,93271,96192,103508,106124,2017
109,MALUKU UTARA,94931,95786,80348,83421,84356,86985,2017
110,PAPUA BARAT,140489,144831,91318,94229,110377,114383,2017
111,PAPUA BARAT DAYA,-,-,-,-,-,-,2017
112,PAPUA,169493,174359,91981,96715,112904,117951,2017
113,PAPUA SELATAN,-,-,-,-,-,-,2017
114,PAPUA TENGAH,-,-,-,-,-,-,2017
115,PAPUA PEGUNUNGAN,-,-,-,-,-,-,2017
116,INDONESIA,114765,117775,83218,86169,99933,103196,2017
117,ACEH,134561,136434.18,100825,104778.98,111335,114830.4,2018
118,SUMATERA UTARA,120138,120623.05,87743,93173.79,104865,107932.34,2018
119,SUMATERA BARAT,139235,140237.58,91162,95901.02,112319,116426.12,2018
120,RIAU,148954,149398.25,114001,119824.94,128099,131734.43,2018
121,JAMBI,129154,129210.95,86388,86819.11,100071,100501.02,2018
122,SUMATERA SELATAN,124314,126557.47,85005,87600.96,99621,101928.35,2018
123,BENGKULU,136223,142003.98,108824,117037,117725,125225.38,2018
